#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-27T21:41:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea74b43617d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+AS/124/75&tab:{J/A+AS/124/75/index}&key:source=J/A+AS/124/75/index&HTTPPRM:&
#-source=J/A+AS/124/75/index
#-order=I
#-out=IDS
#-out=COMP
#-out=WDS
#-out=HD
#-out=DM
#-out=HIP
#-out=HR
#-out=ADS
#-out.all=2
#

#RESOURCE=yCat_41240075
#Name: J/A+AS/124/75
#Title: Multiple star catalogue (MSC) (Tokovinin 1997-1999)
#Table	J_A_AS_124_75_index:
#Name: J/A+AS/124/75/index
#Title: IDS-WDS-HD-BD-HIP-HR-ADS cross-index
#Column	IDS	(a10)	IDS(1900)	[ucd=meta.id;meta.main]
#Column	COMP	(A2)	Component designation (* for primary comp.)	[ucd=meta.code.multip]
#Column	WDS	(a10)	WDS(2000) (Cat. <I/237>)	[ucd=meta.id]
#Column	HD	(I6)	? HD (Cat. <III/135>) number [NULL integer written as an empty string]	[ucd=meta.number]
#Column	DM	(a11)	BD (Cat. <I/122>), CD (Cat. <I/114>) or CPD (Cat. <I/108>) identifier	[ucd=meta.id]
#Column	HIP	(I6)	? HIPPARCOS (Cat. <I/239>) number [NULL integer written as an empty string]	[ucd=meta.id]
#Column	HR	(I5)	? HR (Cat. <V/50>) number [NULL integer written as an empty string]	[ucd=meta.id]
#Column	ADS	(I5)	? ADS number [NULL integer written as an empty string]	[ucd=meta.id]
IDS|COMP|WDS|HD|DM|HIP|HR|ADS
08201-7112|* |08199-7130| 71046|CP-71  677 | 40817| 3301|
08201-7112|B |08199-7130| 71066|CP-71  678 | 40834| 3302|
08201-7112|C |08199-7130|      |CP-71  679 |      |     |
08207+2451|* |08267+2432| 71152|BD+25 1920 | 41389| 3312| 6811
08207+2451|B |08267+2432| 71153|BD+25 1920 |      | 3313| 6811
08207+3232|* |08269+3212| 71149|BD+32 1732 |      |     |
08207+3232|BC|08269+3212|      |BD+32 1731 | 41423|     | 6814
08215-4227|* |08250-4246| 71302|CD-42 4219 | 41250| 3322|
08226-3843|* |08263-3904| 71487|CD-38 4462 | 41361| 3327|
08226-3843|BC|08263-3904| 71488|CD-38 4462 |      | 3328|
08231-2031|* |08276-2051| 71581|BD-20 2538 | 41475| 3335|
08234-0211|* |08285-0231| 71663|BD-02 2581 | 41564| 3337| 6828
08252+7503|* |08368+7443| 71973|BD+75  342 | 42249| 3352| 6872
08259+1944|* |08316+1923|      |           |      |     |
08259-4736|* |08291-4756| 72108|CD-47 4004 | 41616| 3358|
08277-3844|* |08314-3904| 72436|CD-38 4566 | 41806| 3373|
08279-1441|* |08326-1502| 72462|BD-14 2564 | 41893| 3374|
08305+0658|* |08358+0637| 72945|BD+07 1997 | 42172| 3395| 6886
08305+0658|B |08358+0637| 72946|BD+07 1997 | 42173| 3396| 6886
08354+2013|* |08412+1951|      |BD+19 2077 |      |     |
08355-4004|* |08392-4025| 73882|CD-39 2725 | 42433|     |
08356+1925|* |08411+1904|      |BD+19 2076 |      |     |
08371-5242|* |08400-5303| 74146|CP-52 1579 | 42504| 3442|
08373+0956|* |08427+0933|      |BD+10 1857 | 42748|     |
08373+0956|C |08427+0933|      |           | 42762|     |
08374+1948|* |08431+1926|      |BD+19 2087 |      |     |
08415+0647|* |08468+0625| 74874|BD+06 2036 | 43109| 3482| 6993
08419-5420|* |08448-5442| 74956|CP-54 1788 | 42913| 3485|
08467-0648|* |08516-0711| 75737|BD-06 2743 | 43496| 3523| 7050
08472-4609|* |08506-4632| 75821|CD-46 4661 | 43413| 3527|
08524+4826|* |08592+4803| 76644|BD+48 1707 | 44127| 3569| 7114
08530+1215|* |08585+1151| 76756|BD+12 1948 | 44066| 3572| 7115
08533-5220|* |08563-5243| 76805|CP-52 1788 | 43878| 3574|
08535+0852|* |08589+0828|      |           |      |     |
08555-0758|* |08555-0758| 76370|BD-07 2661 | 43822| 3553| 7093
08555-0758|B |08555-0758| 76369|BD-07 2661 |      | 3552| 7093
09027+5454|* |09099+5429|237786|BD+55 1317 | 44998|     |
09057-2957|* |09099-3022| 78922|CD-29 7194 | 45001| 3644|
09088-4312|* |09125-4337| 79416|CD-43 5041 | 45189| 3661|
09104-6030|* |09128-6055| 79699|CD-60 2534 | 45214|     |
09117-0556|* |09167-0621| 79910|BD-05 2762 | 45527| 3681|
09126+3713|* |09188+3648| 80081|BD+37 1965 | 45688| 3690| 7292
09156-0907|* |09204-0934| 80586|BD-08 2643 | 45811| 3709| 7311
09156-0907|B |09204-0934| 80550|BD-09 2801 | 45802|     | 7311
09176-7428|* |09174-7454| 80951|CP-74  579 | 45581| 3720|
09180+5200|* |09249+5134| 81025|BD+52 1389 | 46168| 3725| 7348
09224-0847|* |09272-0913| 81728|BD-08 2678 | 46365| 3744| 7382
09235-3434|* |09276-3500| 81919|CD-34 5895 | 46396| 3756|
09241-0219|* |09291-0246| 81997|BD-02 2901 | 46509| 3759|
09291+4024|* |09353+3958| 82780|BD+40 2226 | 47053| 3811| 7438
09291+4024|B |09353+3958| 82767|           | 47054|     |
09311+5628|* |09381+5601|      |BD+56 1395 | 47279|     |
09320+6859|* |09405+6832| 83270|BD+69  528 | 47461|     |
09358+1020|* |09412+0954| 83808|BD+10 2044 | 47508| 3852| 7480
09442+2139|* |09498+2111| 85040|BD+21 2113 | 48218| 3889|
09503-2914|* |09548-2942| 85962|CP-29 7906 | 48610|     |
09562+1754|* |10017+1725|      |BD+18 2307 | 49136|     |
10030+1227|* |10083+1159| 87901|BD+12 2149 | 49669| 3982| 7654
10030+1227|BC|10083+1159| 87884|BD+12 2147 |      |     | 7654
10150+0656|* |10205+0626| 89619|BD+07 2282 | 50637|     | 7730
10160-5654|* |10196-5724| 89714|CP-56 3131 |      |     |
10172-5532|* |10209-5603| 89890|CP-55 3286 | 50676| 4074|
10235-2518|* |10282-2548| 90737|CD-25 8055 | 51255|     | 7787
10263-2339|* |10311-2411| 91172|CD-23 9339 | 51501|     | 7809
10298+0910|* |10350+0839| 91636|BD+09 2374 | 51802| 4148| 7837
10319+6038|* |10383+6007| 91948|BD+60 1274 | 52064|     | 7855
10331-4742|* |10373-4814| 92139|CD-47 6042 | 51986| 4167|
10347+1946|* |10401+1914| 92337|BD+19 2363 | 52212|     | 7874
10363-3513|* |10409-3544| 92589|CD-35 6646 | 52273| 4183|
10377+4643|* |10437+4612| 92787|BD+46 1657 | 52469| 4191|
10377+4643|B |10437+4612| 92855|           | 52498|     |
10405-5928|* |10444-6000| 93206|CP-59 2572 | 52526|     |
10413-7020|* |10444-7051| 93344|CP-70 1183 | 52520| 4211|
10413-7020|BP|10444-7051| 93359|CP-70 1185 | 52537| 4212|
10424-6005|* |10463-6036| 93502|CP-59 2671 | 52679| 4217|
10483-0143|* |10534-0215| 94363|BD-01 2459 | 53240| 4249| 7967
10483-0143|B |10534-0215|      |BD-1  2458 |      |     | 7967
10525-1033|* |10575-1105| 94941|BD-10 3159 | 53568|     | 7989
10570+1026|* |11022+0954|      |BD+10 2234 | 53937|     | 8024
10570+1026|B |11022+0954|      |           | 53934|     |
10576+6217|* |11037+6145| 95689|BD+62 1161 | 54061| 4301| 8035
10576+6217|C |11037+6145| 95638|           |      |     | 8035
10596-0341|* |11047-0413| 96064|BD-03 3040 | 54155|     | 8048
11000-5756|* |11042-5828| 96118|CP-57 4181 |      |     |
11000-5756|A |11042-5828| 96119|           |      |     |
11104-1734|* |11153-1808| 97855|BD-17 3336 | 54963|     |
11104-1734|B |11153-1808|      |BD-17 3337 | 54966|     |
11119-0635|* |11170-0708| 98088|BD-06 3344 | 55106| 4369| 8115
11128+3205|* |11182+3131| 98231|BD+32 2132 |      | 4375| 8119
11128+3205|B |11182+3131| 98230|BD+32 2132 |      | 4374| 8119
11130-5833|* |11175-5906| 98278|CP-58 3424 | 55149|     |
11137+3844|* |11191+3811| 98353|BD+38 2225 | 55266| 4380|
11137+3844|P |11191+3811| 98423|           |      |     |
11171-2414|* |11221-2447| 98800|CD-24 9706 | 55505|     | 8131
11179+0441|* |11230+0408| 98914|BD+04 2454 | 55574|     | 8145
11242-1648|* |11292-1721| 99877|BD-16 3258 |      |     | 8179
11248+3031|* |11301+2958| 99946|BD+30 2163 | 56109|     |
11248+3031|B |11301+2958|      |BD+30 2164 |      |     |
11254+4150|* |11308+4117|100018|BD+42 2214 | 56165|     | 8189
11270-0259|* |11321-0332|100245|BD-02 3364 |      |     | 8200
11270-0259|BC|11321-0332|      |BD-02 3365 |      |     | 8200
11295+1720|* |11347+1648|100600|BD+17 2374 | 56473| 4456| 8220
11295+1720|C |11347+1648|      |BD+17 2373 |      |     | 8220
11311+5642|* |11366+5608|100831|BD+56 1529 | 56622|     | 8236
11319+4801|* |11374+4728|      |BD+48 1958 | 56685|     | 8242
11335+4539|* |11387+4506|101177|BD+45 1947 | 56809| 4486| 8250
11348-6451|* |11395-6524|101379|CP-64 1685 | 56862| 4492|
11381-3859|* |11432-3926|101847|           | 57148|     |
11381-3859|BC|11432-3926|      |           | 57146|     |
11416-5728|* |11465-5802|102340|CP-57 4979 | 57432|     |
11428+2046|* |11480+2014|102509|BD+21 2358 | 57565| 4527|
11428+2046|B |11480+2014|      |BD+21 2357 |      |     |
11459-0446|* |11510-0520|102928|BD-04 3152 | 57791| 4544|
11499+4701|* |11551+4629|103483|BD+47 1913 | 58112| 4560| 8347
11499+4701|D |11551+4629|103498|BD+47 1914 | 58117| 4561| 8347
12010+6915|* |12060+6842|105122|BD+69  644 | 59017|     | 8419
12012-6509|* |12064-6543|105151|CP-65 1788 | 59050| 4615|
12021+6938|* |12070+6905|105287|BD+69  645 | 59094|     | 8248
12091+3320|* |12141+3247|106365|BD+33 2205 | 59660|     | 8470
12091+3320|B |12141+3247|      |BD+33 2206 | 59667|     | 8470
12093+1223|* |12143+1149|106400|BD+12 2437 | 59683|     | 8472
12148-0007|* |12199+0040|107259|BD+00 2926 | 60129| 4689|
12190+5443|* |12238+5409|107922|BD+54 1522 | 60471|     | 8535
12210-6233|* |12266-6306|108248|CP-62 2745 | 60718| 4730|
12210-6233|C |12266-6306|108250|CP-62 2742 |      | 4729|
12210-6233|B |12266-6306|108249|CP-62 2745 |      | 4731|
12219-0259|* |12270-0332|108361|BD-02 3519 | 60749|     | 8552
12219-0259|D |12270-0332|      |           | 60750|     |
12226-6113|* |12283-6146|108500|CD-61 3479 | 60845|     |
12257+6945|* |12301+6912|108907|BD+70  700 | 60998| 4765|
12294+0631|* |12345+0558|109427|BD+06 2630 | 61369|     | 8598
12301+1855|* |12351+1823|109511|BD+19 2584 | 61418| 4792| 8600
12301+1855|B |12351+1823|109510|BD+19 2584 | 61415| 4791| 8600
12306-1619|* |12357-1650|109557|BD-16 3499 | 61463|     | 8603
12361-1228|* |12413-1301|110318|BD-12 3676 | 61910| 4822| 8627
12361-1228|B |12413-1301|110317|BD-12 3676 |      | 4821| 8627
12451+6639|* |12491+6607|      |           | 62556|     |
12484+2147|* |12533+2115|112033|BD+22 2519 | 62886| 4894| 8695
12484+8357|* |12492+8325|112028|BD+84  290 | 62572| 4893| 8682
12484+8357|B |12492+8325|112014|BD+84  289 | 62561| 4892| 8682
12519+5438|* |12563+5405|112486|BD+54 1556 | 63143| 4917| 8710
12545-0316|* |12597-0349|112846|BD-03 3384 | 63414| 4921| 8727
13011-4922|* |13069-4954|113791|CD-49 7644 | 64004| 4942|
13015+2142|* |13064+2109|113848|BD+21 2487 | 63948| 4946|
13017-6446|* |13081-6518|113904|CP-64 2183 | 64094| 4952|
13048-0500|* |13099-0532|114330|BD-04 3430 | 64238| 4963| 8801
13060+3628|* |13106+3556|114519|BD+36 2344 | 64293|     |
13060-5923|* |13123-5955|114529|CP-59 4815 | 64425| 4975|
13065+3122|* |13112+3049|114604|BD+31 2462 |      |     | 8811
13067-5917|* |13129-5949|114630|CP-59 4827 | 64478| 4980|
13085-6721|* |13152-6753|114911|CP-67 2224 | 64661| 4993|
13090-2345|* |13145-2417|114993|CD-23 10974| 64603|     | 8831
13149+3540|* |13192+3507|      |BD+35 2436 | 65011|     | 8861
13149+3540|B |13192+3507|      |           | 65012|     |
13154+4818|* |13198+4747|115953|BD+48 2108 | 65026|     | 8862
13162-6028|* |13226-6059|116087|CP-60 4627 | 65271| 5035|
13162-6028|C |13226-6059|116072|CP-60 4627 |      | 5034|
13199+5527|* |13240+5456|116656|BD+55 1598 | 65378| 5054| 8891
13199+5527|C |13240+5456|116842|BD+55 1603 | 65477| 5062| 8891
13199+5527|B |13240+5456|116657|BD+55 1598 |      | 5055| 8891
13199-1038|* |13252-1109|116658|BD-10 3672 | 65474| 5056|
13215+4501|* |13258+4430|116878|BD+45 2108 | 65518|     | 8901
13338+4838|* |13379+4808|      |BD+48 2138 | 66492|     | 8980
13377-4134|* |13437-4204|119361|CP-41 8089 | 66984| 5157|
13411+0537|* |13461+0507|119931|BD+05 2794 | 67186|     | 9019
13461-3230|* |13518-3300|120709|CD-32 9676 | 67669| 5210|
13461-3230|B |13518-3300|120710|CD-32 9676 |      | 5211|
13472-1813|* |13526-1843|120901|BD-17 3949 | 67744|     |
13472-1813|A |13526-1843|120902|           |      |     |
13475-3126|* |13532-3156|120955|CD-31 10729| 67786| 5221|
13475-3126|B |13532-3156|      |CD-31 10727|      |     |
13568-5953|* |14038-6022|122451|CP-59 5365 | 68702| 5267|
14040+3713|* |14082+3645|123670|BD+37 2498 | 69062|     | 9121
14058+2534|* |14104+2505|123999|BD+25 2737 | 69226| 5304|
14080+2911|* |14124+2843|124346|BD+29 2505 | 69399|     | 9158
14080+2911|C |14124+2843|      |           | 69401|     |
14087-2846|* |14145-2914|124464|CP-28 10523| 69577|     | 9171
14087-2846|B |14145-2914|124465|           | 65579|     |
14097+5548|* |14130+5519|124640|BD+56 1718 | 69442|     | 9167
14099+5215|* |14135+5147|124675|BD+52 1782 | 69483| 5329| 9173
14099+5215|B |14135+5147|124674|BD+52 1782 | 69481| 5328| 9173
14109+1046|* |14158+1018|124864|BD+10 2657 | 69684|     | 9185
14124-2703|* |14182-2731|125131|CD-26 10215| 69894|     | 9207
14137-1255|* |14191-1322|125337|BD-12 4018 | 69974| 5359|
14185+0854|* |14234+0827|126129|BD+09 2882 | 70327| 5386| 9247
14185+0854|B |14234+0827|126128|BD+09 2882 |      | 5385| 9247
14199-1931|* |14255-1958|126367|BD-19 3880 | 70518| 5397| 9258
14199-1931|B |14255-1958|126366|           | 70513|     | 9258
14290+4937|* |14325+4911|127930|BD+49 2308 | 71109|     | 9306
14308-4542|* |14373-4608|128266|CD-45 9302 | 71500| 5450|
14308-4542|B |14373-4608|128267|CD-45 9303 | 71502|     |
14328-6025|* |14396-6050|128620|CP-60 5483 | 71683| 5459|
14328-6025|B |14396-6050|128621|CP-60 5483 | 71681| 5460|
14339+4809|* |14373+4743|      |BD+48 2224 |      |     | 9327
14339+4809|C |14373+4743|      |BD+48 2225 |      |     | 9327
14358+2224|* |14403+2159|129132|BD+22 2731 | 71729| 5472|
14380+1955|* |14425+1929|      |BD+20 3010 | 71914|     | 9352
14380+1955|C |14425+1929|      |BD+20 3009 | 71904|     | 9352
14413-7007|* |14505-7032|130140|CP-70 1823 | 72585|     |
14413-7007|B |14505-7032|130141|           | 72589|     |
14417+4248|* |14455+4223|130188|BD+42 2531 | 72153|     | 9378
14463+4907|* |14497+4843|131041|BD+49 2326 | 72524| 5538| 9406
14504-3414|* |14565-3438|131751|CD-34 10047| 73108|     |
14509+4543|* |14544+4518|131861|BD+45 2233 | 72939|     |
14516-2058|* |14574-2124|131977|BD-20 4125 | 73184| 5568| 9446
14516-2058|B |14574-2124|131976|           | 73182|     | 9446
14566+5416|* |14596+5352|132910|BD+54 1724 | 73366|     | 9474
14566+5416|B |14596+5352|132909|BD+54 1725 | 73368|     | 9474
15005+4803|* |15038+4739|133640|BD+48 2259 | 73695| 5618| 9494
15021-4454|* |15088-4517|133955|CD-44 9889 | 74117| 5626|
15036-0547|* |15088-0610|134213|BD-05 4017 | 74116|     | 9515
15059+6330|* |15078+6307|134646|BD+63 1167 | 74037|     | 9520
15065-1925|* |15122-1948|134759|BD-19 4047 | 74392| 5652| 9532
15099+6213|* |15118+6151|135421|BD+62 1393 | 74370|     | 9537
15099+6213|B |15118+6151|      |           | 74368|     |
15116-4730|* |15185-4753|135734|CD-47 9860 | 74911| 5683|
15116-4730|C |15185-4753|135748|CP-47 9861 | 74915|     |
15140+2712|* |15183+2650|136176|BD+27 2477 | 74893|     | 9578
15159-4419|* |15227-4441|136504|CD-44 10066| 75264| 5708|
15207+3742|* |15245+3722|137391|BD+37 2636 | 75411| 5733| 9626
15207+3742|BC|15245+3722|137392|BD+37 2637 | 75415| 5734| 9626
15227-0859|* |15282-0921|137763|BD-08 3981 | 75718|     |
15227-0859|B |15282-0921|137778|           | 75722|     |
15229-2831|* |15290-2852|137798|CD-28 11366| 75790|     | 9659
15250-3329|* |15313-3349|138138|CD-33 10564| 76001|     |
15272-2409|* |15332-2429|138488|CD-24 12155| 76143| 5765| 9689
15285-4050|* |15351-4110|138690|CD-40 9760 | 76297| 5776|
15324+6414|* |15339+6354|139319|BD+64 1077 | 76196|     | 9706
15325+4008|* |15360+3949|139341|BD+40 2905 | 76382|     | 9716
15325+4008|C |15360+3949|139323|           | 76375|     | 9716
15333-0827|* |15387-0848|139461|BD-08 4032 | 76603| 5816| 9728
15333-0827|B |15387-0848|139460|BD-08 4031 | 76602| 5815| 9728
15344+3633|* |15382+3615|139691|BD+36 2626 | 76563|     | 9731
15344+3633|CD|15382+3615|      |           | 76566|     |
15356+3657|* |15394+3638|139892|BD+37 2665 | 76669| 5834| 9737
15356+3657|B |15394+3638|139891|BD+37 2665 |      | 5833| 9737
15361-5131|* |15435-5150|139966|CD-51 9411 |      |     |
15361-5131|B |15435-5150|      |CD-51 9412 |      |     |
15369+0047|* |15420+0027|140122|BD+00 3389 | 76892|     | 9747
15371+2000|* |15416+1940|140159|BD+20 3138 | 76852| 5842| 9744
15401-2744|* |15462-2804|140722|CD-27 10550| 77235| 5856| 9775
15401-2744|C |15462-2804|      |CD-27 10549|      |     | 9775
15453+2526|* |15495+2528|141690|BD+25 2973 | 77504|     | 9799
15453+2526|B |15495+2528|      |           | 77503|     |
15492-1905|* |15550-1923|142378|BD-18 4195 | 77939| 5915| 9834
15535-3807|* |16001-3824|143118|CD-38 10797| 78384| 5948|
15535-3807|C |16001-3824|143099|CD-38 10794|      |     |
15544-2220|* |16003-2237|143275|BD-22 4068 | 78401| 5953|
15554-5730|* |16035-5747|143474|CP-57 7500 | 78662| 5961|
15556+1158|* |16003+1140|143480|BD+12 2930 | 78394|     | 9872
15563-2225|* |16022-2241|      |           |      |     |
15589-1105|* |16044-1123|144070|BD-10 4237 |      | 5978| 9909
15589-1105|E |16044-1123|144087|           | 78739|     | 9910
15589-1105|B |16044-1123|144069|BD-10 4237 |      | 5977| 9909
15589-1105|D |16044-1123|144488|           | 78738|     | 9910
15593-3235|* |16057-3252|144179|CD-32 11405| 78842|     |
15596-1932|* |16054-1948|144217|BD-19 4307 | 78820| 5984| 9913
15596-1932|C |16054-1948|144218|BD-19 4308 | 78821| 5985| 9913
16004-0601|* |16057-0618|144362|BD-05 4234 | 78849| 5989| 9918
16012+1057|* |16058+1041|144515|BD+11 2910 | 78864|     |
16019-3849|* |16086-3906|144667|CD-38 10894| 79081| 6000|
16019-3849|C |16086-3906|144668|CD-38 10893| 79080| 5999|
16062-1912|* |16120-1928|145502|BD-19 4333 | 79374| 6027| 9951
16062-1912|C |16120-1928|145501|BD-19 4332 |      | 6026| 9951
16071+5812|* |16090+5756|145674|BD+58 1622 | 79125| 6036| 9944
16086+1348|* |16134+1331|145958|BD+13 3091 | 79492|     | 9969
16109+3407|* |16147+3352|146361|BD+34 2750 | 79607| 6063| 9979
16109+3407|B |16147+3352|146362|BD+34 2750 |      | 6064| 9979
16111-0644|* |16165-0658|146415|BD-06 4393 |      |     |
16151-2521|* |16212-2536|147165|CD-25 11485| 80112| 6084|10009
16198+3335|* |16235+3321|      |BD+33 2722 |      |     |10036
16198-4719|* |16272-4733|147971|CD-47 10765| 80582| 6115|
16198-4719|B |16272-4733|147970|CD-47 10764| 80579|     |
16206+3716|* |16242+3702|148086|BD+37 2746 | 80349|     |10044
16224-0809|* |16278-0822|148367|BD-08 4243 | 80628| 6129|
16225+6155|* |16238+6142|148374|BD+62 1478 | 80309| 6130|10052
16252-2421|* |16313-2434|      |           |      |     |
16259+0212|* |16309+0159|148857|BD+02 3118 | 80883| 6149|10087
16295-0400|* |16348-0413|149414|BD-03 3968 | 81170|     |
16296+3043|* |16335+3030|149420|BD+30 2834 | 81066|     |10116
16310+1715|* |16354+1704|149632|BD+17 3053 | 81231| 6169|
16310+1715|B |16354+1704|149631|BD+17 3054 | 81230|     |
16314-5648|* |16397-5700|149730|CP-56 7804 | 81589|     |
16325+5721|* |16344+5709|      |           |      |     |
16339+5308|* |16362+5255|150117|BD+53 1876 | 81292| 6185|10129
16339+5308|C |16362+5255|150118|BD+53 1876 | 81290| 6186|10129
16339+5308|B |16362+5255|150100|BD+53 1875 |      | 6184|10129
16340-2748|* |16402-2800|150148|CD-27 11061| 81619|     |10143
16357+0424|* |16406+0413|150378|BD+04 3235 | 81641| 6195|10149
16357+0424|B |16406+0413|150379|BD+04 3234 | 81634| 6194|10149
16363+0042|* |16413+0030|150484|BD+00 3562 | 81703|     |
16372+6958|* |16368+6948|150631|BD+70  887 | 81332|     |10140
16372+6958|DP|16368+6948|150693|BD+70  888 | 81363|     |10140
16377+6054|* |16391+6042|150708|BD+60 1691 | 81519|     |10152
16463+4609|* |16492+4559|152107|BD+46 2220 | 82321| 6254|10227
16470-4138|* |16540-4148|152234|CD-41 11024| 82676| 6260|
16471-4140|* |16542-4150|152248|CD-41 11033| 82691|     |
16479+2850|* |16518+2840|152380|BD+28 2624 | 82510|     |10235
16483-4030|* |16563-4040|152623|CD-40 10961| 82876|     |
16501-0809|* |16555-0820|152751|BD-08 4352 | 82817|     |
16501-0809|P |16555-0820|      |           | 82809|     |
16516-4108|* |16596-4117|153157|CD-41 11145| 83155|     |
16518-3004|* |16581-3013|153002|CD-30 13648| 83038|     |
16518-3004|C |16581-3013|      |           | 83042|     |
16551+4731|* |16578+4722|153557|BD+47 2415 | 83020|     |10288
16551+4731|C |16578+4722|153525|           | 83006|     |10288
16565+3104|* |17003+3056|153808|BD+31 2947 | 83207| 6324|
17031-0057|* |17082-0105|154895|BD-00 3230 | 83853| 6367|10355
17033+5436|* |17053+5428|154906|BD+54 1857 | 83608| 6370|10345
17033+5436|B |17053+5428|154905|BD+54 1857 |      | 6369|10345
17044-5828|* |17130-5836|155099|CP-58 7014 | 84229|     |
17072-6650|* |17175-6657|155555|CD-66 2071 | 84586|     |
17080+3922|* |17116+3915|155727|BD+39 3086 | 84100|     |10391
17080+3922|C |17116+3915|      |           | 84102|     |
17092-2627|* |17155-2635|155886|CD-26 12026| 84405| 6402|10417
17092-2627|C |17155-2635|156026|           | 84478|     |10417
17092-2627|B |17155-2635|155885|CD-26 12026|      | 6401|10417
17095+1629|* |17140+1621|155937|BD+16 3130 | 84293|     |10408
17101+1430|* |17146+1424|156014|BD+14 3207 | 84345| 6406|10418
17101+1430|B |17146+1424|156015|BD+14 3207 |      | 6407|10418
17109+5414|* |17131+5408|156162|BD+54 1869 | 84236|     |10410
17109+5414|C |17131+5408|156161|BD+54 1868 |      |     |10410
17115+0119|* |17165+0113|156247|BD+01 3408 | 84500| 6414|10428
17121-3452|* |17190-3459|156384|CD-34 11626| 84709| 6426|
17136+3312|* |17173+3306|156633|BD+33 2864 | 84573| 6431|10449
17141-1739|* |17199-1745|156717|BD-17 4773 | 84792| 6435|10465
17177+2851|* |17215+2845|157358|BD+28 2728 | 84934| 6466|
17184+4004|* |17217+3959|157482|BD+40 3136 | 84949| 6469|
17184-1136|* |17240-1142|157499|BD-11 4367 | 85151|     |10515
17195-4545|* |17268-4550|157661|CD-45 11531| 85389| 6477|
17195-4545|C |17268-4550|157649|CD-45 11527|      |     |
17202+3714|* |17236+3708|157779|BD+37 2878 | 85112| 6485|10526
17202+3714|B |17236+3708|157778|BD+37 2878 |      | 6484|10526
17215+0741|* |17263+0736|157978|BD+07 3368 | 85333| 6497|
17222-1206|* |17278-1211|158101|BD-12 4757 | 85455|     |10559
17230+7306|* |17209+7301|158209|BD+73  767 | 84886|     |
17235-3338|* |17301-3343|158320|CD-33 12117| 85641|     |
17282-3231|* |17347-3235|159176|CD-32 12935| 86011| 6535|
17303+5514|* |17322+5511|159560|BD+55 1945 | 85829| 6555|10628
17303+5514|B |17322+5511|159541|BD+55 1944 | 85819| 6554|10628
17331+2757|* |17372+2754|      |BD+27 2853 | 86221|     |
17340+6157|* |17351+6152|160269|BD+61 1678 | 86036| 6573|10660
17396-3202|* |17462-3206|      |           | 86963|     |
17419+0536|* |17468+0534|161698|BD+05 3491 |      |     |10783
17423-5334|* |17505-5337|161783|CP-53 8799 | 87314| 6622|
17423-5334|B |17505-5337|      |CP-53 8799B|      |     |
17425+2747|* |17465+2744|161797|BD+27 2888 | 86974| 6623|10786
17427+3921|* |17460+3919|161832|BD+39 3219 | 86946| 6626|10782
17473-3443|* |17539-3445|162724|CD-34 12226| 87616| 6662|
17496+1109|* |17542+1108|163151|BD+11 3283 | 87655| 6676|
17503-3444|* |17569-3445|163302|CD-34 12293|      |     |
17505-1547|* |17563-1549|163336|BD-15 4722 | 87813| 6681|10891
17505-1547|B |17563-1549|      |BD-15 4723 |      |     |10891
17520+1821|* |17564+1820|163640|BD+18 3500 | 87823|     |10905
17524-3656|* |17592-3656|163708|CD-36 12064| 88069|     |
17535+0428|* |17584+0428|      |BD+04 3562 | 87991|     |
17553-4601|* |18028-4601|164324|CP-46 12055| 88375|     |
17556+2930|* |17594+2929|      |BD+29 3160 |      |     |10961
17576-0810|* |18031-0811|164765|BD-08 4549 | 88404| 6734|11005
17576-0810|B |18031-0811|164764|BD-08 4549 |      | 6733|11005
17581+2050|* |18024+2050|164852|BD+20 3649 | 88331| 6738|
17590-3635|* |18057-3635|165063|CD-36 12198| 88629|     |
18016+2126|* |18058+2127|165590|BD+21 3302 | 88637|     |11060
18016+2126|C |18058+2127|      |           | 88639|     |
18038+2605|* |18079+2606|166045|BD+26 3178 | 88818| 6781|11089
18038+2605|B |18079+2606|166046|BD+26 3178 | 88817| 6782|11089
18053-1951|* |18112-1951|166393|BD-19 4886 | 89114| 6798|11127
18065+7547|* |18028+7547|166655|BD+75  655 | 88379|     |11702
18075+7959|* |18002+8000|166866|BD+79  571 | 88136| 6810|11061
18075+7959|B |18002+8000|166865|BD+79  570 | 88127| 6809|11061
18081+3325|* |18118+3327|166988|BD+33 3044 | 89156| 6814|11149
18110-3408|* |18176-3406|167647|CD-34 12673| 89637| 6833|
18140-6132|* |18232-6130|168339|CP-61 6140 | 90098| 6855|
18148+4348|* |18178+4351|      |BD+43 2938 | 89655|     |11247
18199+8434|* |18015+8436|      |BD+84  409 |      |     |11163
18214+5135|* |18238+5139|169816|BD+51 2372 | 90141|     |11328
18221+0008|* |18272+0012|169985|BD+00 3936 | 90441| 6918|11353
18221+0008|B |18272+0012|169986|           |      |     |11353
18222+7117|* |18208+7120|170000|BD+71  889 | 89908| 6920|11311
18224+5844|* |18240+5848|170073|BD+58 1809 | 90156| 6923|11336
