#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-27T21:18:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea74b405ee0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=23	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+AS/124/75&tab:{J/A+AS/124/75/orbits}&key:source=J/A+AS/124/75/orbits&HTTPPRM:&
#-source=J/A+AS/124/75/orbits
#-order=I
#-out=IDS
#-out=Level
#-out=Period
#-out=x_Period
#-out=T
#-out=e
#-out=a
#-out=x_a
#-out=Node
#-out=LongP
#-out=n_Node
#-out=Incl
#-out=K1
#-out=K2
#-out=V0
#-out=Comm
#-out.all=2
#

#RESOURCE=yCat_41240075
#Name: J/A+AS/124/75
#Title: Multiple star catalogue (MSC) (Tokovinin 1997-1999)
#Table	J_A_AS_124_75_orbits:
#Name: J/A+AS/124/75/orbits
#Title: Orbital parameters
#Column	IDS	(a10)	IDS(1900)	[ucd=meta.id;meta.main]
#Column	Level	(I4)	Level in hierarchy	[ucd=meta.code.multip]
#Column	Period	(F10.4)	Period (see X_period for the units)	[ucd=time.period]
#Column	x_Period	(A1)	[dy] Units of period (d,y)	[ucd=meta.unit]
#Column	T	(F10.3)	Periastron epoch (y or JD-2400000)	[ucd=time.epoch]
#Column	e	(F6.3)	Eccentricity	[ucd=src.orbital.eccentricity]
#Column	a	(F7.3)	Semi-major axis (see x_a fir the units)	[ucd=phys.angSize.smajAxis;src.orbital]
#Column	x_a	(A1)	["m] Units of axis (",m)	[ucd=meta.unit]
#Column	Node	(F6.1)	P.A. of the node	[ucd=src.orbital.node]
#Column	LongP	(F6.1)	Longitude of periastron	[ucd=src.orbital.periastron]
#Column	n_Node	(A1)	'A' if primary node, 'B' otherwise	[ucd=meta.note]
#Column	Incl	(F6.1)	Inclination	[ucd=src.orbital.inclination]
#Column	K1	(F6.1)	Primary semi-amplitude	[ucd=src.var.amplitude]
#Column	K2	(F6.1)	Secondary semi-amplitude	[ucd=src.var.amplitude]
#Column	V0	(F7.1)	Center of mass velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Comm	(a31)	Comment, reference	[ucd=meta.note]
IDS|Level|Period|x_Period|T|e|a|x_a|Node|LongP|n_Node|Incl|K1|K2|V0|Comm
04556+2631|  12|  186.2800|d| 49712.200| 0.343|  0.000| |   0.0| 193.7|A|   0.0|  18.4|  25.7|   -7.5|A&AS 121 71 1997 Tokovinin
04565+0950|  11|   11.9623|d| 49799.470| 0.323|  0.000| |   0.0| 212.0|A|   0.0|  10.0|  17.6|   17.3|A&A 344 897 1999 Delfosse+
04588+5127| 111|  391.7000|d| 18619.000| 0.370|  0.000| |   0.0|  84.0|A|   0.0|   5.8|   0.0|   -7.4|SB 295
05018-0447|  11|    5.5227|d| 41384.130| 0.100|  0.000| |   0.0| 161.0|A|   0.0| 103.8| 100.7|   32.6|SB 296
05020+2407|  11|   58.2500|d| 44276.600| 0.260|  0.000| |   0.0| 296.0|A|   0.0|  30.5|   0.0|   10.4|ApJS 74 551 1990 (SB 297)
05024+0822|  11|  198.9000|y|  1974.800| 0.170|  1.040|"|  88.7|  59.3|B| 141.0|   0.0|   0.0|    0.0|VBO
05035+2754|  12|   32.1000|y|  1969.100| 0.930|  0.217|"| 128.7| 239.0|B| 139.5|   0.0|   0.0|    0.0|VBO
05065-0840|  11|    0.4234|d|     0.000| 0.000|  0.000| |   0.0|   0.0| |   0.0| 130.1| 235.5|   34.7|A&A 289 827 1994 Goecking et al
05066+0024|  11|   25.3650|d| 42329.660| 0.533|  0.000| |   0.0| 102.9|A|   0.0|  74.5|  77.8|   26.9|ApJS 37 371 1978 Wolff, Preston
05081+0244|  11| 1031.4000|d| 26182.460| 0.100|  0.000| |   0.0|  17.9|A|   0.0|   8.7|   0.0|   40.5|SB 304
05081+4618|  11|    1.2473|d| 39327.454| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  70.0|   0.0|   15.0|SB 303
05083+0151|  11|  312.0000|y|  1926.000| 0.850|  0.383|"| 174.4| 267.6|B|  23.3|   0.0|   0.0|    0.0|VBO
05083+0151|  11|  530.0000|y|  1924.800| 0.887|  0.527|"|  87.0| 354.0| |  15.0|   0.0|   0.0|    0.0|AJ 117 1023 1999 Mason+ uncert.
05089+3234|  11|    3.7887|d| 21207.866| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  23.0|   0.0|   -9.8|SB 305
05089+3234|  12|    2.9934|d| 49974.296| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  28.7|   0.0|   -9.0|A&AS 121 71 1997 Tokovinin
05093+4553|  11|  104.0220|d| 47528.450| 0.000| 56.470|m|  40.8|   0.0|A| 137.2|  26.1|  27.4|   29.5|AJ 1993 C.Hummel et al. +SB 306
05093+4553|  12|  388.0000|y|     2.010| 0.000|  3.720|"| 168.5|   0.0|B|  65.0|   0.0|   0.0|    0.0|VBO
05097-0819| 121|    9.8600|d| 29633.196| 0.100|  0.000| |   0.0|  10.0|A|  17.1|  25.0|  32.6|   19.1|SB 307
05116+3316|  11|  434.8000|d| 18690.000| 0.100|  0.000| |  56.0|  40.0|A|  52.9|  14.8|   0.0|  -27.5|SB 309 + Hipparcos
05164-0030|  11|    5.4400|d|     0.000| 0.000|  0.000| |   0.0|   0.0| |   0.0|  43.0| 107.0|    0.0|ApJS 74 551 1990 Abt et al.
05188-0058|  11|   22.5804|d| 49990.090| 0.610|  0.000| |   0.0| 216.1|A|   0.0|  53.2|  71.3|   55.0|A&AS 121 71 1997  Tokovinin
05188-0058|  12|   24.6800|y|  1934.440| 0.750|  0.189|"| 141.0| 180.0|B|  81.8|   0.0|   0.0|    0.0|VBO
05188-0058|  12|   49.3600|y|  1922.100| 0.000|  0.332|"| 141.0| 180.0|B|  90.0|   0.0|   0.0|    0.0|VBO
05194-0229|  11|    9.4422|y|  1991.020| 0.450| 44.100|m| 300.4| 150.0|A| 102.8|  19.2|   0.0|   29.9|(SB 320 + VBO) T98
05194-0229| 111|    7.9841|d| 15839.717| 0.000|  0.000| |   0.0|   0.0|A|   0.0| 145.2| 153.0|   35.9|SB 319
05212+3442|   1|  294.0000|d|     0.000| 0.540|  0.000| |   0.0|  50.0|A|   0.0|  94.0|   0.0|   -2.7|A&A 289 853 1994 Drechel et al.
05212+3442|  11|    1.8115|d| 38448.579| 0.040|  0.000| |   0.0| 122.0|A|  72.0| 209.0| 307.0|   13.0|SB 322
05213+1753|  11|   15.3800|y|  1983.600| 0.826| 68.400|m| 251.9| 325.0| | 115.4|   0.0|   0.0|    0.0|AJ 114 808 1996 Mason
05216+0300|  11|    2.5259|d| 44590.540| 0.030|  0.000| |   0.0| 227.0|A|   0.0| 139.1| 219.0|   26.3|ApJS 75 965 1991 (SB 323)
05230+3518|  11|    4.0026|d| 40945.651| 0.000|  0.000| |   0.0|   0.0|A|   0.0| 113.0| 301.7|   -2.5|SB 325, LY Aur
05254+0552|   1|  586.0000|y|     2.005| 0.145|  1.293| |  36.4| 345.6| | 101.6|   0.0|   0.0|    0.0|VBO
05254+0552|  11|    3.9637|d| 44996.020| 0.380|  0.000| |   0.0| 117.0|A|   0.0|  23.0|   0.0|   12.0|ApJS 75 965 1991 Morell, Levato
05269-0022|  12|   25.5920|d| 21601.600| 0.260|  0.000| |   0.0| 283.0|A|   0.0|  10.0|   0.0|   18.5|A&A 343 273 1999 Leone+
05269-0022| 111|    5.7324|d| 20024.212| 0.100|  0.000| |   0.0| 358.7|A|   0.0| 101.0|   0.0|   20.1|SB 331
05285-0114|   1|  119.0880|d| 19810.300| 0.290|  0.000| |   0.0| 359.7|A|   0.0|  13.5|   0.0|    3.3|SB 332
05285-0114|  11|    1.4854|d| 42041.683| 0.000|  0.000| |   0.0|   0.0|A|  53.5| 128.6| 285.6|   22.1|SB 333
05297+1010|  11| 1857.0000|d| 43032.000| 0.270|  0.000| |   0.0| 259.0|A|   0.0|  16.1|   0.0|   32.0|SB 336
05304+2156|   1| 2959.0000|y|  2115.500| 0.210|  5.571| | 110.6| 173.2| |  56.1|   0.0|   0.0|    0.0|VBO
05304+2156|  11|   49.3840|d| 49298.840| 0.100|  0.000| |   0.0|  36.0|A|   0.0|  17.2|   0.0|   20.0|M. Smekhov, 1999, PAZh, V. 25
05304-0527|  11|   65.4331|d| 41970.420| 0.660|  0.000| |   0.0| 177.6|A|   0.0|  32.7|   0.0|   28.3|Vitrichenko et al. PAZH, 1998
05304-0527|  11|   65.4323|d| 43144.600| 0.600|  0.000| |   0.0| 180.0|A|   0.0|  33.3|   0.0|   13.3|SB 340
05304-0527|  12|    6.4705|d| 40265.343| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  52.8| 171.0|   20.7|SB 341
05305-0559| 111|   29.1338|d| 45236.490| 0.760|  0.000| |   0.0| 123.7|A|   0.0| 102.5|   0.0|   28.7|SB 343
05322+3026|  11|   53.2000|y|  1922.000| 0.560|  0.135|"| 147.5| 320.2|B| 136.2|   0.0|   0.0|    0.0|VBO
05335+2550|  11|   27.8285|d| 25147.500| 0.650|  0.000| |   0.0| 344.0|A|   0.0|  24.3|   0.0|   16.2|ApJS 74 551 1990 (SB 349)
05337-0239|  11|  155.3000|y|  1997.000| 0.051|  0.264|"| 136.0|  18.0|B| 160.4|   0.0|   0.0|    0.0|AJ 111 370 1996 Hartkopf et al.
05357-0200|  11| 1508.6000|y|  2070.600| 0.070|  2.728|"| 155.5|  47.3|B|  72.0|   0.0|   0.0|    0.0|VBO
05426+2050|  11|  925.0000|y|  1986.800| 0.900|  1.670|"| 137.7|  85.0|B|  90.5|   0.0|   0.0|    0.0|PAZh 12 480 1986 Tokovinin
05427-1034|  11|    3.4055|d| 44643.665| 0.000|  0.000| |   0.0|   0.0|A|   0.0| 123.3| 113.9|   -2.3|A&A 228 365 1990
05496+1253|   1| 2124.9000|d| 40910.000| 0.644|  0.000| |   0.0| 203.9|A|   0.0|   0.0|   0.0|    0.0|ASP Conf. 130 273 1997 Kreiner+
05566-3103|   1|  390.6000|y|  1716.000| 0.270|  3.950|"| 142.8| 245.3|B| 110.2|   0.0|   0.0|    0.0|VBO
05566-3103|  11|   72.0000|y|  1930.370| 0.500|  0.940|"| 128.2| 284.5|B| 101.8|   0.0|   0.0|    0.0|VBO
05569+0939|   1|   18.8450|y|  1978.634| 0.760|  0.276|"|  26.3| 223.7|B|  95.1|  14.4|  15.9|   42.3|VBO + SB 374
05569+0939|  11|    4.4476|d| 43741.200| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  29.5|   0.0|    0.0|SB 373
05569+0939|  12|    4.7838|d| 43744.068| 0.000|  0.000| |   0.0|   0.0|A|  67.2|  82.0|  83.3|   43.6|SB 372
05575+1942|   1|   13.2200|y|  1980.690| 0.734| 52.600|m| 230.7| 299.1|B| 109.8|  11.8|   0.0|   12.1|AJ 114 808 1996 Mason + SB 376
05575+1942|  12|   14.5722|d| 43164.210| 0.390|  0.000| |   0.0|  65.1|A|   0.0|  35.0|  39.0|    0.0|SB 375
05580+2316|   1|   13.3500|y|  1982.280| 0.361|  0.198|"| 174.9| 198.2|B|  58.2|   0.0|   0.0|    0.0|A&AS 65 411 1988 Heintz
05580+2316|  12|    9.5966|d| 40443.129| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  51.7|   0.0|   31.7|SB 377
06056-2245|   1|   18.2130|y|  1979.628| 0.336|  0.207|"| 266.6| 298.8|B|  45.9|   0.0|   0.0|    0.0|AJ 111 370 1996 Hartkopf et al.
06086+1756|  11|   23.8070|d| 40003.890| 0.740|  0.000| |   0.0| 260.0|A|   0.0|  92.9| 117.0|   28.8|SB 386
06088+2232|   1|  473.7000|y|  1819.700| 0.540|  1.080|"|  84.5|  26.2|B| 142.7|   0.0|   0.0|    0.0|VBO
06088+2232|  11| 2983.0000|d| 26570.000| 0.530|  0.000| |   0.0| 168.0|A|   0.0|   8.8|   0.0|   17.6|SB 387
06107+0112|   1|   28.1000|y|  1965.700| 0.350|  0.165| | 133.3| 253.0| |  32.0|   0.0|   0.0|    0.0|VBO; cf. Tok. AL 12 201 1986
06107+0112|  11|    2.1850|d| 49363.337| 0.000|  0.000| |   0.0|   0.0| |   0.0|  49.8|  50.5|    2.8|Obs. 116 373 1996 Griffin
06136+2828|  11|   54.0000|y|  1965.700| 0.750|  0.180| | 170.6| 142.6| |  41.5|   0.0|   0.0|    0.0|VBO
06136+2828|  11|  108.0000|y|  1889.000| 0.000|  0.280|"| 143.5|   0.0|B|  63.8|   0.0|   0.0|    0.0|VBO
06162+0219|   1|  120.0000|y|  1932.000| 0.450|  0.448| | 104.8| 261.1| |  58.4|   0.0|   0.0|    0.0|VBO
06198+8221|   1|    0.5931|d| 32056.640| 0.000|  0.000| |   0.0|   0.0| |   0.0| 121.6|   0.0|  -15.0|SB 401
06203+1849|  11|    6.9919|d| 40203.163| 0.150|  0.000| |   0.0|  77.6|A|  81.1|  56.6|  66.9|   -8.4|SB 402
06230+2016|  11|    9.5800|y|  1986.440| 0.860|  0.050|"| 131.8| 351.4|B|  43.8|  27.4|   0.0|   38.0|Baize A&AS + MN 238 1085 1989
06260+0754|   1|   31.6000|y|  1952.200| 0.300|  0.200|"|  47.0| 330.0|B|  37.4|   0.0|   0.0|    0.0|VBO
06274-5010|  11|   52.9000|y|  1969.100| 0.959|  0.484|"| 124.8|  46.5|B| 133.0|   0.0|   0.0|    0.0|VBO
06274-5010|  12|  101.0000|y|  1904.500| 0.240|  0.514|"| 116.1| 192.0|B|  30.0|   0.0|   0.0|    0.0|VBO
06355+0959| 111| 8633.0000|d| 24508.570| 0.780|  0.000| |   0.0| 349.0|A|  35.0|   9.4|   0.0|   22.0|ApJ 475 L49 1997 Gies+
06374+5933|  11|  699.0000|y|     1.740| 0.030|  1.660|"|   0.0| 154.8|B| 180.0|   0.0|   0.0|    0.0|VBO
06399+5549|  11|    4.2586|d| 50551.754| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  12.8|   0.0|    7.9|A&AS 136 373 1999 Tokovinin
06466-3135|  11|   28.6010|d| 45270.000| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  25.0|   0.0|    0.0|A&A 291 473 1994 Sterken et al.
06527+0226|  11|    6.7663|d| 47994.050| 0.027|  0.000| |   0.0| 280.8|A|   0.0|  44.8|   0.0|  -11.2|Obs. 117 351 1997 Griffin et al
06527+0226|  12|    4.4813|d| 48159.449| 0.000|  0.000| |   0.0|   0.0| |   0.0|  16.5|   0.0|  -13.2|Obs. 117 351 1997 Griffin et al
06564-0259|  11|    3.2934|d| 44988.151| 0.000|  0.000| |   0.0|   0.0| |   0.0|  33.0|   0.0|   45.6|SB 429
06580-1119|   1|  536.6000|d| 43156.400| 0.560|  0.000| |   0.0|   0.0| |   0.0|  48.0|   0.0|    0.0|SB 431
06580-1119|  11|    1.2730|d| 41743.587| 0.000|  0.000| |   0.0|   0.0|A|  51.8| 215.0| 217.0|   33.0|SB 430
06594-0254|   1|   42.2000|y|  1920.400| 0.520|  0.270|"|  94.3|   2.1|B| 102.4|   0.0|   0.0|    0.0|VBO
06594-0254|  11|    5.7192|d| 45615.856| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  27.4|   0.0|    1.1|JRASCan 82 128 1988 Scarfe et a
07103-1518|  11|  512.3000|y|  1593.900| 0.000|  0.727|"|   0.0|   0.0|B|   0.0|   0.0|   0.0|    0.0|VBO
07124-1151|  11|  109.0000|y|  1985.430| 0.510|  0.244|"| 152.9|  28.8|B|  46.3|   0.0|   0.0|    0.0|VBO
07142+2210|   1| 1200.0000|y|     1.437| 0.110|  6.975|"|  18.4|  57.2|B|  63.3|   0.0|   0.0|    0.0|VBO
07142+2210|  11| 2238.6000|d| 15466.500| 0.353| 14.310|m|  70.0| 214.6| |  92.4|   0.0|   0.0|    0.0|SB 442 +  HIP
07146-2446|  11|  154.9180|d| 43632.400| 0.285|  0.000| |   0.0|  81.0|A|   0.0|  75.5|   0.0|   33.8|Obs. 118 7 1998 (also SB 444)
07147+5528|  11|    2.2596|d| 19031.632| 0.080|  0.000| |   0.0| 126.1|A|  90.0| 106.4| 199.1|    4.2|SB 445
07180-5207|  11|  122.1690|d| 42881.330| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  25.3|   0.0|   17.6|A&A 235 291 1990 Saar et al
07180-5207| 111|   10.0000|d|     0.000| 0.000|  0.000| |   0.0|   0.0| |   0.0|  30.0|   0.0|    0.0|A&A 235 291 1990 Saar et al
07214+4823| 111| 1834.0000|d| 40665.000| 0.300|  0.000| |   0.0|  74.0|A|   0.0|   5.0|   0.0|   20.7|SB 452
07218+2139| 111|    2.0734|y|  1986.139| 0.535| 73.600|m| 167.1|  27.8|B|  90.8|   0.0|   0.0|    0.0|AJ 114 808 1996 Mason
07218+2139| 111|    2.0380|y|  1990.400| 0.480|  0.087|"| 172.0|  51.0|B|  97.0|   0.0|   0.0|    0.0|A&A 341 121 1999 Soderhjelm
07218+2139|1111|    1.9327|d| 23429.680| 0.030|  0.000| |   0.0|  42.0|A|  68.6|  96.2| 115.9|   22.5|SB 454
07234+4824|  11|    0.9400|y|  1969.600| 0.600|  0.000| | 102.0|  30.0| |  94.0|   0.0|   0.0|    0.0|VBO
07234+4824|  12|   20.5000|y|  1071.200| 0.180|  0.656|"| 167.0|  25.0|B|  40.0|   0.0|   0.0|    0.0|VBO
07248-1447|  11| 1090.9000|y|  1885.000| 0.360|  3.684|"| 145.2| 176.5|B|  49.4|   0.0|   0.0|    0.0|VBO
07261-4306|  11|  257.8000|d| 20418.600| 0.170|  8.200|m| 332.0| 349.3|A|  68.1|  18.6|   0.0|   87.3|SB 458 + Hipparcos
07268+2306|  11|  746.3000|d| 48797.500| 0.510|  0.000| |   0.0| 180.6|A|   0.0|  12.0|   0.0|   30.1|Obs. 114 268 1994 R.Griffin
07268+2306| 121|   27.1614|d| 48657.120| 0.394|  0.000| |   0.0| 151.4|A|   0.0|  39.5|  48.6|   30.9|Obs. 114 268 1994 R.Griffin
07282+3206|  11|  511.3000|y|  1950.650| 0.360|  7.369|"|  41.7| 239.8|B| 112.9|   0.0|   0.0|    0.0|VBO
07282+3206|  12|    0.8143|d| 24989.117| 0.000|  0.000| |   0.0|   0.0|A|   0.0| 121.0| 119.0|    0.9|SB 463
07282+3206| 111|    9.2128|d| 27543.938| 0.500|  0.000| |   0.0| 266.4|A|   0.0|  12.9|   0.0|    5.2|SB 462
07282+3206| 112|    2.9283|d| 27501.703| 0.000|  0.000| |   0.0|  94.7|A|   0.0|  31.9|   0.0|   -1.2|SB 461
07409-1426|  12|    1.6607|d| 43119.733| 0.050|  0.000| |   0.0| 149.7|A|   0.0| 130.0| 130.9|   31.0|SB 475
07569-0819|   1|  152.3900|y|  2028.810| 0.786|  0.482|"| 114.4| 268.7|B|  80.4|   0.0|   0.0|    0.0|IAU #133 1997 Olevic, Jovanovic
07588+1235|  11|   44.7500|y|  1954.750| 0.428|  0.453|"| 115.1| 294.0|B|  53.7|   0.0|   0.0|    0.0|VBO
08011+7948|  11|    4.8843|d| 49419.616| 0.000|  0.000| |   0.0|   0.0| |   0.0|  39.1|   0.0|   -6.6|A&AS 121 71 1977  Tokovinin
08065+1757|   1| 1115.0000|y|  1970.000| 0.240|  7.700|"|  74.2| 345.5|B| 146.0|   0.0|   0.0|    0.0|AJ 111 408 Heintz
08065+1757|  11|   59.5000|y|  1989.230| 0.325|  0.880|"|  30.4| 204.0|B| 165.0|   0.0|   0.0|    0.0|AJ 111 408 1996 Heintz
08065+1757|  12|   17.3200|y|  1984.060| 0.080|  0.182|"|  77.0| 193.0|B| 142.0|   0.0|   0.0|    0.0|AJ 111 408 1996 Heintz
08065-4702|  11|   78.5002|d| 32846.800| 0.400|  0.000| |   0.0| 256.0|A|   0.0|  70.0| 130.0|   12.0|SB 500
08065-4702|  12|    1.4826|d| 37663.538| 0.060|  0.000| |   0.0| 197.6|A|   0.0|  45.0|   0.0|    9.7|SB 499
08076-6819|  11|   14.1683|d| 19457.104| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  66.7|   0.0|    9.7|SB 502
08140+4743|  12|  279.5000|y|  1928.500| 0.730|  0.479|"|  48.0|  96.0|B|  40.0|   0.0|   0.0|    0.0|VBO
08207+2451|  12|   21.7270|y|  1976.860| 0.084|  0.149|"| 147.4|  60.7|B|  18.9|   0.0|   0.0|    0.0|AJ 111 370 1996 Hartkopf et al.
08207+3232|  12|   79.5000|y|  1951.600| 0.260|  0.350| | 142.7|  33.1| |  61.8|   0.0|   0.0|    0.0|VBO
08231-2031|  11|    4.5962|d| 44620.659| 0.100|  0.000| |   0.0| 108.7|A|   0.0| 103.6| 103.7|    1.5|SB 513
08234-0211|  11|   52.6400|y|  1948.940| 0.477|  0.337|"|  62.4| 223.8|B|  85.6|   0.0|   0.0|    0.0|IAU #94 1980 Docobo-Costa
08234-0211| 111|    2.4995|d| 42884.158| 0.010|  0.000| |   0.0|  44.2|A|   0.0|  86.1|   0.0|   -4.6|SB 515
08234-0211| 112|    5.9771|d| 46578.939| 0.000|  0.000| |   0.0|   0.0|A|  40.3|  42.1|  64.9|  -12.0|SB 514
08252+7503|  11|    4.2850|d| 24971.150| 0.110|  0.000| |   0.0| 101.7|A|   0.0|  63.5|   0.0|   -7.4|SB 516
08259+1944|  11|    2.7715|d| 50207.813| 0.000|  0.000| |   0.0|   0.0| |   0.0|  68.1|  74.1|    4.4|A&A 342 L63 1999 Delfosse+
08305+0658|  11|   14.2996|d| 46781.300| 0.332|  0.000| |   0.0| 227.1|A|   0.0|  21.9|   0.0|   26.6|A&A 248 485 1991 DM (SB 523)
08354+2013|  11|    3.0572|d| 47901.548| 0.000|  0.000| |   0.0|   0.0| |   0.0|  52.5|  67.2|   34.3|A&A 283 515 1994 Mermillod et a
08356+1925|  11|   51.2424|d| 48981.090| 0.664|  0.000| |   0.0| 187.1|A|   0.0|  23.4|   0.0|   35.4|A&A 283 515 1994
08371-5242|  11|    3.1922|d| 19729.490| 0.050|  0.000| |   0.0| 288.0|A|   0.0|  57.0|   0.0|   14.5|ApSpSci 146 361 1988 Levato et
08373+0956|  11|   20.9491|d| 44297.720| 0.230|  0.000| |   0.0| 208.0|A|   0.0|  11.1|   0.0|   20.5|A&A 200 135 1988 Duquennoy+
08374+1948|  12|   35.8960|d| 48937.600| 0.187|  0.000| |   0.0| 282.0|A|   0.0|  38.3|  41.2|   34.9|A&A 283 515 1994 Mermillod et a
08415+0647|  11|  990.0000|y|  1920.000| 0.300|  4.660|"| 229.3|  20.0|A|  39.0|   0.0|   0.0|    0.0|AJ 111 408 1996 Heintz
08415+0647| 111|   15.0600|y|  1991.180| 0.665|  0.250|"| 284.8|  86.8|A|  50.0|   7.3|   0.0|   36.4|AJ 111 408 1996 + SB 533
08415+0647| 112|    9.9047|d| 23800.007| 0.620|  0.000| |   0.0| 117.6|A|   0.0|  35.0|   0.0|   31.2|SB 532
08467-0648|  11|    2.8951|d| 40000.650| 0.000|  0.000| |   0.0|   0.0| |   0.0|  34.6|  43.2|   32.5|ApJS 59 229 1985
08524+4826|   1|  817.9100|y|  1993.900| 0.790|  9.092|"|   4.8| 129.7|B|  57.8|   0.0|   0.0|    0.0|VBO
08524+4826|  11| 4028.0000|d| 16342.000| 0.360|  0.000| |   0.0|  33.0|A|   0.0|   6.0|   0.0|    6.8|SB 543
08524+4826|  12|   39.6900|y|  1918.580| 0.320|  0.680|"|  21.0| 338.3|B| 108.0|   0.0|   0.0|    0.0|VBO
08533-5220|  11|    0.9147|d| 17967.119| 0.130|  0.000| |   0.0|  44.3|A|   0.0|  46.3|   0.0|   22.2|SB 544
08535+0852|  11|    7.5555|d| 50471.200| 0.014|  0.000| |   0.0|   7.0|A|   0.0|  30.2|  36.8|   -7.6|A&A 344 897 1999 Delfosse+
08555-0758|  11|   18.8302|d| 49101.940| 0.493|  0.000| |   0.0|  12.5|A|   0.0|  13.7|   0.0|   -9.8|Obs. 115 193 1995 Griffin
09027+5454|   1|   32.5000|y| 38050.000| 0.294|  0.000| |   0.0| 259.0| |   0.0|   0.0|   0.0|    0.0|A&A 340 415 1998 Chochol+
09104-6030|   1|   71.3000|y|  1967.300| 0.560|  0.265|"|  42.6| 253.5|B|  74.5|   0.0|   0.0|    0.0|AJ 111 412 1996 Heintz
09117-0556|  11|  922.0000|d| 18549.210| 0.290| 10.640|m| 282.8|  92.3|A|  92.6|  10.0|   0.0|   -7.7|SB 564 + Hipparcos
09180+5200|  11|   66.7170|d| 44667.860| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  23.3|   0.0|  -18.9|SB 566
09235-3434|  11|  721.3315|d| 48702.085| 0.571|  8.040|m| 123.7| 107.9| | 116.5|   0.0|   0.0|    0.0| HIP  46396 111111 m
09241-0219|  11| 2807.0000|d| 45260.000| 0.330|  0.000| |   0.0| 340.0|A|   0.0|   3.0|   0.0|   10.9|A&A 248 485 1991 DM
09291+4024|  12|   28.2310|d| 50540.170| 0.440|  0.000| |   0.0| 285.5|B|   0.0|  20.1|   0.0|  -23.1|PAZh 24 343 1998 Tokovinin
09291+4024| 111|    1.6815|d| 31540.292| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  99.1| 136.5|  -25.0|SB 575
09311+5628|   1| 8138.0000|d| 39474.000| 0.280|  0.000| |   0.0| 219.8|A|   0.0|   0.0|   0.0|    0.0|ASP Conf. 130 277 1997 Simon
09311+5628|  11|    0.6874|d| 28924.963| 0.000|  0.000| |   0.0|   0.0| |   0.0|  59.0|   0.0|  -13.0|SB 577
09320+6859|   1|  635.4000|d| 45464.500| 0.149|  0.000| |   0.0| 135.0|A|   0.0|   9.4|   0.0|   10.8|A&AS 91 265 1991 Ginestet et al
09320+6859|  11|    5.8214|d| 45343.878| 0.000|  0.000| |   0.0|   0.0| |   0.0|  44.2|   0.0|    0.0|A&AS 91 265 1991 Ginestet et al
09358+1020|  11|   14.4980|d| 14660.301| 0.000|  4.560|m|   0.0|   0.0|A|  58.3|  63.1|  54.1|   27.1|SB 580 + IAU Sym 158 1993
09442+2139|  11|    4.1467|d| 42094.100| 0.000|  0.000| |   0.0|   0.0| |  75.0| 100.1| 101.3|   27.3|PASP 103 628 1991 Rosvick et
09562+1754|  11|    0.2841|d| 45453.760| 0.000|  0.000| |   0.0|   0.0|A|  70.3| 124.1| 204.7|  -51.8|SB 593
09562+1754|  12|    0.8050|d| 46426.319| 0.000|  0.000| |   0.0|   0.0|A|  33.3|  46.1|  64.6|  -37.7|SB 594
10235-2518|  11|   51.8000|y|  1979.500| 0.141|  0.200|"|  76.3| 252.2|B|  68.9|   0.0|   0.0|    0.0|VBO
10298+0910|  11|    2.4451|d| 27160.738| 0.060|  0.000| |   0.0| 295.9|A|   0.0|  62.6|   0.0|   16.7|SB 618
10319+6038|  11|    2.7700|d| 40243.334| 0.000|  0.000| |   0.0|   0.0|A|   0.0|  55.2|   0.0|  -69.0|SB 619
10331-4742|   1|   16.3000|y|  1953.030| 0.730|  0.340|"|  38.3| 293.8|B| 129.4|   0.0|   0.0|    0.0|VBO
10331-4742|  11|   10.2104|d| 16461.175| 0.510|  0.000| |   0.0| 185.0|A|  38.7|  42.3|  53.6|   21.2|SB 623
10377+4643|  12|    5.6123|d| 49452.122| 0.324|  0.000| |   0.0| 105.0|A|   0.0|  21.6|   0.0|    3.7|PAZh 20 826 1994 Tokovinin
10405-5928|  11|   20.7200|d| 43532.720| 0.340|  0.000| |   0.0| 126.0|A|   0.0|  48.0|   0.0|   -8.0|ApJ 231 742 1979 Leung et al
