#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-27T21:15:22 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea74b3c5968	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+AS/124/75&tab:{J/A+AS/124/75/catalog}&key:source=J/A+AS/124/75/catalog&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+AS/124/75/catalog
#-order=I
#-out=IDS
#-out=RA2000
#-out=DE2000
#-out=pmRA
#-out=pmDE
#-out=RV
#-out=plx
#-out=r_plx
#-out=nComp
#-out=TRAP
#-out=Name
#-out.all=2
#

#RESOURCE=yCat_41240075
#Name: J/A+AS/124/75
#Title: Multiple star catalogue (MSC) (Tokovinin 1997-1999)
#Table	J_A_AS_124_75_catalog:
#Name: J/A+AS/124/75/catalog
#Title: Catalogue of Physical Multiple Stars (systems)
#Column	IDS	(a10)	IDS (based on 1900 position)	[ucd=meta.id;meta.main]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(I5)	? Proper motion in RA [NULL integer written as an empty string]	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(I5)	? Proper motion in DE [NULL integer written as an empty string]	[ucd=pos.pm;pos.eq.dec]
#Column	RV	(F6.1)	? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	plx	(F7.4)	Parallax	[ucd=pos.parallax.trig]
#Column	r_plx	(A3)	Parallax code (1)	[ucd=meta.ref]
#Column	nComp	(I1)	Number of Components (Multiplicity)	[ucd=meta.number]
#Column	TRAP	(A1)	[T] T for trapezia	[ucd=meta.note]
#Column	Name	(a20)	Name	[ucd=meta.id]
IDS|RA2000|DE2000|pmRA|pmDE|RV|plx|r_plx|nComp|TRAP|Name
06550+5419|07 03 05.5|+54 10 27|  -29|    9| -48.3| 0.0068|p2 |3| |
06564-0259|07 01 27.1|-03 07 03|   -1|    0|  45.6| 0.0003|HIP|3| |
06580-1119|07 02 42.6|-11 27 12|   -4|    3|  33.0| 0.0007|p1 |3| |FZ CMa
06594-0254|07 04 20.9|-03 03 02|  -50|  -22|   7.1| 0.0199|HIP|3| |
07009-4328|07 03 57.4|-43 36 32| -103|  389|  86.0| 0.0615|HIP|3| |Gl 264.1 AB + 264
07057-1831|07 10 09.4|-18 41 08|   12|  -17|  33.0| 0.0201|HIP|3| |
07103-1518|07 14 48.3|-15 28 34|   23|  -40|      | 0.0102|HIP|3| |
07124-1151|07 17 07.0|-12 02 02|   30|  -63|  -9.0| 0.0160|HIP|3| |
07142+2210|07 20 07.4|+21 58 56|  -19|   -8|   4.0| 0.0555|HIP|3| |55Del Gem, Gl 271
07146-2446|07 18 42.5|-24 57 16|   -2|    4|  40.0| 0.0011|bib|4| |30Tau CMa
07147+5528|07 22 52.1|+55 16 53|  -11|  -32|   5.0| 0.0070|HIP|3| |19    Lyn
07166-5710|07 18 27.1|-57 21 07|    9|  -29|      | 0.0171|HIP|4| |RST 244
07180-5207|07 20 21.5|-52 18 43|  -35|  147|  17.6| 0.0288|HIP|4| |
07214+4823|07 28 51.5|+48 11 03|   -3|  -44|  21.0| 0.0079|HIP|4| |
07218+2139|07 27 44.4|+21 26 44|  -50| -124|  25.0| 0.0294|HIP|5| |63    Gem
07227+3159|07 29 06.6|+31 47 03|  159|  194|  -4.0| 0.0541|HIP|4| |62Rho Gem, Gl 274AB+
07234+4824|07 30 44.0|+48 11 47| -220|-1276|      | 0.0776|DYN|4| |Gl 275.2 AB
07248-1447|07 29 22.0|-14 59 53| -188| -231|  -6.0| 0.0293|HIP|3| |
07261-4306|07 29 13.9|-43 18 07|  -60|  189|  87.0| 0.0177|HIP|3| |Sig Pup
07268+2306|07 32 50.6|+22 53 15|  -21|  -16|  30.1| 0.0069|HIP|5| |
07282+3206|07 34 36.0|+31 53 19| -206| -148|   6.0| 0.0633|HIP|6| |66Alp Gem, Gl 278ABC
07328-0222|07 37 49.0|-02 35 49|   -8|  -27|      | 0.0063|HIP|3| |
07337-3444|07 37 22.1|-34 58 07|  -14|   17|  24.0| 0.0091|HIP|3| |Fin 324
07374-7403|07 35 21.7|-74 16 30|   -4|   21|  13.0| 0.0047|p12|3| |
07377+6418|07 47 00.4|+64 03 07|  -13|  -36|      | 0.0058|HIP|3|T|
07409-1426|07 45 29.1|-14 41 26|  -15|  -21|  24.0| 0.0091|HIP|3| |2    Pup
07426+2323|07 48 33.7|+23 08 28|  -11|   -2|  -5.0| 0.0080|p12|3| |82    Gem
07559-6002|07 57 46.3|-60 18 12|  518|  119|  14.0| 0.0618|HIP|3| |Gl 294 ABC
07569-0819|08 01 44.5|-08 35 35|  -48|    8|      | 0.0100|DYN|3| |BV 1954
07575+4734|08 04 44.4|+47 17 24|  -14|   -8|      | 0.0055|p13|3| |
07588+1235|08 04 23.1|+12 17 24|   79| -148| -11.3| 0.0320|HIP|3| |Wo 9249ABC
08011+7948|08 16 31.2|+79 30 04|  -54|  -68|  -6.6| 0.0131|HIP|3| |
08016-0857|08 06 27.4|-09 14 40|   -6|    5|  28.0| 0.0041|HIP|3| |
08032+3231|08 09 30.3|+32 13 16|   36|   -9|  11.4| 0.0149|HIP|3| |
08065+1757|08 12 12.7|+17 38 53|   28| -151|  -6.0| 0.0391|HIP|4| |16Zet1Cnc
08065-4702|08 09 32.0|-47 20 12|   -6|   10|  12.0| 0.0039|HIP|6|T|Gam2Vel
08076-6819|08 07 55.8|-68 37 02|  -30|   31|  10.0| 0.0051|HIP|3| |Eps Vol
08093-4558|08 12 30.8|-46 15 51|   -6|    9|  13.0| 0.0033|p1 |3| |
08140+4743|08 21 07.5|+47 24 47|  -10|  -60|   0.2| 0.0133|HIP|4| |
08201-7112|08 19 49.0|-71 30 54|  -17|   37|  36.0| 0.0084|HIP|4|T|Kap 1,2 Vol
08207+2451|08 26 39.8|+24 32 04|  -40|  -82|  15.0| 0.0143|DYN|3| |24    Cnc
08207+3232|08 26 58.4|+32 13 32|  -37| -119| -10.3| 0.0154|HIP|4| |
08215-4227|08 24 57.2|-42 46 12|  -12|    7|  23.0| 0.0015|p1 |3| |
08226-3843|08 26 17.7|-39 03 32|   -8|    8|  28.0| 0.0053|HIP|4| |NO Pup
08231-2031|08 27 33.3|-20 50 38|   12|  -15|   1.0| 0.0045|HIP|3| |VV Pyx
08234-0211|08 28 29.2|-02 31 02|  -10|  -11|  -4.6| 0.0117|HIP|5| |
08252+7503|08 36 48.8|+74 43 25|  -16|  -18|  -6.0| 0.0119|HIP|3| |
08259+1944|08 31 38.0|+19 23 48| -256| -119|   4.4| 0.0780|HIP|4| |GJ 2069 AB, CU Cnc
08259-4736|08 29 04.8|-47 55 44|   -8|    7|  29.0| 0.0015|p12|3| |
08277-3844|08 31 24.7|-39 03 51|   -6|    9|  11.0| 0.0021|HIP|3| |
08279-1441|08 32 33.4|-15 01 49|  -49|   22|  23.0| 0.0141|HIP|3| |
08305+0658|08 35 51.1|+06 37 14| -135| -131|  25.0| 0.0377|HIP|4| |Gl 310.1 AB
08354+2013|08 41 12.0|+19 51 00|     |     |  33.0| 0.0065|p1 |3| |KW 367
08355-4004|08 39 09.5|-40 25 09|   -3|    4|  22.0| 0.0020|HIP|3| |
08356+1925|08 41 07.0|+19 04 16|     |     |  34.3| 0.0069|p1 |3| |KW 365
08371-5242|08 39 57.6|-53 03 17|  -26|   22|  14.0| 0.0076|HIP|3| |
08373+0956|08 42 44.4|+09 33 30|  216| -634|  22.5| 0.0749|HIP|4| |Gl 319 ABC
08374+1948|08 43 06.0|+19 26 16|     |     |  34.3| 0.0058|p1 |3| |KW 495
08415+0647|08 46 46.7|+06 25 08| -231|  -40|  36.0| 0.0241|HIP|5| |11Eps Hya
08419-5420|08 44 42.2|-54 42 31|   29| -104|   2.0| 0.0409|HIP|4| |Del Vel, Gl 321.3A-D
08467-0648|08 51 34.4|-07 10 38|  -49|   -5|  32.5| 0.0067|HIP|3| |15    Hya
08472-4609|08 50 33.5|-46 31 45|   -3|    4|   7.0| 0.0012|HIP|3| |KX Vel, f Vel
08524+4826|08 59 12.8|+48 02 32| -441| -215|   9.0| 0.0683|HIP|4| |9Iot UMa, Gl 331 ABC
08530+1215|08 58 29.2|+11 51 28|   42|  -29| -14.0| 0.0188|HIP|3| |65Alp Cnc
08533-5220|08 56 19.3|-52 43 25|  -17|   15|  22.0| 0.0087|HIP|3| |
08535+0852|08 58 54.9|+08 28 35|  329| -320|  -7.6| 0.2240|p1 |3| |LHS 6158, G 41-14
08555-0758|08 55 29.6|-07 58 16|    8|  -26| -10.0| 0.0102|HIP|3| | 17    Hya
09027+5454|09 09 56.0|+54 29 19|  -48| -185|      | 0.0151|HIP|3| |XY UMa
09057-2957|09 09 56.4|-30 21 55|   -2|  -49|  -8.0| 0.0154|HIP|4| |Eps Pyx
09088-4312|09 12 30.5|-43 36 48|  -22|   12|  15.0| 0.0052|HIP|3| |
09104-6030|09 12 50.6|-60 55 00|  -22|   19|      | 0.0059|HIP|3| |
09117-0556|09 16 41.7|-06 21 11|   25|    4|  -8.0| 0.0117|HIP|3| |23    Hya
09126+3713|09 18 50.7|+36 48 10|  -33| -124|   4.0| 0.0268|HIP|3| |38    Lyn
09156-0907|09 20 29.0|-09 33 20|  -13|  -27|  25.0| 0.0134|HIP|3| |27    Hya
09176-7428|09 17 25.2|-74 53 40|  -16|   32|  11.2| 0.0045|HIP|3| |
09180+5200|09 24 55.6|+51 34 26|   42|   -8| -16.0| 0.0076|HIP|3| |
09224-0847|09 27 14.6|-09 13 25|  -17|   -4|  30.0| 0.0063|p1 |3| |
09235-3434|09 27 38.4|-35 00 27|  -27|  -21| -28.0| 0.0087|HIP|3| |
09241-0219|09 29 08.8|-02 46 08|  101|   -3|  10.0| 0.0585|HIP|3| |31Tau1Hya, Gl 348 AB
09291+4024|09 35 22.5|+39 57 48|   -1|   14| -25.0| 0.0118|HIP|5| |
09311+5628|09 38 06.7|+56 01 07|  -17|    3|      | 0.0000|HIP|3| |VV UMa
09320+6859|09 40 31.2|+68 32 13|  -46|  -25|  10.8| 0.0057|HIP|3| |
09358+1020|09 41 09.1|+09 53 33| -144|  -38|  27.0| 0.0241|HIP|3| |14 Omi Leo
09442+2139|09 49 50.1|+21 10 46|  -44|  -14|  26.0| 0.0063|HIP|3| |20 Leo, DG Leo
09503-2914|09 54 48.1|-29 42 28|  -20|    5|      | 0.0055|p13|3| |
09562+1754|10 01 40.4|+17 24 33|   57|  -58| -38.0| 0.0159|HIP|4| |XY Leo
10030+1227|10 08 22.5|+11 58 02| -249|    5|   6.0| 0.0421|HIP|3| |32Alp Leo, Wo 9316
10150+0656|10 20 32.3|+06 25 48|   -8|  -44|   1.8| 0.0047|p1 |3| |
10160-5654|10 19 36.0|-57 24 18|   -2|  -13|      | 0.0001|p1 |3| |HP Car
10172-5532|10 20 54.8|-56 02 36|  -18|    2|  10.0| 0.0043|p1 |3| |
10235-2518|10 28 10.5|-25 48 26|  -55|   24|      | 0.0109|HIP|3| |
10263-2339|10 31 05.0|-24 10 47|    9|  -21|      | 0.0069|HIP|3| |
10298+0910|10 35 02.2|+08 39 02|  -53|   -6|  17.0| 0.0071|HIP|3| |49 Leo, TX Leo
10319+6038|10 38 19.9|+60 07 30|  -23| -202| -69.0| 0.0142|HIP|3| |
10331-4742|10 37 18.3|-48 13 32| -132|   -2|  19.0| 0.0377|HIP|3| |P Vel
10347+1946|10 40 03.2|+19 14 26|  -43|  -35|  12.1| 0.0090|HIP|3| |
10363-3513|10 40 51.6|-35 44 30|  -27|    6|  11.0| 0.0047|HIP|3| |
10377+4643|10 43 33.1|+46 12 15| -268|  -66|   4.0| 0.0280|HIP|3| |
10405-5928|10 44 22.9|-59 59 36|   -7|    3| -36.0| 0.0007|p1 |4| |QZ Car
10413-7020|10 44 20.1|-70 51 35|  -46|    1|  10.0| 0.0094|HIP|3| |
10424-6005|10 46 17.1|-60 36 10|  -44|    8|   8.0| 0.0089|HIP|3| |
10483-0143|10 53 25.0|-02 15 18| -132|  -82|  26.0| 0.0125|HIP|3| |
10525-1033|10 57 30.6|-11 05 21|  -11|   18|      | 0.0052|p1 |3| |
10570+1026|11 02 10.9|+09 53 43|  -10|  -30|      | 0.0130|HIP|3| |AM Leo
10576+6217|11 03 43.8|+61 45 04| -137|  -35|  -9.0| 0.0264|HIP|4| |50Alp UMa
10596-0341|11 04 41.6|-04 13 15| -178| -104|  18.4| 0.0406|HIP|3| |
11000-5756|11 04 14.0|-58 27 51|  -23|  -28|      | 0.0022|p1 |3| |
11104-1734|11 15 19.4|-18 08 39|  294| -717|   6.5| 0.0400|p1 |3| |Gl 421 ABC
11119-0635|11 16 58.2|-07 08 05|   -7|    8|  -8.0| 0.0078|HIP|3| |
11128+3205|11 18 11.0|+31 31 45| -430| -586| -16.0| 0.1296|DYN|4| |53Xi UMa, Gl 423 AB
11130-5833|11 17 27.6|-59 06 20|  -22|    7|      | 0.0048|HIP|3| |
11137+3844|11 19 07.9|+38 11 09|  -57|  -68|  -3.0| 0.0178|HIP|4| | 55    UMa
11171-2414|11 22 05.3|-24 46 40|  -85|  -33|  10.0| 0.0214|HIP|4| |GJ 2084 AB
11179+0441|11 23 02.6|+04 08 17| -114|   32|  26.5| 0.0083|HIP|3| |
11242-1648|11 29 13.0|-17 21 03|   72|  -20|      | 0.0079|p1 |3| |
11248+3031|11 30 04.4|+29 57 54|  -82| -200| -17.0| 0.0151|HIP|3| |AW UMa
11254+4150|11 30 49.8|+41 17 14|   93|  -96|  -3.0| 0.0128|HIP|3| |
11270-0259|11 32 07.0|-03 31 52|  -12|  -25|   7.0| 0.0180|bib|3| |
11295+1720|11 34 42.5|+16 47 49|   -9|   -1|   6.4| 0.0026|p12|4| |90 Leo
11311+5642|11 36 35.9|+56 08 08| -178|  -92| -17.0| 0.0229|HIP|3| |
11319+4801|11 37 24.5|+47 27 45|  100|  -20| -33.6| 0.0277|HIP|3| |DF UMa
11335+4539|11 38 45.4|+45 06 30| -594|   15| -18.0| 0.0429|HIP|3| |Gl 433.2 AB
11348-6451|11 39 29.6|-65 23 52|  -29|   -7|  14.0| 0.0058|HIP|3| |
11381-3859|11 43 13.0|-39 26 20| -183|   61|      | 0.0167|HIP|3| |
11416-5728|11 46 27.3|-58 01 52|  -11|    2|      | 0.0017|p1 |3| |
11428+2046|11 47 59.2|+20 13 08| -146|   -4|   0.4| 0.0144|HIP|3| |93    Leo
11459-0446|11 51 02.2|-05 20 00|    1|    1|  12.0| 0.0126|HIP|3| |
11499+4701|11 55 05.7|+46 28 37|   10|    3|  -8.0| 0.0041|HIP|5| |65  UMa, DN UMa
12010+6915|12 06 01.4|+68 41 55|  -23|  -32| -12.6| 0.0077|HIP|3| |
12012-6509|12 06 23.1|-65 42 34|  -52|  -11|  -4.0| 0.0058|HIP|3| |
12021+6938|12 07 07.6|+69 04 35|    6|   31|  -2.7| 0.0113|HIP|3| |
12091+3320|12 14 06.6|+32 47 03| -108|   -5| -10.3| 0.0091|HIP|4| |
12093+1223|12 14 21.0|+11 49 10|   48| -107|  10.0| 0.0109|HIP|3| |AH Vir
12148-0007|12 19 54.4|+00 40 01|  -63|  -18|   2.0| 0.0136|ORB|3| |15Eta Vir
12190+5443|12 23 50.8|+54 09 30|    4|   10| -20.0| 0.0030|p1 |3| |
12210-6233|12 26 35.9|-63 05 57|  -35|  -15|  11.9| 0.0102|HIP|6| |Alp1Cru
12219-0259|12 27 00.7|-03 32 05|  119|  -93|  -5.0| 0.0138|HIP|3| |
12226-6113|12 28 16.8|-61 45 55|   75| -159|      | 0.0206|HIP|3| |
12257+6945|12 30 06.8|+69 12 05|  -63|  -57| -13.0| 0.0056|HIP|3| |4 Dra, CQ Dra
12294+0631|12 34 32.7|+05 57 57|    3|  -25|      | 0.0089|HIP|3| |
12301+1855|12 35 07.8|+18 22 37|   -5|   23|   4.0| 0.0110|p12|3| |24    Com
12306-1619|12 35 42.8|-16 49 34|  -79|   12|      | 0.0130|HIP|3| |
12361-1228|12 41 16.0|-13 00 50| -118|    8| -11.0| 0.0117|HIP|4| |
12451+6639|12 49 03.4|+66 06 38| -437| -107|  -3.1| 0.0981|HIP|3| |Gl 487, BP Dra
12484+2147|12 53 17.8|+21 14 42|  -43|  -32|  -7.0| 0.0101|HIP|4| |35    Com
12484+8357|12 49 13.8|+83 24 46|  -28|   18|   2.0| 0.0108|HIP|3| |
12519+5438|12 56 17.6|+54 05 58|  -78|    3|   0.7| 0.0127|HIP|3| |
12545-0316|12 59 39.5|-03 48 43|  -48|    7| -18.0| 0.0109|HIP|3| |44    Vir
13011-4922|13 06 54.7|-49 54 22|  -26|  -12|  14.0| 0.0079|HIP|3| |Xi 2Cen
13015+2142|13 06 21.3|+21 09 13|  -69|  -47|   1.0| 0.0200|HIP|3| | 39    Com
13017-6446|13 08 07.2|-65 18 22|   -5|   -2| -28.0| 0.0010|p1 |3| |The Mus
13048-0500|13 09 57.0|-05 32 20|  -35|  -33|  -3.0| 0.0079|HIP|4| |51The Vir
13060+3628|13 10 36.9|+35 56 05|  -49|   22| -15.0| 0.0093|HIP|3| |RS CVn, Gl 501.1
13060-5923|13 12 17.6|-59 55 14|  -29|  -18|  12.0| 0.0094|HIP|3| |V831 Cen
13065+3122|13 11 13.0|+30 49 37|  -38|  -37|  -2.1| 0.0124|p1 |4| |
13067-5917|13 12 55.7|-59 48 59|    8| -108|  16.0| 0.0251|HIP|4| |
13085-6721|13 15 15.0|-67 53 40|  -37|  -11|  -8.0| 0.0080|HIP|3| |Eta Mus
13090-2345|13 14 27.6|-24 17 03|  -76|    7|      | 0.0091|HIP|3| |Fin 297
13149+3540|13 19 33.3|+35 06 43|  388| -779|  -8.1| 0.0760|HIP|3| |Gl 507 AB
13154+4818|13 19 45.6|+47 46 41|   94|  -18|      | 0.0964|HIP|3| |
13162-6028|13 22 38.0|-60 59 18|  -36|  -15|   6.0| 0.0092|HIP|3| |V790 Cen
13199+5527|13 23 55.4|+54 55 32|  121|  -22|  -6.0| 0.0417|HIP|5| |79Zet UMa
13199-1038|13 25 11.6|-11 09 40|  -43|  -32|   1.0| 0.0124|HIP|4| |67Alp Vir
13215+4501|13 25 48.1|+44 29 38|   11|  -24|      | 0.0204|HIP|3| |
13338+4838|13 37 51.4|+48 08 18| -234| -139| -28.0| 0.0457|HIP|3| |Gl 520 ABC
13377-4134|13 43 40.1|-42 04 03|  -13|   -4| -21.0| 0.0038|p1 |3| |
13411+0537|13 46 06.8|+05 06 56| -108|  -11|      | 0.0154|HIP|3| |HT Vir
13461-3230|13 51 49.6|-32 59 39|  -36|  -30|  10.0| 0.0110|HIP|3| |3  Cen
13472-1813|13 52 38.8|-18 42 32|  -49|    7| -22.5| 0.0050|p12|3| |DL Vir
13475-3126|13 53 12.5|-31 55 39|  -14|  -11|   5.0| 0.0049|HIP|4| |4 Cen
13568-5953|14 03 49.4|-60 22 23|  -34|  -25|   6.0| 0.0062|HIP|3| |Bet Cen
14040+3713|14 08 11.8|+36 44 57|   26|  -15| -31.3| 0.0050|HIP|3| |
14058+2534|14 10 23.9|+25 05 31|  -23|  -60|  11.0| 0.0273|HIP|3| |12 Boo, Wo 9470
14080+2911|14 12 26.7|+28 43 02|  -35|   12|  -8.5| 0.0113|HIP|3| |
14087-2846|14 14 30.5|-29 14 21|  -50|  -25|      | 0.0053|p1 |3| |
14097+5548|14 13 01.0|+55 19 32| -338|   -6| -22.0| 0.0264|HIP|3| |
14099+5215|14 13 28.9|+51 47 24|   61|  -11| -21.5| 0.0210|HIP|3| |17Kap2Boo
14109+1046|14 15 50.5|+10 18 01|  119| -193|  27.8| 0.0186|HIP|3| |
14124-2703|14 18 12.2|-27 31 16|  -31|   -8|      | 0.0067|p1 |4| |V354 Hya
14137-1255|14 19 06.6|-13 22 16|  -17|   29| -11.0| 0.0175|HIP|3| |100Lam Vir
14185+0854|14 23 22.7|+08 26 48|  -75|  -10| -18.0| 0.0152|HIP|3| |
14199-1931|14 25 29.9|-19 58 12|  -25|  -13|  -2.0| 0.0070|HIP|3| |
14290+4937|14 32 30.9|+49 11 03|  -28|   12|  -4.0| 0.0117|HIP|3| |
14308-4542|14 37 20.2|-46 08 00|  -14|  -11| -16.0| 0.0024|HIP|3| |
14328-6025|14 39 40.9|-60 50 07|-3678|  482| -22.0| 0.7421|HIP|3| |Alp1Cen
14339+4809|14 37 20.0|+47 43 05|  -21|   -1|  -4.6| 0.0110|p1 |3| |
14358+2224|14 40 21.9|+21 58 33|  -15|   40|   1.0| 0.0095|HIP|3| |McA 40
14380+1955|14 42 33.8|+19 28 49| -254| -154| -28.7| 0.0445|HIP|3| |GJ 9490ABC
14413-7007|14 50 31.0|-70 32 06|  -77|  -13|      | 0.0083|HIP|3| |
14417+4248|14 45 29.7|+42 22 56|  -71|   53| -21.1| 0.0118|HIP|3| |
14463+4907|14 49 41.4|+48 43 14|  -77|   99| -32.0| 0.0142|HIP|3| |39    Boo
14504-3414|14 56 30.8|-34 37 54|  -73|  -39|      | 0.0162|HIP|3| |
14509+4543|14 54 24.6|+45 17 55|  -68|   56| -23.8| 0.0115|HIP|3| |
14516-2058|14 57 27.3|-21 24 41| 1034|-1726|  26.8| 0.1693|HIP|3| |Gl 570 AB
14566+5416|14 59 34.6|+53 51 37|   21|    1|  -5.0| 0.0085|HIP|3| |
15005+4803|15 03 47.7|+47 39 14| -436|   19| -30.7| 0.0784|HIP|3| |44i  Boo, Gl 575 AB
15021-4454|15 08 50.6|-45 16 47|  -17|  -26|  10.0| 0.0080|HIP|3| |Lam Lup
15036-0547|15 08 49.9|-06 09 33|  -46|  -16| -37.8| 0.0095|HIP|3| |
15059+6330|15 07 50.2|+63 07 02|    3|   -1|  -4.4| 0.0110|HIP|4| |
15065-1925|15 12 13.3|-19 47 30|  -36|  -33| -12.0| 0.0087|HIP|4| |24Iot1Lib
15099+6213|15 11 50.6|+61 51 24| -163|   99|  64.0| 0.0149|HIP|4| |BV & BW Dra
15116-4730|15 18 32.0|-47 52 31|  -32|  -33|  15.0| 0.0112|HIP|3| |Mu Lup
15140+2712|15 18 20.2|+26 50 25|   94|   74| -19.6| 0.0261|HIP|3| |
15159-4419|15 22 40.9|-44 41 23|  -20|  -20|   8.0| 0.0065|HIP|3| |Eps Lup
15207+3742|15 24 29.5|+37 22 37| -148|   85| -13.0| 0.0277|HIP|4| |51Mu 1Boo
15227-0859|15 28 09.6|-09 20 50|   73| -363|   8.2| 0.0503|HIP|4| |Gl 586 ABC
15229-2831|15 28 58.7|-28 52 01|  -44|  -33|      | 0.0165|HIP|3| |
15250-3329|15 31 17.2|-33 49 11|  -21|  -31|      | 0.0100|HIP|3| |
15272-2409|15 33 09.5|-24 29 25|  -30|  -37|  -8.0| 0.0098|HIP|3| |
15285-4050|15 35 08.5|-41 10 00|  -16|  -26|   2.0| 0.0058|HIP|3| |Gam Lup
15324+6414|15 33 51.0|+63 54 25|   11|   22|   2.3| 0.0082|HIP|3| |TW Dra
15325+4008|15 36 02.6|+39 48 09| -483|   28| -67.7| 0.0458|HIP|3| |Gl 593AB + Gl 591
15333-0827|15 38 40.1|-08 47 29|   17|  -27|  -3.0| 0.0402|HIP|3| |
15344+3633|15 38 13.0|+36 14 48|  -60|   35| -34.2| 0.0087|bib|6| |
15356+3657|15 39 22.7|+36 38 09|  -15|   -7| -24.0| 0.0069|HIP|4| |7Zet2CrB
15361-5131|15 43 29.0|-51 50 37|   -3|  -14|      | 0.0040|p12|3| |HH Nor
15369+0047|15 42 01.4|+00 27 26|   20|  -19|   3.0| 0.0066|HIP|3| |
15371+2000|15 41 33.1|+19 40 14|  -60|  -43| -17.0| 0.0170|HIP|3| |21Iot Ser
15401-2744|15 46 12.9|-28 03 41|  -63|  -22| -21.0| 0.0147|HIP|4|T|
15453+2526|15 49 33.0|+25 27 37|  -48|    6| -30.6| 0.0057|HIP|4| |
15492-1905|15 55 00.4|-19 22 58|  -11|  -18|  -7.0| 0.0052|HIP|3| |47    Lib
15535-3807|16 00 07.3|-38 23 48|  -17|  -27|   8.0| 0.0066|HIP|3| |Eta Lup
15544-2220|16 00 20.0|-22 37 18|   -9|  -37|  -7.0| 0.0069|DYN|3| |7Del Sco
15554-5730|16 03 32.2|-57 46 29| -118|  -78| -14.0| 0.0233|HIP|3| |Iot1Nor
15556+1158|16 00 16.0|+11 40 18|   18|  -32|   5.3| 0.0100|HIP|3| |
15563-2225|16 02 10.0|-22 41 27|     |     |  -2.3| 0.0062|bib|3| |
15589-1105|16 04 22.1|-11 22 23|  -60|  -29| -29.0| 0.0385|DYN|5| |Xi  Sco
15593-3235|16 05 39.4|-32 51 42| -361| -235| -26.4| 0.0239|HIP|3| |Wo 9543 ABC
15596-1932|16 05 26.2|-19 48 19|   -7|  -25|  -1.0| 0.0070|ORB|5| |8Bet1 Sco
16004-0601|16 05 44.5|-06 17 28|   50|    6| -11.0| 0.0128|HIP|3| |
16012+1057|16 05 53.7|+10 41 06| -524|  -42| -60.6| 0.0248|HIP|5| |NQ Ser
16019-3849|16 08 34.6|-39 05 34|   -6|  -23|  -3.0| 0.0042|HIP|5| |
16062-1912|16 11 59.7|-19 27 38|  -10|  -25|   2.0| 0.0075|HIP|7| |14Nu  Sco
16071+5812|16 09 02.9|+57 56 16|  -24|   33| -10.0| 0.0081|HIP|3| |
16086+1348|16 13 18.3|+13 31 40|  183| -419|  18.1| 0.0410|HIP|3| |GJ 615.1AB
16109+3407|16 14 41.0|+33 51 32| -267|  -87| -11.0| 0.0461|HIP|4| |17Sig CrB, Gl 615.2
16111-0644|16 16 28.0|-06 58 42|   21|  -20|      | 0.0010|p1 |3| |SW Oph
16151-2521|16 21 11.3|-25 35 34|  -10|  -18|   3.0| 0.0044|HIP|3| |20Sig Sco
16198+3335|16 23 32.0|+33 21 28|  -12|   -5|  22.5| 0.0091|p1 |3| |
16198-4719|16 27 11.0|-47 33 17|  -14|  -21| -12.0| 0.0082|HIP|3| |Eps Nor
16206+3716|16 24 10.5|+37 02 12| -104|   12| -51.5| 0.0095|HIP|3| |
16224-0809|16 27 48.2|-08 22 18|  -67|  -13| -31.0| 0.0267|HIP|3| |3Ups Oph
16225+6155|16 23 47.2|+61 41 47|  -30|   34| -24.0| 0.0079|HIP|3| |
16252-2421|16 31 16.0|-24 34 00|     |     |  -4.9| 0.0062|bib|4| |ROX 42
16259+0212|16 30 54.8|+01 59 03|  -31|  -73| -14.0| 0.0196|HIP|3| |10Lam Oph
16295-0400|16 34 42.4|-04 13 38| -133| -704|-171.6| 0.0207|HIP|3| |Gl 629.2 AB
16296+3043|16 33 29.1|+30 29 57|  -38|   -2| -16.2| 0.0066|HIP|3| |
16310+1715|16 35 26.3|+17 03 26|   -8|   -1|  -9.0| 0.0062|HIP|3| |
16314-5648|16 39 44.7|-56 59 40|   -4|  -13|      | 0.0124|HIP|3| |R Ara
16325+5721|16 34 24.0|+57 09 00|-1125| 1165|-118.6| 0.0690|GL |3| |Gl 630.1 AB, CM Dra
16339+5308|16 36 13.7|+52 55 28|  -12|   27| -10.0| 0.0082|HIP|3| |17 Dra
16340-2748|16 40 12.2|-27 59 50|  -45|  -72|      | 0.0048|p1 |3| |
16357+0424|16 40 38.7|+04 13 11|     |     | -34.0| 0.0108|HIP|3| |37    Her
