#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-27T21:17:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ea74b405e01	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+AS/124/75&tab:{J/A+AS/124/75/systems}&key:source=J/A+AS/124/75/systems&HTTPPRM:&
#-source=J/A+AS/124/75/systems
#-order=I
#-out=IDS
#-out=Level
#-out=Comp
#-out=Type
#-out=logP
#-out=Sep
#-out=x_Sep
#-out=PA
#-out=Vmag1
#-out=SP1
#-out=Vmag2
#-out=SP2
#-out=Mass1
#-out=MCode1
#-out=Mass2
#-out=MCode2
#-out=Rem
#-out.all=2
#

#RESOURCE=yCat_41240075
#Name: J/A+AS/124/75
#Title: Multiple star catalogue (MSC) (Tokovinin 1997-1999)
#Table	J_A_AS_124_75_systems:
#Name: J/A+AS/124/75/systems
#Title: Individual subsystems
#Column	IDS	(a10)	IDS(1900)	[ucd=meta.id;meta.main]
#Column	Level	(I4)	Level in hierarchy (1)	[ucd=meta.code.multip]
#Column	Comp	(A3)	Component designation	[ucd=meta.id]
#Column	Type	(a6)	Observing technique/status (2)	[ucd=meta.code;obs]
#Column	logP	(F5.2)	? Logarithm (10) of period in days	[ucd=time.period]
#Column	Sep	(F8.3)	Separation or axis	[ucd=pos.angDistance]
#Column	x_Sep	(A1)	['"m] Units of sep. (',",m)	[ucd=meta.unit]
#Column	PA	(I3)	Position angle	[ucd=pos.posAng]
#Column	Vmag1	(F5.2)	V-magnitude of the primary	[ucd=phot.mag;em.opt.V]
#Column	SP1	(a5)	Spectral type of the primary	[ucd=src.spType]
#Column	Vmag2	(F5.2)	V-magnitude of the secondary	[ucd=phot.mag;em.opt.V]
#Column	SP2	(a5)	Spectral type of the secondary	[ucd=src.spType]
#Column	Mass1	(F6.2)	Mass of the primary	[ucd=phys.mass]
#Column	MCode1	(A1)	Mass estimation code for primary (3)	[ucd=meta.code]
#Column	Mass2	(F6.2)	Mass of the secondary	[ucd=phys.mass]
#Column	MCode2	(A1)	Mass estimation code for secondary (3)	[ucd=meta.code]
#Column	Rem	(a20)	Remark	[ucd=meta.note]
IDS|Level|Comp|Type|logP|Sep|x_Sep|PA|Vmag1|SP1|Vmag2|SP2|Mass1|MCode1|Mass2|MCode2|Rem
02312+2412|   1|AB |Cmrp  | 7.10|  38.300|"|275| 6.50|F6III| 7.09|F4V  |  1.69|s|  1.38|a|HR 764, HD 16232
02312+2412|  11|Aab|S1    | 0.04|   0.622|m|  0| 6.50|F6III| 0.00|     |  1.54|a|  0.15|m|SB 132
02338+6007|   1|Aac|E*    | 3.83|   0.139|"|  0| 8.39|A2II | 0.00|     | 17.15|s|  7.27|:|ASP 130 269 1997
02338+6007|  11|Aab|E,S1  |-0.16|   0.267|m|  0| 8.39|A3II | 0.00|     | 14.98|a|  2.17|m|SB 133, DO Cas
02355+1822|   1|AC |Cpm   | 8.40|  65.700|"|241| 7.50|A0V  | 9.47|A8V  |  5.14|s|  1.86|a|STF 291
02355+1822|  11|AB |Chpm  | 6.52|   3.300|"|118| 7.52|A0V  | 7.92|A7IV |  3.20|a|  1.94|a|STF 291
02367+1935|   1|AB |Ch    | 7.05|  19.000|"|264| 5.69|A0Vp |12.20|     |  7.72|s|  0.58|v|BU 522
02367+1935|  11|Aac|V,o   | 3.51|   0.056|"|  0| 6.22|A0Vp | 6.72|A1V  |  4.74|s|  2.98|a|Bla 1
02367+1935| 111|Aab|o     |     |   0.000| |  0| 6.38|A0V  | 8.38|F2V  |  3.20|a|  1.54|a|
02381+0248|   1|AC |Cmrp  | 8.63| 738.000|"|289| 3.47|A3V  |10.16|K5   |  4.00|s|  0.69|a|BD+02  418
02381+0248|  11|AB |v     | 5.03|   2.800|"|296| 3.58|A3V  | 5.94|dF3  |  2.54|a|  1.46|a|STF 299
02405+5332|   1|AB |Chp   | 7.16|   8.230|"| 17| 7.73|K1III| 8.67|F2III|  7.40|s|  1.54|a|STF 301
02405+5332|  11|Aab|S1    | 2.83|   9.977|m|  0| 7.73|K1III| 0.00|A0V  |  4.20|a|  3.20|a|SB 145
02421-1017|   1|AC |Cmphr | 7.53|  21.000|"|334| 9.40|F6V  | 9.40|F8V  |  2.52|s|  2.36|s|STF 308
02421-1017|  11|AB |v     | 4.91|   0.300|"| 14|10.20|F6V  |10.20|     |  1.26|a|  1.26|v|A 2608
02421-1017|  12|CD |v     | 5.48|   0.700|"| 90|10.10|F8V  |10.10|     |  1.18|a|  1.18|v|A 2608
02437+1702|   1|AC |Chp   | 7.59|  25.000|"|110| 5.22|B6V  |11.05|F8V  |  7.56|s|  1.18|a|STF 311
02437+1702|  11|AB |Cph   | 6.28|   3.200|"|118| 5.30|B6V  | 7.95|0.41 |  6.38|s|  1.18|a|STF 311
02437+1702| 111|Aab|S1    | 0.59|   0.482|m|  0| 5.30|B6V  | 0.00|     |  5.76|a|  0.62|m|SB 146
02458+5235|   1|AC |v     | 5.83|   1.570|"|310| 6.98|B8III| 7.25| 0.08|  7.06|s|  6.40|a|STF 314
02458+5235|  11|AB |v     | 4.44|   0.150|"|120| 6.98|B8III| 8.80|     |  4.54|a|  2.52|v|A 2906
02474+3756|   1|AC |Chrmp | 6.81|  14.100|"|237| 5.33|F4IV | 9.68|0.78 |  2.53|s|  0.86|a|STF 318
02474+3756|  11|AB |V     | 4.06|   0.258|"|237| 5.80|F4IV | 6.50|     |  1.38|a|  1.15|v|BU 524
02497+2628|   1|AC |Cmp   | 6.93|  43.000|"|264| 7.60|dK2  |13.86|1.58 |  1.32|s|  0.41|a|LDS 883
02497+2628|  11|AB |Chmp  | 5.76|   6.500|"|220| 7.60|dK2  | 9.80|1.40 |  0.74|a|  0.58|a|STF 326
02528+2344|   1|AC |Ch    | 6.71|   4.600|"|282| 7.56|K0III|13.00|     |  8.00|s|  0.86|v|BU 1173
02528+2344|  11|AB |V     | 4.74|   0.217|"| 82| 8.28|K0III| 8.34|     |  4.00|a|  4.00|*|BU 1173
02528-2522|   1|AC |Chprm | 6.54|  27.700|"|224| 8.03|K1/2 | 7.83|K2V  |  1.50|s|  1.19|s|HD 18445, S 423
02528-2522|  11|AB |V     | 4.70|   1.548|"|326| 8.03|K1/2 | 8.20|     |  0.76|a|  0.74|v|BU 741
02528-2522|  12|CD |Cm    | 5.61|   5.090|"|172| 7.91|K2V  |11.53|     |  0.80|s|  0.39|v|Hipparcos
02528-2522| 121|Cab|S1    | 2.75|   0.055|"|  0| 7.83|K2V  | 0.00|     |  0.74|a|  0.06|*|A&A 248 485 1991 DM
02537+3848|   1|AB |Cpm   | 7.77|  11.600|"|  6| 9.50|A3V  |11.76|0.62 |  2.98|s|  0.94|a|ALI 765
02537+3848|  11|Aab|S1,E  | 0.42|   0.135|m|  0| 9.65|A3V  |11.71|     |  2.54|a|  0.44|m|SB 150, ST Per
02545-4042|   1|AB |Chmr  | 6.06|   8.200|"| 89| 3.24|A4III| 4.35|A1V  |  3.65|s|  2.98|a|HR 898 HD 18623
02545-4042|  11|Aab|s2    |     |   0.000| |  0| 3.24|A4III| 0.00|     |  2.33|a|  1.32|:|cf. BS
02562+8105|   1|AB |Ch    | 7.12|  24.200|"|283| 5.95|A7III|10.70|     |  2.01|s|  0.60|v|STF 327
02562+8105|  11|Aab|S1    | 1.07|   2.045|m|  0| 5.95|A7III| 0.00|     |  1.94|a|  0.07|m|SB 152
02580+2807|   1|AC |Cmhp? | 7.80|  13.640|"|328| 8.49|B9   |11.19|0.68 |  6.18|s|  0.90|a|STF 339
02580+2807|  11|AB |v     | 5.48|   0.370|"|272| 8.49|B9   |10.05|     |  3.84|a|  2.34|v|A 1824
03017+4034|   1|AB |V,A,S2| 2.83|   0.104|"|  0| 2.22|B8V  | 4.72|F1V  |  4.63|*|  1.42|*|Algol, SB 158
03017+4034|  11|Aab|S2,E  | 0.46|   2.306|m|  0| 2.25|B8V  | 6.00|K0IV |  3.78|*|  0.83|*|SB 157 i=82
03086+8433|   1|Aac|s     |     |   0.000| |  0| 5.61|G3III| 0.00|     |  3.56|s|  5.62|:|Obs. 109 180 1989
03086+8433|  11|Aab|S1    | 3.04|   0.029|"|  0| 5.61|G3III| 0.00|     |  2.92|a|  0.64|m|Obs. 109 180 1989
03089-4448|   1|AC |Chp   | 5.46|   3.500|"|194| 5.93|F7III| 8.76|0.92 |  4.98|s|  0.81|a|HJ 3556
03089-4448|  11|AB |V     | 4.22|   0.410|"|194| 6.50|F7III| 6.90|A0V  |  1.78|a|  3.20|a|JC 8
03152+0840|   1|AB |Cm    | 7.86|  81.000|"| 86| 8.45|dG2  |15.13|k-m  |  1.26|s|  0.50|*|Gl 138.1B, GIC
03152+0840|  11|Aab|S1    | 2.51|   0.020|"|  0| 8.45|dG2  | 0.00|     |  1.02|a|  0.24|m|A&A 248 485 1991 DM
03182+2325|   1|AC |Cm    | 7.44|  99.000|"|117|10.64|dM0  |11.89|1.50 |  0.86|s|  0.49|a|LDS 884
03182+2325|  11|AB |v     | 5.07|   2.250|"|347|10.64|dM0  |12.00|     |  0.47|a|  0.39|v|WOR 4
03184+0431|   1|AB |v     | 5.40|   0.990|"|353| 6.43|G5III| 9.75|     |  4.04|s|  1.22|v|BU 1178
03184+0431|  11|Aab|S1    | 2.46|   9.905|m|  0| 6.43|G5III| 0.00|     |  3.20|a|  0.84|m|SB 167
03198-1600|   1|AC |Chp   | 6.76|  16.800|"|252| 7.53|G1V  |12.70|1.35 |  2.12|s|  0.62|a|A 2909
03198-1600|  11|AB |V     | 3.96|   0.148|"|252| 8.28|G1V  | 8.28|G1V  |  1.06|a|  1.06|a|A 2909
03205+2822|   1|AB |v     | 4.37|   0.430|"|232| 6.53|G5IV | 9.68|     |  1.91|s|  0.48|v|CHARA 9
03205+2822|  11|Aab|S2    | 0.81|   1.672|m|  0| 7.28|G5IV | 7.28|     |  0.90|a|  1.01|q|SB 169
03217+0923|   1|AB |v     | 4.45|   0.630|"|315| 3.77|B9V  | 7.58|     | 11.80|s|  1.24|v|Hipparcos
03217+0923|  11|Aac|S     | 2.16|   0.018|"|  0| 3.77|B9Vn | 0.00|     |  6.30|s|  5.50|*|SB-
03217+0923| 111|Aab|S2    | 0.85|   1.972|m|  0| 4.52|B9Vn | 4.52|     |  3.20|*|  3.10|*|ApJ 246 879 1981.SB-
03221+5901|   1|AB |v     | 5.84|   2.680|"| 71| 6.42|A2V  | 7.82|0.28 |  4.29|s|  1.50|a|STF 389
03221+5901|  11|Aab|v     | 4.53|   0.325|"| 60| 6.42|A2V  | 0.00|     |  2.76|a|  1.53|:|McA 11
03222+2007|   1|AB |Cph   | 6.78|   6.820|"|163| 7.72|A3   | 8.21|0.21 |  4.82|s|  1.78|a|STF 394
03222+2007|  11|AP |v     | 4.67|   0.240|"| 27| 7.72|A3   | 8.08|     |  2.54|a|  2.28|v|Cou 260
03234-0455|   1|AC |Ch?   | 7.13|   6.960|"|117| 8.50|A2   |11.73|     |  4.56|s|  1.10|v|BU 1180
03234-0455|  11|AB |v     | 5.44|   0.480|"| 24| 8.50|A2   | 9.92|     |  2.76|a|  1.80|v|BU 1180
03288+3141|   1|AB |Chp   | 6.18|   5.400|"|208| 6.67|F2IV |11.25|1.00 |  2.07|s|  0.79|a|STF 410
03288+3141|  11|Aab|S1    | 0.12|   0.446|m|  0| 6.67|F2IV | 0.00|     |  1.54|a|  0.53|m|SB 176, IX Per
03293+2631|   1|AB |Cmhrp | 7.34|  15.400|"| 52| 8.69|F5   |10.52|0.53 |  2.49|s|  1.01|a|STF 415
03293+2631|  11|Aab|v     | 5.16|   0.479|"|191| 9.31|F5   | 9.59|     |  1.29|a|  1.20|v|COU 688
03312+6333|   1|AB |Cmphr | 7.33|  46.100|"| 69| 6.80|F5V  | 8.60|G8V  |  1.57|s|  0.83|a|BD+63 438
03312+6333|  11|BC |v     | 3.88|   0.200|"| 42| 9.10|G8V  | 9.60|     |  0.83|a|  0.74|v|HU 1062
03317+0015|   1|AB |V     | 5.88|   8.023|"|266| 5.88|G9V  | 8.83|K6V  |  1.66|s|  0.65|a|STF 422
03317+0015|  11|Aab|S2    | 0.45|   1.602|m|  0| 6.24|G5IV | 7.24|K1IV |  0.90|a|  0.76|a|SB 181
03327+6931|   1|AB |v     | 6.39|   2.800|"| 74| 8.35|A3   | 8.60|A3   |  2.54|a|  4.12|s|STF 419
03327+6931|  12|BC |v     | 5.22|   0.440|"|112| 8.82|A3   |10.43|     |  2.54|a|  1.58|v|A 984
03380+3158|   1|AB |v     | 5.59|   1.020|"| 26| 3.90|B1III| 6.81|     | 28.78|s|  5.37|v|BU 535
03380+3158|  11|Aab|S2    | 0.65|   0.485|m|  0| 4.13|B1III| 5.40|B2V  | 15.54|a| 13.24|a|SB 186
03383+6821|   1|AB |Chmr  | 6.17|  16.800|"| 10| 9.43|K7   |10.43|1.54 |  0.60|a|  0.90|s|KUI 13
03383+6821|  12|BC |V     | 4.32|   0.670|"|160|11.18|1.54 |11.18|     |  0.45|a|  0.45|v|KUI 13
03390+2348|   1|Aac|o     | 3.32|   0.062|"|  0| 3.70|B6III| 5.70|     |  7.73|s|  3.01|v|cf. ApJ 285 190 1984
03390+2348|  11|Aab|S1    | 2.00|   7.359|m|  0| 3.70|B6III| 0.00|     |  5.85|a|  1.88|m|SB 188
03393+2844|   1|Aac|S1    | 2.81|   0.011|"|  0|11.47|G8   | 0.00|     |  1.00|s|  0.35|m|MNRAS 263 775 1993
03393+2844|  11|Aab|S1    | 1.37|   1.052|m|  0|11.47|G8   | 0.00|     |  0.83|a|  0.17|m|MNRAS 263 775 1993
03402+4108|   1|AB |Cmhrp | 5.84|   7.307|"| 54| 8.15|K1V  | 8.75|K2V  |  0.76|a|  0.86|s|STF 443
03402+4108|  12|Bab|S1    | 1.69|   0.010|"|  0| 8.75|K2V  | 0.00|     |  0.74|a|  0.12|m|A&A 282 831 1994
03415+2347|   1|AB |o     | 2.92|   0.031|"|  0| 2.87|B7III| 0.00|     |  5.45|s|  2.70|:|
03415+2347|  11|Aab|S1    | 0.62|   0.790|m|  0| 2.87|B7III| 0.00|     |  5.19|a|  0.26|m|MN 238 1085 1989
03415+3317|   1|AB |Chp   | 6.49|   3.350|"| 13| 6.68|B3V  | 9.15| 0.16| 22.76|s|  7.13|a|STF 448
03415+3317|  11|Aab|S2    | 0.29|   0.224|m|  0| 6.68|B2.5V| 0.00|     | 13.24|a|  9.52|q|SB 190
03428+2358|   1|Aab|s     |     |   0.000| |  0|11.46|0.83 |11.91|0.91 |  0.84|a|  1.25|s|A&A 265 513 1992
03428+2358|  12|Abc|S1    | 1.69|   2.106|m|  0|11.91|0.91 |16.50|1.56 |  0.82|a|  0.43|a|A&A 265 513 1992
03440+2333|   1|AC |Cmh   | 7.00|  10.160|"|235| 6.84|A0V  |10.54|     |  4.42|s|  1.11|v|STT 64
03440+2333|  11|AB |Cmh   | 6.31|   3.280|"|235| 6.79|A0V  |10.10|     |  3.20|s|  1.22|v|STT 64
03440+2333| 111|Aab|S1    | 1.22|   1.188|m|  0| 6.84|A0V  | 0.00|     |  3.20|a|  0.00| |SB 197
03467-1913|   1|AB |Cmh?  | 7.77|  12.550|"| 72| 9.02|A0V  |10.68|     |  3.20|a|  3.80|s|HJ 3599
03467-1913|  12|BC |v     | 5.71|   0.430|"|133|10.68|     |10.80|     |  1.90|*|  1.90|*|B 684
03492+5024|   1|AB |Chrmp | 7.54|  75.300|"| 30| 5.28|F5IV |10.43|1.27 |  2.52|s|  0.67|a|BD+50 861
03492+5024|  11|Aab|S2    | 1.48|   6.360|m|  0| 6.03|F5IV | 6.03|     |  1.29|a|  1.23|q|SB 204
03511+3943|   1|AB |Chp   | 6.60|   8.800|"| 10| 2.89|B0.5V| 7.99|-0.04| 18.00|s|  7.13|a|STF 471
03511+3943|  11|Aac|S1    | 3.62|   0.081|"|  0| 2.89|B0V  | 0.00|     | 15.00|s|  3.00|*|A&AS 110 59 1995.
03511+3943| 111|Aab|S1,E  | 1.15|   1.716|m|  0| 2.89|B0.5V| 0.00|     | 13.50|*|  1.50|*|A&AS 110 59 1995
03525+4752|   1|AB |Chp   | 8.30|  39.300|"|175| 7.71|B9   | 9.40|0.21 |  5.90|s|  1.78|a|BD+47 921, STT  68
03525+4752|  11|Aab|E     | 0.24|   0.154|m|  0| 7.71|B9   | 0.00|     |  3.84|a|  2.06|:|IQ Per
03548+0801|   1|AB |Chrp  | 7.40|   4.200|"| 27|10.20|K0III|10.46|K0III|  4.00|a|  7.87|s|A 1396
03548+0801|  12|BC |v     | 5.50|   0.200|"| 22|11.16|K0III|11.26|     |  4.00|a|  3.87|v|A 1396
03550+2255|   1|AC |Chmp  | 8.13|  58.000|"|241| 6.98|B9V  | 9.67|F2IV |  7.04|s|  1.54|a|STF 479
03550+2255|  11|AB |Chmpr | 6.82|   7.300|"|127| 6.98|B9V  | 7.88|A0V  |  3.84|a|  3.20|a|STF 479
03551+1212|   1|Aac|S1    | 1.52|   3.790|m|  0| 3.47|B3V+ | 0.00|K0V  |  9.07|s|  0.70|*|SB 212 i=69
03551+1212|  11|Aab|S2,E  | 0.60|   0.898|m|  0| 3.90|B3V  | 6.40|A4IV |  7.18|*|  1.89|*|SB 211 i=76
03577+2751|   1|AB |v     | 6.13|   1.500|"|167| 8.60|B8Ve | 9.60|     |  5.52|s|  1.50|s|VBS
03577+2751|  11|Aab|E,S1  | 0.44|   0.225|m|  0| 8.60|B8Ve | 0.00|     |  4.48|a|  1.04|m|SB 215, RW Tau
03577+2751|  12|BC |v     | 4.81|   0.120|"|  0| 9.60|     | 0.00|     |  1.00|*|  0.50|*|AJ 106 2005 1993
03590+6203|   1|Bac|E*    | 4.27|   0.024|"|  0| 6.94|O9V  | 0.00|     | 23.40|s| 18.60|*|A&A 288 L13 1994
03590+6203|  11|Bab|S2,E  | 0.43|   0.054|m|  0| 7.27|O9V  | 8.40|     | 13.70|*|  9.70|*|SB 216 i=80
03590+6204|   1|AB |Cpvmh | 7.99|  17.900|"|  0| 7.00|O9.5V| 7.10|O9.5V| 22.20|a| 37.87|s|HD 25639, STF 485
03590+6204|  12|BP |v     | 4.48|   0.070|"|  0| 7.10|O9.5V| 0.00|     | 27.69|s| 10.18|:|CHARA 209
03590+6204| 121|Bab|S2,E  | 0.43|   0.126|m|  0| 7.10|O9.5V| 0.00|     | 22.20|a|  5.49|q|A&A 288 L13 1994
04005+3311|   1|AB |v     | 5.63|   0.800|"|226| 6.88|B5Vp | 8.69|     | 12.23|s|  3.47|v|STT  71
04005+3311|  11|Aab|S2,E  | 0.31|   0.210|m|  0| 7.49|B5Vp | 7.79|     |  6.40|a|  5.83|q|SB 219, AG Per
04012-3543|   1|AC |v     | 5.27|   1.275|"| 81| 8.96|G2V  | 9.16|     |  1.02|a|  0.97|v|CHARA 224, dV=0.2.
04012-3543|   1|AB |v     | 4.84|   0.828|"| 72| 8.30|G2V  | 9.14|8.6  |  1.02|a|  0.00|a|I 152
04019+3746|   1|CA |Cmrp  | 8.59| 757.000|"|283| 5.50|F7V  | 7.40|G1V  |  1.96|s|  1.68|s|HD 25893 BD+37 878
04019+3746|  11|CP |a     |     |   0.000| |  0| 5.50|F7V  | 0.00|     |  1.21|a|  0.75|:|G-solution HIPPAR.
04019+3746|  12|AB |V     | 5.41|   3.600|"|  0| 7.40|G1V  | 9.78|     |  1.06|a|  0.62|v|STT 53, GL 160.1AB
04076+4809|   1|AB |Ch    | 7.26|  14.800|"|349| 4.14|G0Ib |11.80|     | 13.60|s|  0.98|v|STT 73
04076+4809|  11|Aab|S1,A  | 2.45|   9.067|m|  0| 4.14|G0Ib | 0.00|     | 10.00|a|  3.60|m|SB 223
04096+3127|   1|AC |Chrp  | 7.90|  56.000|"| 42| 7.32|F8V  | 8.51|F8   |  2.35|s|  1.18|a|HD 26841
04096+3127|  11|AB |V     | 4.86|   0.585|"|273| 8.06|F8V  | 8.09|     |  1.18|a|  1.17|v|STT 77
04104+6120|   1|AB |Cmh   | 6.53|   5.180|"| 60| 7.98|A3   |10.49|     |  2.54|a|  2.40|s|STF 513
04104+6120|  12|BC |v     | 4.93|   0.350|"| 54|10.49|     |10.90|     |  1.20|*|  1.20|*|BU 1333
04107+5003|   1|Aac|S1,A  | 2.85|   0.048|"|  0| 4.61|A2V+ | 0.00|     |  3.22|s|  1.24|m|SB 227 + HIP
04107+5003|  11|Aab|S1    | 0.18|   0.728|m|  0| 4.61|A2V+ | 0.00|     |  2.76|a|  0.46|m|SB 226, b Per, i=55
04107-0748|   1|AB |Cm    | 6.40|  82.800|"|104| 4.43|K1V  | 9.52|DA4  |  0.76|a|  0.76|s|STF 518
04107-0748|  12|BC |V     | 4.96|   6.940|"|339| 9.52|DA4  |11.17|dM4.5|  0.50|*|  0.26|a|STF 518
04165+2523|   1|AB |Chrp  | 6.90|  19.400|"| 25| 5.37|B9V  | 8.41|G2V  |  5.90|s|  2.52|s|STF 528
04165+2523|  11|Aab|o?    |     |   0.000|"|  0| 5.37|B9V  | 0.00|     |  3.84|a|  2.06|:|
04165+2523|  12|Bac|s     | 3.88|   0.126|"|  0| 8.41|G2V  | 0.00|     |  1.87|s|  0.65|:|T97, period uncert.
04165+2523| 121|Bab|S2    | 1.25|   1.990|m|  0| 8.75|G2V  | 9.83|     |  1.02|a|  0.85|q|T97
04171+1449|   1|AB |V     | 4.97|   1.185|"|238| 7.25|F8IV | 8.66|     |  1.54|s|  0.84|v|STT 82
04171+1449|  11|Aab|S1    | 0.60|   1.224|m|  0| 7.25|F8IV | 0.00|     |  1.18|a|  0.36|m|SB 238
04174-2558|   1|AD |Cmr   | 7.34|  45.000|"| 41| 6.01|F0IV-| 8.25|K0   |  3.29|s|  0.78|a|Wo 9154D
04174-2558|  11|AB |V     | 4.45|   0.500|"|  3| 6.64|F0IV-| 6.89|     |  1.70|a|  1.59|v|Bu 744
04207+2553|   1|AC |C     | 7.34|  12.300|"|106| 8.10|     | 8.90|     |  1.00|s|  1.00|s|K magn
04207+2553|  11|AB |v     | 5.67|   0.730|"|270| 8.10|     | 8.30|     |  1.00|*|  0.00| |K magn
04207+2553|  12|CD |v     | 5.68|   0.743|"|293| 8.90|     |10.80|     |  1.00|*|  0.00| |K magn
04220+1059|   1|AB |v     | 4.79|   0.400|"|132| 6.06|B8IV | 7.92|     |  5.09|s|  2.46|v|BU 1186
04220+1059|  11|Aab|S1    | 1.31|   1.686|m|  0| 6.06|B8IV | 0.00|     |  4.48|a|  0.61|m|ApJS 37 371 1978
04233+1556|   1|AB |V,s   | 4.17|   0.411|"|  0| 7.34|F7V  | 7.34|G0V  |  1.21|a|  1.78|s|HU 1080
04233+1556|  12|Bab|S1    | 1.33|   3.749|m|  0| 7.34|G0V  | 0.00|     |  1.10|a|  0.68|m|PAZh 21 445 1995
04233-6425|   1|AC |Cmph  | 7.44|  16.720|"| 63| 9.64|F6V  |10.39|0.47 |  2.30|s|  1.09|a|HJ 3651
04233-6425|  11|AB |v     | 4.99|   0.340|"|311| 9.64|F6V  |10.35|     |  1.25|a|  1.05|v|B 1468
04241+2357|   1|AB |v     | 5.15|   0.375|"|330| 7.20|     | 8.30|     |  1.00|s|  0.00| |K magn
04241+2357|  11|Aab|o     | 3.33|   0.023|"|  0| 7.20|     | 0.00|     |  1.00|*|  0.00| |K magn
04244+1525|   1|AB |V     | 4.79|   1.029|"| 17| 5.68|F0V  | 8.20|G2V  |  1.96|s|  1.02|a|STF 554
04244+1525|  11|Aab|S1    | 1.48|   5.475|m|  0| 5.70|F0V  | 0.00|     |  1.70|a|  0.26|m|ApJS 46 247 1981
04267+1919|   1|AC |C     | 7.13|  10.300|"|184|12.34|K6V  | 0.00|     |  1.25|s|  0.80|s|
04267+1919|  11|AB |v     | 4.85|   0.255|"|  9|12.34|K6V  | 0.00|     |  0.80|*|  0.45|:|
04267+1919|  12|CD |v     | 5.79|   0.930|"|135| 0.00|     | 0.00|     |  0.80|*|  0.00| |f=5.3 in K
04302+0957|   1|AB |Chmr  | 7.41|  69.700|"|299| 4.25|A5m  | 7.84|F8V  |  5.41|s|  1.18|s|BD+09 606
04302+0957|  11|AP |V     | 3.84|   0.251|"|130| 4.39|A5Vm | 6.56|     |  2.99|s|  2.42|s|CHARA 18
04302+0957|  12|Bab|S1    | 3.04|   0.048|"|  0| 7.84|F8V  | 0.00|     |  1.18|a|  0.00|q|T98, approx.orb.
04302+0957| 111|Aab|S2,E  | 0.55|   1.429|m|  0| 4.52|A2Vm | 6.92|F7V? |  1.87|*|  1.12|*|SB 257
04302+0957| 112|Pab|s     |     |   0.000| |  0| 7.16|F7V? | 7.16|F7V? |  1.21|a|  1.21|a|A&A 200 175 1988
04305-0956|   1|AB |Chmp  | 6.93|  12.800|"|259| 6.74|A1m  | 7.72|0.19 |  4.62|s|  1.88|a|BD-10 958, STF 570
04305-0956|  11|Aab|s     |     |   0.000| |  0| 6.74|A1m  | 0.00|     |  2.98|a|  1.64|:|AAS 61 53 1985
04306+2656|   1|AB |Cm    | 6.44|  23.000|"|338| 8.42|dK5ep|15.80|DC8  |  0.74|s|  0.50|*|LUY, GL 171.2B
04306+2656|  11|Aab|S1    | 0.25|   1.460|m|  0| 8.42|dK5ep| 0.00|     |  0.69|a|  0.05|m|SB 258
04307+0801|   1|AC |Chpm  | 6.59|   6.000|"|234| 7.94|A0   | 9.30|0.49 |  5.90|s|  1.47|a|STT 87
04307+0801|  11|AB |V     | 5.01|   0.290|"|117| 8.46|A0   | 9.00|     |  3.20|a|  2.70|v|A 1840
04318+1457|   1|AB |v     | 3.86|   0.235|"|233| 7.54|G0   | 0.00|     |  1.80|s|  0.70|:|CHARA 153
04318+1457|  11|Aab|s1    | 2.83|   0.043|"|  0| 7.54|G0V  | 0.00|     |  1.10|a|  0.70|:|AJ 96 172 1988
04320+5253|   1|AB |Ch?   | 6.29|   3.800|"|297| 5.05|K0III|12.30|     |  6.20|s|  0.58|v|BU 1043
04320+5253|  11|Aab|S1,E  | 2.08|   5.805|m|  0| 5.05|K0III| 0.00|     |  4.00|a|  2.20|m|SB 260
04320+5316|   1|AC |V     | 5.20|   1.360|"|225| 5.56|A8V  | 7.26|     |  3.00|s|  1.17|v|STF 566
04320+5316|  11|AB |V     | 3.99|   0.174|"|225| 5.81|A8V  | 7.30|F9V  |  1.86|a|  1.14|a|BU 1295
04347+1620|   1|AB |v     | 4.59|   0.659|"| 31| 9.68|K0   |11.43|     |  1.33|s|  0.55|v|CHARA 154
04347+1620|  11|Aab|S1    | 2.44|   0.022|"|  0| 9.68|K3V  |11.22|K7V  |  0.73|a|  0.60|a|SB 265
04362+2246|   1|AC |Chpm  | 7.73|  63.000|"|213| 4.28|B3V  | 7.15|A1V  | 18.56|s|  2.98|a|S 455
04362+2246|  11|AB |v,o   | 4.02|   0.200|"| 24| 4.37|B3V  | 7.01|     | 14.24|s|  4.32|v|McA 16, HO 642?
04362+2246| 111|Aab|S2,o  | 0.47|   0.791|m|  0| 4.37|B3V  | 6.04|     | 10.96|a|  3.28|q|SB 266
04388-0858|   1|AB |Cmrhp | 6.72|   9.200|"|318| 6.82|F4III| 6.70|G8III|  2.22|s|  4.98|s|HR 1506 HD 30021
