#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-03T22:50:01 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5de6e5ee89d3	
#INFO	-out.max=unlimited	
#INFO	queryParameters=50	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/PASP/116/1012&tab:{J/PASP/116/1012/cat1}&tab:{J/PASP/116/1012/crossid}&key:source=J/PASP/116/1012/cat1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/PASP/116/1012/cat1,J/PASP/116/1012/crossid
#-order=I
#-out=n_SMV
#-out=SMV
#-joincol={J/PASP/116/1012/cat1}.{SMV}
#-joincol=SMV
#-joincol={J/PASP/116/1012/crossid}.{SMV}
#-outjoin={J/PASP/116/1012/crossid}.{SMV}
#-out=Xpos
#-out=Ypos
#-out=Umag
#-out=e_Umag
#-out=o_Umag
#-out=Bmag
#-out=e_Bmag
#-out=o_Bmag
#-out.all=2
#-out=Vmag
#-out=e_Vmag
#-out=o_Vmag
#-out=Rmag
#-out=e_Rmag
#-out=o_Rmag
#-out=Imag
#-out=e_Imag
#-out=o_Imag
#-out=Memb
#-out=Npm
#-out=RAJ2000
#-out=DEJ2000
#-out=S62
#-out=Sh65
#-out=C68
#-out=UMK
#-out=MT
#-out=E
#-out=PKM
#-out=DGV
#-out=S99
#-out=KS
#-out=Name
#-out.all=2
#

#RESOURCE=join
#Name: #Join
#Title:  Join tables J/PASP/116/1012/cat1,J/PASP/116/1012/crossid
#
#Table	J_PASP_116_1012_cat1_J_PASP_116_1012_crossid:
#Name: J/PASP/116/1012/cat1,J/PASP/116/1012/crossid
#Title:
#Column	recno1	(I8)	Record number assigned by the VizieR team. Should Not be used for identification. [NULL integer written as an empty string]	[ucd=meta.record]
#Column	n_SMV1	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	SMV1	(I7)	Sequential ID number [NULL integer written as an empty string]	[ucd=meta.id;meta.main]
#Column	Xpos1	(F7.1)	X pixel coordinate (G1)	[ucd=pos.cartesian.x;instr.det]
#Column	Ypos1	(F7.1)	Y pixel coordinate (G1)	[ucd=pos.cartesian.y;instr.det]
#Column	Umag1	(F6.3)	? U magnitude	[ucd=phot.mag;em.opt.U]
#Column	e_Umag1	(F6.4)	? U standard error of the mean	[ucd=stat.error;phot.mag;em.opt.U]
#Column	o_Umag1	(I2)	U number of measurements [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Bmag1	(F6.3)	? B magnitude	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag1	(F6.4)	? B standard error of the mean	[ucd=stat.error;phot.mag;em.opt.B]
#Column	o_Bmag1	(I2)	B number of measurements [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Vmag1	(F6.3)	? V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag1	(F6.4)	? V standard error of the mean	[ucd=stat.error;phot.mag;em.opt.V]
#Column	o_Vmag1	(I2)	V number of measurements [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Rmag1	(F6.3)	? R magnitude	[ucd=phot.mag;em.opt.R]
#Column	e_Rmag1	(F6.4)	? R standard error of the mean	[ucd=stat.error;phot.mag;em.opt.R]
#Column	o_Rmag1	(I2)	R number of measurements [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Imag1	(F6.3)	? I magnitude	[ucd=phot.mag;em.opt.I]
#Column	e_Imag1	(F6.4)	? I standard error of the mean	[ucd=stat.error;phot.mag;em.opt.I]
#Column	o_Imag1	(I1)	I number of measurements [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Memb1	(I3)	? Mean membership probability in % [NULL integer written as an empty string]	[ucd=stat]
#Column	Npm1	(I1)	Number of independent measures of the proper motion [NULL integer written as an empty string]	[ucd=meta.number]
#Column	RAJ20001	(A11)	Hour of right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ20001	(A11)	Degree of declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	recno2	(I8)	Record number assigned by the VizieR team. Should Not be used for identification. [NULL integer written as an empty string]	[ucd=meta.record]
#Column	SMV2	(I7)	Sequential ID number [NULL integer written as an empty string]	[ucd=meta.id;meta.main]
#Column	S622	(a7)	Object number in Sandage, 1962ApJ...135..333S (1)	[ucd=meta.id]
#Column	Sh652	(I2)	? Object number in Sharov, 1965SoSht.142...20S [NULL integer written as an empty string]	[ucd=meta.id]
#Column	C682	(I3)	? Object number in Cannon 1968, unpublished dissertation [NULL integer written as an empty string]	[ucd=meta.id]
#Column	UMK2	(I3)	? Object number in Upgren, Mesrobian & Kerridge 1972AJ.....77...74U (2) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	MT2	(a7)	Object number in McClure & Twarog 1977ApJ...214..111M (3)	[ucd=meta.id]
#Column	E2	(a6)	Object number in Caputo et al. 1990AJ.....99..261C (4)	[ucd=meta.id]
#Column	PKM2	(I4)	? Object number in Platais et al. 2003, Cat. <J/AJ/126/2922> (5) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	DGV2	(I4)	? Object number in Dinescu et al. 1996AJ....111.1205D (6) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	S992	(I4)	? Object number in Sarajedini et al. 1999AJ....118.2894S [NULL integer written as an empty string]	[ucd=meta.id]
#Column	KS2	(A3)	Object number in Catalogued variables	[ucd=meta.id]
#Column	Name2	(a8)	Other name	[ucd=meta.id]
recno|n_SMV|SMV|Xpos|Ypos|Umag|e_Umag|o_Umag|Bmag|e_Bmag|o_Bmag|Vmag|e_Vmag|o_Vmag|Rmag|e_Rmag|o_Rmag|Imag|e_Imag|o_Imag|Memb|Npm|RAJ2000|DEJ2000|recno|SMV|S62|Sh65|C68|UMK|MT|E|PKM|DGV|S99|KS|Name
     614|x|   1105| 1215.6| 5435.2|      |      | 0|19.988|0.0172| 1|19.392|0.0166| 1|      |      | 0|      |      |0|   |0|00 27 49.33|+85 28 26.1|     614|   1105|       |  |   |   |       |      | 134|    |    |   |
     615|x|   1106| 1217.2| 2751.2|      |      | 0|19.420|0.0155| 1|18.434|0.0158| 1|      |      | 0|      |      |0|  0|1|00 29 19.30|+85 06 08.6|     615|   1106|       |  |   |   |       |      |7400|    |    |   |
     616|x|   1107| 1218.3| 4327.4|      |      | 0|22.315|0.0150| 1|20.803|0.0227| 1|      |      | 0|      |      |0|   |0|00 28 29.02|+85 19 14.2|     616|   1107|       |  |   |   |       |      |3501|    |    |   |
     617|x|   1108| 1219.0| 4442.0|      |      | 0|21.600|0.0198| 1|20.798|0.0177| 1|      |      | 0|      |      |0|   |0|00 28 25.43|+85 20 11.3|     617|   1108|       |  |   |   |       |      |2840|    |    |   |
     618|x|   1109| 1219.2| 5349.4|      |      | 0|22.521|0.0150| 1|20.924|0.0175| 1|      |      | 0|      |      |0|   |0|00 27 53.90|+85 27 43.4|     618|   1109|       |  |   |   |       |      | 561|    |    |   |
     619|x|   1110| 1219.7| 6021.6|      |      | 0|20.013|0.0158| 1|18.660|0.0158| 1|      |      | 0|      |      |0|  0|1|00 27 29.54|+85 33 18.3|     619|   1110|       |  |   |   |       |      | 101|    |    |   |
     620|x|   1113| 1222.0| 3605.8|      |      | 0|      |      | 0|21.051|0.0150| 1|      |      | 0|      |      |0|   |0|00 28 54.27|+85 13 14.8|     620|   1113|       |  |   |   |       |      |3567|    |    |   |
     621|x|   1121| 1226.2| 2951.1|      |      | 0|16.156|0.0163| 1|15.484|0.0155| 1|      |      | 0|      |      |0| 89|1|00 29 16.65|+85 07 48.6|     621|   1121|       |  |   |   |       |      |2921|    |    |   |
     622|x|   1122| 1226.6| 2846.9|      |      | 0|21.734|0.0285| 1|20.261|0.0168| 1|      |      | 0|      |      |0|   |0|00 29 20.05|+85 06 56.7|     622|   1122|       |  |   |   |       |      |2926|    |    |   |
     623|x|   1123| 1227.3| 2560.4|      |      | 0|18.652|0.0322| 1|17.876|0.0326| 1|      |      | 0|      |      |0|   |0|00 29 29.04|+85 04 33.9|     623|   1123|       |  |   |   |       |      |7418|    |    |   |
     624|x|   1125| 1227.7| 2169.4|      |      | 0|21.625|0.0150| 1|21.019|0.0150| 1|      |      | 0|      |      |0|   |0|00 29 40.95|+85 01 19.0|     624|   1125|       |  |   |   |       |      |7431|    |    |   |
     625|x|   1133| 1234.6| 4197.8|      |      | 0|      |      | 0|20.452|0.0150| 1|      |      | 0|      |      |0|   |0|00 28 39.98|+85 18 10.3|     625|   1133|       |  |   |   |       |      |2856|    |    |   |
     626|x|   1135| 1237.0| 5877.8|      |      | 0|18.778|0.0152| 1|17.346|0.0158| 1|      |      | 0|      |      |0|  0|1|00 27 42.28|+85 32 07.4|     626|   1135|       |  |   |   |       |      | 106|    |    |   |
     627|x|   1136| 1237.2| 5480.4|      |      | 0|21.306|0.0183| 1|20.484|0.0242| 1|      |      | 0|      |      |0|   |0|00 27 56.78|+85 28 49.5|     627|   1136|       |  |   |   |       |      | 128|    |    |   |
     628|x|   1137| 1237.3| 1734.9|      |      | 0|21.621|0.0150| 1|20.142|0.0150| 1|      |      | 0|      |      |0|   |0|00 29 57.30|+84 57 42.8|     628|   1137|       |  |   |   |       |      |7461|    |    |   |
     629|x|   1138| 1237.5| 3138.6|      |      | 0|20.051|0.0158| 1|19.291|0.0175| 1|      |      | 0|      |      |0|  0|1|00 29 15.24|+85 09 22.5|     629|   1138|       |  |   |   |       |      |2909|    |    |   |
     630|x|   1140| 1238.1| 3851.0|      |      | 0|19.228|0.0162| 1|18.142|0.0158| 1|      |      | 0|      |      |0|  0|1|00 28 52.79|+85 15 17.6|     630|   1140|       |  |   |   |       |      |2874|    |    |   |
     631|x|   1141| 1238.4| 4199.1|      |      | 0|20.312|0.0181| 1|19.500|0.0175| 1|      |      | 0|      |      |0|  0|1|00 28 41.47|+85 18 11.1|     631|   1141|       |  |   |   |       |      |2855|    |    |   |
     632|x|   1145| 1241.7| 4203.9|      |      | 0|22.023|0.0150| 1|21.135|0.0150| 1|      |      | 0|      |      |0|   |0|00 28 42.65|+85 18 13.6|     632|   1145|       |  |   |   |       |      |2854|    |    |   |
     633|x|   1146| 1241.8| 4331.9|      |      | 0|20.715|0.0177| 1|19.831|0.0160| 1|      |      | 0|      |      |0|  0|1|00 28 38.45|+85 19 17.4|     633|   1146|       |  |   |   |       |      |2849|    |    |   |
     634|x|   1147| 1241.9| 4971.2|      |      | 0|22.403|0.0150| 1|20.927|0.0210| 1|      |      | 0|      |      |0|   |0|00 28 16.70|+85 24 35.9|     634|   1147|       |  |   |   |       |      |3413|    |    |   |
     635|x|   1148| 1242.0| 3508.2|      |      | 0|20.248|0.0156| 1|18.824|0.0162| 1|      |      | 0|      |      |0|  0|1|00 29 05.39|+85 12 26.9|     635|   1148|       |  |   |   |       |      |2891|    |    |   |
     636|x|   1152| 1243.5| 2917.7|      |      | 0|17.005|0.0163| 1|15.997|0.0154| 1|      |      | 0|      |      |0|  0|1|00 29 24.44|+85 07 32.6|     636|   1152|       |  |   |   |       |      |2922|    |    |   |
     637|x|   1153| 1243.6| 4684.7|      |      | 0|17.929|0.0154| 1|16.956|0.0159| 1|      |      | 0|      |      |0|  0|1|00 28 27.26|+85 22 13.3|     637|   1153|       |  |   |   |       |      |2823|    |    |   |
     638|x|   1156| 1244.0| 3064.0|      |      | 0|18.811|0.0162| 1|18.218|0.0170| 1|      |      | 0|      |      |0|  0|1|00 29 20.14|+85 08 45.6|     638|   1156|       |  |   |   |       |      |2915|    |    |   |
     639|x|   1158| 1245.7| 6222.3|      |      | 0|14.593|0.0177| 2|13.898|0.0230| 2|      |      | 0|      |      |0|  3|2|00 27 33.24|+85 34 59.4|     639|   1158|       |  |770|   |       |      |  96|    |    |   |
     640|x|   1162| 1249.4| 2354.7|      |      | 0|21.380|0.0300| 1|20.116|0.0192| 1|      |      | 0|      |      |0|   |0|00 29 43.77|+85 02 52.2|     640|   1162|       |  |   |   |       |      |7425|    |    |   |
     641|x|   1167| 1253.1| 4909.8|      |      | 0|20.929|0.0222| 1|19.434|0.0179| 1|      |      | 0|      |      |0|  3|1|00 28 23.48|+85 24 05.8|     641|   1167|       |  |   |   |       |      |2808|    |    |   |
     642|x|   1170| 1255.6| 3248.3|      |      | 0|17.214|0.0154| 1|16.476|0.0166| 1|      |      | 0|      |      |0|  3|1|00 29 18.96|+85 10 17.9|     642|   1170|       |  |   |   |       |      |2903|    |    |   |
     643|x|   1171| 1255.9| 3893.2|      |      | 0|21.363|0.0180| 1|20.385|0.0196| 1|      |      | 0|      |      |0|   |0|00 28 58.59|+85 15 39.4|     643|   1171|       |  |   |   |       |      |2871|    |    |   |
     644|x|   1173| 1257.4| 5966.0|      |      | 0|19.445|0.0153| 1|18.246|0.0155| 1|      |      | 0|      |      |0|  0|1|00 27 47.77|+85 32 52.3|     644|   1173|       |  |   |   |       |      | 102|    |    |   |
     645|x|   1175| 1258.2| 4473.4|      |      | 0|22.248|0.0150| 1|20.765|0.0250| 1|      |      | 0|      |      |0|   |0|00 28 40.42|+85 20 28.6|     645|   1175|       |  |   |   |       |      |3477|    |    |   |
     646|x|   1179| 1259.0| 1784.1|      |      | 0|21.775|0.0150| 1|20.987|0.0150| 1|      |      | 0|      |      |0|   |0|00 30 04.10|+84 58 08.1|     646|   1179|       |  |   |   |       |      |7458|    |    |   |
     647|x|   1185| 1261.7| 4132.1|      |      | 0|20.589|0.0154| 1|20.001|0.0168| 1|      |      | 0|      |      |0|   |0|00 28 53.13|+85 17 38.6|     647|   1185|       |  |   |   |       |      |2857|    |    |   |
     648|x|   1188| 1262.1| 5308.8|      |      | 0|17.006|0.0153| 1|15.994|0.0171| 1|      |      | 0|      |      |0|  0|1|00 28 13.34|+85 27 25.0|     648|   1188|       |  |   |   |       |      | 142|    |    |   |
     649|x|   1189| 1262.2| 3498.1|      |      | 0|      |      | 0|21.156|0.0150| 1|      |      | 0|      |      |0|   |0|00 29 13.72|+85 12 22.7|     649|   1189|       |  |   |   |       |      |3597|    |    |   |
     650|x|   1191| 1263.0| 2027.6|      |      | 0|21.690|0.0150| 1|20.351|0.0150| 1|      |      | 0|      |      |0|   |0|00 29 58.58|+85 00 09.7|     650|   1191|       |  |   |   |       |      |7438|    |    |   |
     651|x|   1192| 1263.0| 5015.6|      |      | 0|21.974|0.0150| 1|20.416|0.0231| 1|      |      | 0|      |      |0|   |0|00 28 23.93|+85 24 59.0|     651|   1192|       |  |   |   |       |      |3412|    |    |   |
     652|x|   1197| 1266.0| 3434.2|      |      | 0|19.657|0.0162| 1|18.167|0.0183| 1|      |      | 0|      |      |0|  0|1|00 29 17.26|+85 11 51.0|     652|   1197|       |  |   |   |       |      |2896|    |    |   |
     653|x|   1203| 1270.1| 4763.5|      |      | 0|15.442|0.0170| 1|14.584|0.0175| 1|      |      | 0|      |      |0| 45|2|00 28 35.53|+85 22 53.6|     653|   1203|       |  |   |  8|       |      |2815|    |    |   |
     654|x|   1210| 1274.4| 1564.3|      |      | 0|14.994|0.0150| 1|14.371|0.0150| 1|      |      | 0|      |      |0|  0|1|00 30 16.18|+84 56 19.1|     654|   1210|       |  |   |   |       |      |7465|    |    |   |
     655|x|   1211| 1274.4| 5360.3|      |      | 0|21.084|0.0187| 1|19.437|0.0165| 1|      |      | 0|      |      |0|   |0|00 28 16.72|+85 27 51.2|     655|   1211|       |  |   |   |       |      | 138|    |    |   |
     656|x|   1212| 1274.6| 3080.4|      |      | 0|19.966|0.0154| 1|19.421|0.0178| 1|      |      | 0|      |      |0|  0|1|00 29 31.65|+85 08 55.0|     656|   1212|       |  |   |   |       |      |2913|    |    |   |
     657|x|   1213| 1274.9| 5638.0|      |      | 0|19.163|0.0179| 1|18.498|0.0161| 1|      |      | 0|      |      |0|  0|1|00 28 07.08|+85 30 09.6|     657|   1213|       |  |   |   |       |      | 121|    |    |   |
     658|x|   1214| 1275.2| 2885.8|      |      | 0|17.512|0.0168| 1|16.663|0.0162| 1|      |      | 0|      |      |0|  0|1|00 29 37.83|+85 07 18.0|     658|   1214|       |  |   |   |       |      |2923|    |    |   |
     659|x|   1218| 1276.9| 5431.3|      |      | 0|16.260|0.0155| 1|15.694|0.0157| 1|      |      | 0|      |      |0|  0|1|00 28 15.25|+85 28 26.7|     659|   1218|       |  |   |   |       |      | 135|    |    |   |
     660|x|   1219| 1277.2| 4321.8|      |      | 0|20.729|0.0213| 1|19.359|0.0162| 1|      |      | 0|      |      |0|  3|1|00 28 53.20|+85 19 13.8|     660|   1219|       |  |   |   |       |      |2850|    |    |   |
     661|x|   1222| 1280.2| 4353.9|      |      | 0|16.604|0.0153| 2|15.844|0.0170| 2|      |      | 0|      |      |0| 35|2|00 28 53.37|+85 19 29.9|     661|   1222|       |  |   |   |       |      |2847|1648|    |   |
     662|x|   1223| 1280.2| 3937.7|      |      | 0|19.128|0.0156| 1|18.397|0.0155| 1|      |      | 0|      |      |0|  3|1|00 29 06.93|+85 16 02.5|     662|   1223|       |  |   |   |       |      |2868|    |    |   |
     663|x|   1224| 1281.1| 5763.1|      |      | 0|22.482|0.0150| 1|20.796|0.0160| 1|      |      | 0|      |      |0|   |0|00 28 05.22|+85 31 12.1|     663|   1224|       |  |   |   |       |      | 542|    |    |   |
     664|x|   1226| 1282.1| 4655.8|      |      | 0|21.930|0.0150| 1|20.663|0.0190| 1|      |      | 0|      |      |0|   |0|00 28 44.07|+85 22 00.5|     664|   1226|       |  |   |   |       |      |2827|    |    |   |
     665|x|   1229| 1284.1| 5393.8|      |      | 0|15.760|0.0154| 1|14.850|0.0175| 1|      |      | 0|      |      |0|  0|1|00 28 19.61|+85 28 08.3|     665|   1229|       |  |   |   |       |      | 136|    |    |   |
     666|x|   1231| 1285.5| 3819.1|      |      | 0|20.236|0.0173| 1|18.973|0.0164| 1|      |      | 0|      |      |0|  0|1|00 29 12.87|+85 15 03.6|     666|   1231|       |  |   |   |       |      |2875|    |    |   |
     667|x|   1237| 1290.3| 5573.7|      |      | 0|16.280|0.0204| 1|15.456|0.0175| 1|      |      | 0|      |      |0|  0|1|00 28 15.88|+85 29 38.2|     667|   1237|       |  |   |   |       |      | 124|    |    |   |
     668|x|   1239| 1291.3| 6291.4|      |      | 0|17.756|0.0160| 1|17.170|0.0162| 1|      |      | 0|      |      |0|   |0|00 27 50.35|+85 35 35.8|     668|   1239|       |  |   |   |       |      |  95|    |    |   |
     669|x|   1241| 1292.9| 4306.1|      |      | 0|21.491|0.0247| 1|20.442|0.0170| 1|      |      | 0|      |      |0|   |0|00 29 00.10|+85 19 06.6|     669|   1241|       |  |   |   |       |      |2853|    |    |   |
     670|x|   1243| 1294.7| 4674.2|      |      | 0|17.154|0.0158| 1|16.424|0.0164| 1|      |      | 0|      |      |0|  0|1|00 28 48.67|+85 22 10.1|     670|   1243|       |  |   |   |       |      |2825|    |    |   |
     671|x|   1246| 1296.9| 3163.0|      |      | 0|19.605|0.0168| 1|19.060|0.0162| 1|      |      | 0|      |      |0|  0|1|00 29 37.90|+85 09 37.0|     671|   1246|       |  |   |   |       |      |2907|    |    |   |
     672|x|   1248| 1297.9| 5071.6|      |      | 0|21.772|0.0150| 1|20.211|0.0203| 1|      |      | 0|      |      |0|  0|1|00 28 36.56|+85 25 28.3|     672|   1248|       |  |   |   |       |      |2800|    |    |   |
     673|x|   1252| 1300.5| 4810.6|      |      | 0|15.738|0.0152| 1|14.981|0.0161| 1|      |      | 0|      |      |0|  0|1|00 28 46.46|+85 23 18.3|     673|   1252|       |  |   |   |       |      |2812|    |    |   |
     674|x|   1253| 1301.7| 2874.6|      |      | 0|19.164|0.0175| 1|18.583|0.0162| 1|      |      | 0|      |      |0|  0|1|00 29 48.50|+85 07 13.4|     674|   1253|       |  |   |   |       |      |2924|    |    |   |
     675|x|   1254| 1301.9| 3805.1|      |      | 0|22.107|0.0197| 1|20.509|0.0175| 1|      |      | 0|      |      |0|   |0|00 29 19.88|+85 14 57.2|     675|   1254|       |  |   |   |       |      |3548|    |    |   |
     676|x|   1255| 1302.0| 5103.5|      |      | 0|21.508|0.0270| 1|20.941|0.0432| 1|      |      | 0|      |      |0|   |0|00 28 37.14|+85 25 44.4|     676|   1255|       |  |   |   |       |      |2796|    |    |   |
     677|x|   1256| 1302.0| 2608.4|      |      | 0|19.915|0.0159| 1|19.251|0.0164| 1|      |      | 0|      |      |0|  0|1|00 29 56.58|+85 05 00.7|     677|   1256|       |  |   |   |       |      |7415|    |    |   |
     678|x|   1257| 1302.4| 3549.4|      |      | 0|21.424|0.0230| 1|20.856|0.0168| 1|      |      | 0|      |      |0|   |0|00 29 28.11|+85 12 49.9|     678|   1257|       |  |   |   |       |      |2888|    |    |   |
     679|x|   1258| 1304.0| 5962.4|      |      | 0|21.533|0.0223| 1|20.765|0.0166| 1|      |      | 0|      |      |0|   |0|00 28 07.82|+85 32 52.4|     679|   1258|       |  |   |   |       |      | 103|    |    |   |
     680|x|   1259| 1304.5| 4863.7|      |      | 0|17.058|0.0152| 1|16.363|0.0167| 1|      |      | 0|      |      |0|  0|1|00 28 46.34|+85 23 45.0|     680|   1259|       |  |   |   |       |      |2810|    |    |   |
     681|x|   1262| 1304.7| 5324.4|      |      | 0|20.795|0.0182| 1|19.310|0.0194| 1|      |      | 0|      |      |0|  5|1|00 28 30.67|+85 27 34.6|     681|   1262|       |  |   |   |       |      | 141|    |    |   |
     682|x|   1263| 1304.9| 4350.8|      |      | 0|21.742|0.0186| 1|20.149|0.0178| 1|      |      | 0|      |      |0|   |0|00 29 03.55|+85 19 29.4|     682|   1263|       |  |   |   |       |      |2848|    |    |   |
     683|x|   1264| 1305.6| 3126.1|      |      | 0|20.138|0.0204| 1|19.166|0.0171| 1|      |      | 0|      |      |0|  0|1|00 29 42.44|+85 09 18.9|     683|   1264|       |  |   |   |       |      |2910|    |    |   |
     684|x|   1266| 1306.3| 5002.0|      |      | 0|21.425|0.0170| 1|19.847|0.0189| 1|      |      | 0|      |      |0|  0|1|00 28 42.42|+85 24 53.9|     684|   1266|       |  |   |   |       |      |2803|    |    |   |
     685|x|   1270| 1308.6| 2725.8|      |      | 0|16.038|0.0175| 1|15.520|0.0160| 1|      |      | 0|      |      |0|  0|1|00 29 55.63|+85 05 59.5|     685|   1270|       |  |   |   |       |      |7402|    |    |   |
     686|x|   1274| 1309.7| 5198.8|      |      | 0|19.073|0.0158| 1|17.458|0.0210| 1|      |      | 0|      |      |0|  0|1|00 28 37.11|+85 26 32.2|     686|   1274|       |  |   |   |       |      |2786|    |    |   |
     687|x|   1275| 1309.7| 4569.4|      |      | 0|21.128|0.0279| 1|20.893|0.0310| 1|      |      | 0|      |      |0|   |0|00 28 58.32|+85 21 18.5|     687|   1275|       |  |   |   |       |      |2831|    |    |   |
     688|x|   1278| 1311.4| 4437.2|      |      | 0|18.879|0.0174| 1|18.378|0.0176| 1|      |      | 0|      |      |0|  0|1|00 29 03.37|+85 20 12.7|     688|   1278|       |  |   |   |       |      |2841|    |    |   |
     689|x|   1279| 1311.5| 4877.1|      |      | 0|17.661|0.0155| 1|16.891|0.0165| 1|      |      | 0|      |      |0|  2|1|00 28 48.78|+85 23 51.9|     689|   1279|       |  |   |   |       |      |2809|    |    |   |
     690|x|   1280| 1312.3| 3539.5|      |      | 0|20.956|0.0188| 1|19.557|0.0164| 1|      |      | 0|      |      |0|   |0|00 29 32.39|+85 12 45.3|     690|   1280|       |  |   |   |       |      |2889|    |    |   |
     691|x|   1282| 1313.4| 5594.0|      |      | 0|21.072|0.0255| 1|19.562|0.0207| 1|      |      | 0|      |      |0|  0|1|00 28 24.93|+85 29 49.3|     691|   1282|       |  |   |   |       |      | 122|    |    |   |
     692|x|   1283| 1313.8| 6155.1|      |      | 0|16.719|0.0154| 1|15.760|0.0162| 1|      |      | 0|      |      |0|  0|1|00 28 05.07|+85 34 28.9|     692|   1283|       |  |   |   |       |      |  98|    |    |   |
     693|x|   1285| 1315.6| 4000.1|      |      | 0|19.340|0.0158| 1|17.995|0.0164| 1|      |      | 0|      |      |0|  0|1|00 29 19.18|+85 16 35.0|     693|   1285|       |  |   |   |       |      |2865|    |    |   |
     694|x|   1286| 1315.9| 4402.3|      |      | 0|21.338|0.0202| 1|20.073|0.0200| 1|      |      | 0|      |      |0|   |0|00 29 06.32|+85 19 55.5|     694|   1286|       |  |   |   |       |      |2843|    |    |   |
     695|x|   1287| 1316.4| 5333.4|      |      | 0|21.853|0.0150| 1|20.286|0.0225| 1|      |      | 0|      |      |0|   |0|00 28 35.26|+85 27 39.5|     695|   1287|       |  |   |   |       |      | 140|    |    |   |
     696|x|   1288| 1316.6| 3556.2|      |      | 0|17.742|0.0159| 1|16.910|0.0160| 1|      |      | 0|      |      |0|  1|1|00 29 33.57|+85 12 53.8|     696|   1288|       |  |   |   |       |      |2886|    |    |   |
     697|x|   1292| 1318.8| 3909.8|      |      | 0|21.388|0.0231| 1|20.502|0.0175| 1|      |      | 0|      |      |0|   |0|00 29 23.34|+85 15 50.1|     697|   1292|       |  |   |   |       |      |2870|    |    |   |
     698|x|   1294| 1319.1| 3975.9|      |      | 0|19.071|0.0164| 1|17.693|0.0167| 1|      |      | 0|      |      |0|  0|1|00 29 21.39|+85 16 23.1|     698|   1294|       |  |   |   |       |      |2867|    |    |   |
     699|x|   1299| 1321.3| 4811.7|      |      | 0|20.203|0.0180| 1|19.248|0.0174| 1|      |      | 0|      |      |0|  0|1|00 28 55.04|+85 23 19.7|     699|   1299|       |  |   |   |       |      |2813|    |    |   |
     700|x|   1300| 1322.1| 3143.8|      |      | 0|19.628|0.0196| 1|19.094|0.0177| 1|      |      | 0|      |      |0|  1|1|00 29 48.39|+85 09 28.4|     700|   1300|       |  |   |   |       |      |2908|    |    |   |
     701|x|   1305| 1322.8| 5090.0|      |      | 0|20.833|0.0256| 1|19.951|0.0180| 1|      |      | 0|      |      |0|  0|1|00 28 46.27|+85 25 38.5|     701|   1305|       |  |   |   |       |      |2798|    |    |   |
     702|x|   1306| 1323.6| 5860.1|      |      | 0|20.733|0.0170| 1|20.041|0.0201| 1|      |      | 0|      |      |0|  1|1|00 28 19.88|+85 32 02.3|     702|   1306|       |  |   |   |       |      | 107|    |    |   |
     703|x|   1307| 1324.1| 5556.7|      |      | 0|17.986|0.0200| 1|17.220|0.0226| 1|      |      | 0|      |      |0|  0|1|00 28 30.76|+85 29 31.1|     703|   1307|       |  |   |   |       |      | 126|    |    |   |
     704|x|   1312| 1328.1| 2827.1|      |      | 0|20.659|0.0281| 1|19.603|0.0153| 1|      |      | 0|      |      |0|  1|1|00 30 00.23|+85 06 50.8|     704|   1312|       |  |   |   |       |      |2927|    |    |   |
     705|x|   1313| 1328.3| 2268.5|      |      | 0|      |      | 0|21.195|0.0150| 1|      |      | 0|      |      |0|   |0|00 30 16.64|+85 02 12.3|     705|   1313|       |  |   |   |       |      |7879|    |    |   |
     706|x|   1317| 1330.5| 3025.7|      |      | 0|18.527|0.0199| 1|17.569|0.0163| 1|      |      | 0|      |      |0| 60|1|00 29 55.24|+85 08 29.8|     706|   1317|       |  |   |   |       |      |2919|    |    |   |
     707|x|   1318| 1331.2| 3328.3|      |      | 0|21.660|0.0290| 1|20.423|0.0201| 1|      |      | 0|      |      |0|   |0|00 29 46.38|+85 11 00.7|     707|   1318|       |  |   |   |       |      |2899|    |    |   |
     708|x|   1324| 1333.1| 1439.6|      |      | 0|17.945|0.0168| 1|17.063|0.0155| 1|      |      | 0|      |      |0|   |0|00 30 41.71|+84 55 19.1|     708|   1324|       |  |   |   |       |      |7470|    |    |   |
