#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-10T18:21:20 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5defe11a67cd	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/other/ApSS/361.126&tab:{J/other/ApSS/361.126/table4}&key:source=J/other/ApSS/361.126&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/other/ApSS/361.126/table4
#-order=I
#-out=ID
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=e_Vmag
#-out=U-B
#-out=e_U-B
#-out=B-V
#-out=e_B-V
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Pmemb
#-out.all=2
#

#RESOURCE=yCat_1017036102
#Name: J/other/ApSS/361.126
#Title: NGC 6819 CCD UBV photometry (Ak+, 2016)
#Table	J_other_ApSS_361_126_table4:
#Name: J/other/ApSS/361.126/table4
#Title: Photometric and astrometric catalogue NGC 6819
#Column	ID	(I4)	[1/7060] Sequential number	[ucd=meta.record]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? rms uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	U-B	(F6.3)	? Johnson U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F6.3)	? rms uncertainty on U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	B-V	(F6.3)	? Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? rms uncertainty on B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	pmRA	(F6.1)	? Proper motion component (pmRA*cosDE)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F4.1)	? rms uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F6.1)	? Proper motion component	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F4.1)	? rms uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Pmemb	(I3)	? Membership probability [NULL integer written as an empty string]	[ucd=stat]
ID|RAJ2000|DEJ2000|Vmag|e_Vmag|U-B|e_U-B|B-V|e_B-V|pmRA|e_pmRA|pmDE|e_pmDE|Pmemb
2167|19 41 01.34|+40 16 46.60|20.141| 0.029|      |      | 1.176| 0.069|      |    |      |    |
2168|19 41 01.34|+40 13 30.22|17.651| 0.004| 0.179| 0.024| 0.765| 0.008|   1.6| 4.4|  -4.8| 4.4| 68
2169|19 41 01.35|+40 16 04.06|19.844| 0.022|      |      | 1.524| 0.065|   1.1| 8.1|  -5.8| 8.1| 90
2170|19 41 01.37|+40 07 02.99|17.983| 0.005| 0.094| 0.027| 0.699| 0.010|  -8.9| 4.7| -18.8| 4.7|  7
2171|19 41 01.37|+40 12 52.20|19.375| 0.015|      |      | 0.875| 0.030|  -1.7| 4.5| -15.3| 4.5| 19
2172|19 41 01.38|+40 00 44.24|17.881| 0.005| 0.120| 0.025| 0.613| 0.009|  -7.3| 4.9|   1.9| 4.9| 70
2173|19 41 01.39|+40 12 29.71|18.436| 0.007| 0.548| 0.064| 0.974| 0.015|  14.8| 4.7|  -3.2| 4.7|  3
2174|19 41 01.42|+40 07 22.41|17.807| 0.005| 0.723| 0.042| 0.963| 0.010|  -3.9| 4.5|   3.2| 4.5| 63
2175|19 41 01.48|+40 14 54.59|17.148| 0.003| 0.325| 0.018| 0.725| 0.006| -12.6| 4.0| -19.3| 4.0|  1
2176|19 41 01.49|+40 06 27.18|15.617| 0.004| 0.096| 0.008| 0.624| 0.005|      |    |      |    |
2177|19 41 01.49|+40 07 14.11|14.238| 0.002| 0.590| 0.005| 0.847| 0.003|  -6.7| 3.9|  10.7| 3.9|  5
2178|19 41 01.51|+40 20 55.96|18.529| 0.008| 0.404| 0.056| 0.732| 0.015|  -2.4| 5.1|  -5.5| 5.1| 94
2179|19 41 01.51|+40 19 22.21|16.514| 0.002| 0.093| 0.010| 0.640| 0.004|  -4.6| 4.0|  -1.0| 4.0| 92
2180|19 41 01.54|+40 18 16.16|20.102| 0.028|      |      | 0.820| 0.055|      |    |      |    |
2181|19 41 01.55|+40 16 15.29|19.253| 0.014|      |      | 1.050| 0.030|   1.6| 6.2|  -3.8| 6.2| 83
2182|19 41 01.55|+40 12 21.70|18.730| 0.009| 0.821| 0.096| 0.942| 0.019|   5.8| 5.3|  -8.7| 5.3| 37
2183|19 41 01.57|+40 05 50.95|20.253| 0.031|      |      | 1.069| 0.068|      |    |      |    |
2184|19 41 01.60|+40 10 20.65|20.335| 0.032|      |      | 0.706| 0.060|      |    |      |    |
2185|19 41 01.62|+40 12 49.49|18.352| 0.007| 0.597| 0.060| 0.961| 0.014|  -1.7| 4.5| -15.3| 4.5| 19
2186|19 41 01.62|+40 20 37.40|16.258| 0.002| 0.087| 0.009| 0.617| 0.003|  -4.3| 3.9|   0.7| 3.9| 79
2187|19 41 01.63|+40 15 27.04|14.224| 0.002| 0.073| 0.004| 0.544| 0.002| -13.7| 9.8|  -6.1| 9.8| 79
2188|19 41 01.65|+40 07 51.83|15.439| 0.004| 1.261| 0.020| 1.351| 0.005|  36.1| 3.9|  -8.9| 3.9|  0
2189|19 41 01.68|+40 02 34.26|16.162| 0.002| 0.782| 0.014| 0.944| 0.004|  -1.8| 3.9|   0.0| 3.9| 79
2190|19 41 01.68|+40 16 35.21|20.312| 0.033|      |      | 1.584| 0.102|      |    |      |    |
2191|19 41 01.68|+40 01 07.01|19.870| 0.023| 0.229| 0.125| 0.519| 0.037|  -1.9| 8.8|  -5.4| 8.8| 98
2192|19 41 01.70|+40 18 45.14|20.650| 0.047|      |      |      |      |  -3.5| 4.3|   0.7| 4.3| 82
2193|19 41 01.72|+40 17 41.19|18.824| 0.010| 0.227| 0.052| 0.544| 0.017|  -7.6| 6.7|   4.0| 6.7| 72
2194|19 41 01.73|+40 15 10.30|18.632| 0.009| 0.937| 0.103| 1.020| 0.018|  -8.9| 5.3| -40.4| 5.3|  0
2195|19 41 01.73|+40 06 13.76|18.755| 0.009| 0.019| 0.043| 0.590| 0.016|  -5.7| 6.0|  -2.6| 6.0| 98
2196|19 41 01.74|+40 08 14.19|19.958| 0.023|      |      | 0.881| 0.047|      |    |      |    |
2197|19 41 01.76|+40 00 53.43|18.772| 0.010| 0.257| 0.064| 0.828| 0.018|  -0.1| 5.3|   0.2| 5.3| 80
2198|19 41 01.79|+40 20 51.00|18.895| 0.011| 0.240| 0.066| 0.670| 0.019|  -4.7| 6.0|  -3.0| 6.0|100
2199|19 41 01.81|+40 15 13.99|18.408| 0.007| 0.929| 0.082| 0.962| 0.015|   5.9| 6.0|  40.9| 6.0|  0
2200|19 41 01.81|+40 13 15.52|19.371| 0.015|      |      | 1.112| 0.034|  -1.3| 6.0|  -2.5| 6.0| 95
2201|19 41 01.82|+40 12 28.38|18.795| 0.010|      |      | 0.993| 0.020|  12.7| 4.6|  -3.3| 4.6|  5
2202|19 41 01.82|+40 13 10.80|20.100| 0.027|      |      | 1.461| 0.078|  -1.3| 6.0|  -2.5| 6.0| 95
2203|19 41 01.84|+40 00 43.25|19.145| 0.013|      |      | 1.124| 0.028|  -8.6| 6.7|  -6.9| 6.7| 84
2204|19 41 01.84|+40 19 35.97|15.225| 0.003| 0.021| 0.006| 0.554| 0.004|  -3.9| 3.8|   0.2| 3.8| 83
2205|19 41 01.84|+40 19 04.44|14.541| 0.002| 0.481| 0.006| 0.891| 0.003|  -7.9| 3.8|  12.3| 3.8|  2
2206|19 41 01.86|+40 15 19.77|18.499| 0.008| 0.686| 0.073| 0.918| 0.016|  -0.2| 4.6| -20.9| 4.6|  3
2207|19 41 01.86|+40 11 00.47|20.246| 0.030|      |      | 1.345| 0.081|      |    |      |    |
2208|19 41 01.88|+40 13 54.78|19.304| 0.014| 0.284| 0.109| 0.895| 0.030|   3.6| 7.1|  -0.9| 7.1| 76
2209|19 41 01.89|+40 17 45.03|17.229| 0.004| 0.009| 0.015| 0.590| 0.006|   3.6| 4.2|   9.9| 4.2|  5
2210|19 41 01.89|+40 17 35.20|16.565| 0.002| 0.231| 0.012| 0.757| 0.004|   2.4| 3.9| -24.2| 3.9|  0
2211|19 41 01.90|+40 03 02.85|16.544| 0.002| 0.173| 0.011| 0.674| 0.004|  -9.6| 4.0|  -5.5| 4.0| 60
2212|19 41 01.92|+40 15 01.10|14.845| 0.003| 1.299| 0.013| 1.300| 0.004|  -3.2| 3.8|  -0.8| 3.8| 40
2213|19 41 01.92|+40 16 40.16|19.135| 0.013|      |      | 1.273| 0.031|  -5.3| 6.7|  -9.1| 6.7| 84
2214|19 41 01.94|+40 10 52.01|15.860| 0.005| 0.064| 0.009| 0.553| 0.006|  -3.3| 3.9|  -0.9| 3.9| 91
2215|19 41 01.94|+40 15 34.12|14.856| 0.003| 0.072| 0.005| 0.582| 0.003|  29.7| 5.1|  85.1| 5.1|  0
2216|19 41 01.96|+40 01 19.21|17.800| 0.005| 0.386| 0.032| 0.817| 0.009|  -1.5| 4.8|  -1.3| 4.8| 91
2217|19 41 01.96|+40 03 43.27|17.739| 0.005| 0.085| 0.023| 0.684| 0.008|  -2.5| 4.2|  -4.3| 4.2| 96
2218|19 41 01.98|+40 13 46.47|19.112| 0.012|      |      | 1.272| 0.031|  -0.1| 6.0|  -8.4| 6.0| 78
2219|19 41 02.01|+40 14 17.77|18.939| 0.011|      |      | 1.303| 0.027|  -3.4| 6.7|  -1.9| 6.7| 99
2220|19 41 02.02|+40 08 40.61|14.702| 0.003| 1.206| 0.012| 1.288| 0.004|  -8.0| 3.9|   4.6| 3.9| 32
2221|19 41 02.02|+40 08 28.56|20.160| 0.027|-0.318| 0.132| 0.735| 0.053|  -6.4| 5.3| -42.6| 5.3|  0
2222|19 41 02.03|+40 17 27.61|17.433| 0.004| 0.176| 0.020| 0.757| 0.007|  -7.6| 4.2|  -6.7| 4.2| 73
2223|19 41 02.03|+40 06 28.25|13.140| 0.001|      |      |      |      |  29.1| 3.9|  20.9| 3.9|  0
2224|19 41 02.05|+40 08 32.49|16.748| 0.003| 0.191| 0.013| 0.720| 0.004|  -6.4| 5.3| -42.6| 5.3|  0
2225|19 41 02.06|+40 08 51.57|17.224| 0.003| 0.046| 0.015| 0.623| 0.006|  -8.1| 4.3|  -0.4| 4.3| 74
2226|19 41 02.12|+40 04 39.03|16.807| 0.003| 0.914| 0.024| 0.991| 0.005| -17.6| 3.9| -14.2| 3.9|  1
2227|19 41 02.13|+40 11 59.10|15.502| 0.004|-0.039| 0.007| 0.537| 0.005|  10.8| 3.9|  -8.1| 3.9|  3
2228|19 41 02.14|+40 13 08.47|20.612| 0.041|      |      | 1.354| 0.113|      |    |      |    |
2229|19 41 02.15|+40 08 03.13|19.344| 0.014| 0.388| 0.102| 0.793| 0.027|  -2.6| 6.7|  -1.0| 6.7| 96
2230|19 41 02.17|+40 14 01.93|19.163| 0.013| 0.145| 0.070| 0.658| 0.023|   1.4| 8.8|  -5.1| 8.8| 91
2231|19 41 02.19|+40 07 43.02|15.515| 0.004| 0.042| 0.007| 0.604| 0.005|   0.6| 3.9| -17.3| 3.9|  4
2232|19 41 02.19|+40 16 55.32|15.182| 0.003| 0.032| 0.006| 0.572| 0.004|  -6.2| 5.1| -11.3| 5.1| 56
2233|19 41 02.20|+40 09 20.14|19.651| 0.018|      |      | 0.938| 0.038|   0.0| 6.0|  -3.7| 6.0| 91
2234|19 41 02.21|+40 00 51.60|19.548| 0.018|      |      | 0.962| 0.035|  -9.1| 7.3| -12.0| 7.3| 65
2235|19 41 02.23|+40 17 21.19|19.892| 0.024|      |      | 1.359| 0.062|   0.4| 6.9|   1.7| 6.9| 81
2236|19 41 02.24|+40 20 10.99|18.867| 0.011| 0.667| 0.115| 1.038| 0.023|   1.4| 4.8|   0.3| 4.8| 67
2237|19 41 02.25|+40 10 31.54|18.797| 0.009| 0.742| 0.085| 0.853| 0.019|  -2.5| 6.7|  -1.4| 6.7| 97
2238|19 41 02.26|+40 14 08.75|17.148| 0.003| 0.498| 0.021| 0.873| 0.006| -11.0| 4.0|  -6.0| 4.0| 46
2239|19 41 02.28|+40 05 58.33|19.464| 0.016| 0.053| 0.087| 0.735| 0.029|  -0.8| 8.8| -14.6| 8.8| 67
2240|19 41 02.29|+40 20 35.57|17.597| 0.004| 0.018| 0.018| 0.487| 0.007|   0.0| 4.3|  -5.3| 4.3| 79
2241|19 41 02.29|+40 16 46.22|15.950| 0.005| 0.039| 0.010| 0.610| 0.006|   2.1| 3.9| -21.2| 3.9|  1
2242|19 41 02.30|+40 15 43.86|18.740| 0.009|      |      | 1.219| 0.022|  -3.1| 4.0|   2.6| 4.0| 61
2243|19 41 02.31|+40 09 05.05|19.007| 0.011|      |      | 1.439| 0.030|   7.5| 4.1|   7.4| 4.1|  4
2244|19 41 02.32|+40 04 44.55|18.522| 0.008| 0.237| 0.044| 0.666| 0.014|  -5.4| 5.3|  34.0| 5.3|  0
2245|19 41 02.33|+40 09 23.53|19.681| 0.018|      |      | 0.811| 0.036|  -2.8| 7.3|  -8.3| 7.3| 90
2246|19 41 02.38|+40 13 01.80|18.024| 0.006| 0.763| 0.049| 0.894| 0.011|  27.7| 5.6|  37.8| 5.6|  0
2247|19 41 02.39|+40 07 22.48|20.355| 0.033|      |      | 1.075| 0.074|      |    |      |    |
2248|19 41 02.40|+40 03 04.59|18.582| 0.008| 0.571| 0.064| 0.771| 0.015|  -7.3| 5.3|  -5.4| 5.3| 89
2249|19 41 02.42|+40 05 42.76|15.495| 0.004| 0.354| 0.009| 0.812| 0.005|  -6.9| 3.9|   2.3| 3.9| 56
2250|19 41 02.44|+40 02 31.39|20.667| 0.047|      |      | 1.441| 0.123|   5.5| 4.1|  -6.1| 4.1| 27
2251|19 41 02.44|+40 20 15.23|19.972| 0.026|      |      | 0.926| 0.053|   1.2| 5.8|   9.2| 5.8| 30
2252|19 41 02.47|+40 08 51.74|20.008| 0.025|      |      | 1.119| 0.057|  -8.1| 4.3|  -0.4| 4.3| 74
2253|19 41 02.47|+40 05 17.46|17.343| 0.004| 0.078| 0.017| 0.673| 0.006|  -5.1| 4.0|  -1.3| 4.0| 93
2254|19 41 02.47|+40 14 20.62|20.597| 0.041|      |      | 1.364| 0.115|      |    |      |    |
2255|19 41 02.48|+40 11 25.75|17.440| 0.004| 0.322| 0.022| 0.798| 0.007|  -4.7| 4.2|  -2.2| 4.2| 98
2256|19 41 02.48|+40 10 09.97|18.664| 0.009| 0.832| 0.096| 1.028| 0.018|      |    |      |    |
2257|19 41 02.48|+40 15 08.15|19.938| 0.024|      |      | 1.834| 0.088|      |    |      |    |
2258|19 41 02.48|+40 18 18.53|18.029| 0.006| 0.518| 0.044| 0.902| 0.011|  -6.1| 4.2|   5.3| 4.2| 37
2259|19 41 02.48|+40 12 51.61|14.365| 0.002| 0.254| 0.005| 0.719| 0.003|  12.0| 3.9| -65.8| 3.9|  0
2260|19 41 02.52|+40 15 19.97|16.306| 0.002| 0.101| 0.009| 0.625| 0.003|   1.4| 4.0|  -1.7| 4.0| 64
2261|19 41 02.52|+40 05 56.32|20.626| 0.042|      |      | 1.042| 0.093|  -0.8| 8.8| -14.6| 8.8| 67
2262|19 41 02.52|+40 16 37.87|19.669| 0.020|      |      | 1.289| 0.049|  -1.9| 6.7| -10.7| 6.7| 75
2263|19 41 02.52|+40 05 01.33|21.006| 0.060|      |      | 1.203| 0.143|      |    |      |    |
2264|19 41 02.53|+40 10 18.98|15.013| 0.003| 0.078| 0.006| 0.597| 0.004|  -8.7| 3.9|   0.5| 3.9| 58
2265|19 41 02.56|+40 11 53.06|18.437| 0.007| 0.219| 0.042| 0.752| 0.014|   9.9| 4.8| -16.9| 4.8|  3
2266|19 41 02.56|+40 19 24.27|20.386| 0.038|      |      | 1.688| 0.120|  -3.9| 8.8| -10.6| 8.8| 86
2267|19 41 02.56|+40 02 00.92|18.148| 0.006| 0.891| 0.064| 0.944| 0.012|  -3.0| 4.9|  -3.2| 4.9| 99
2268|19 41 02.57|+40 03 30.37|17.627| 0.004| 0.750| 0.042| 1.107| 0.009|  -0.5| 4.0|  -4.7| 4.0| 82
2269|19 41 02.59|+40 11 35.17|18.064| 0.006| 0.327| 0.036| 0.820| 0.011|  -1.4| 5.0|  -0.4| 5.0| 87
2270|19 41 02.59|+40 12 42.66|20.456| 0.036|      |      | 0.883| 0.076|      |    |      |    |
2271|19 41 02.62|+40 18 29.01|19.667| 0.019| 0.154| 0.114| 0.679| 0.036|  -1.9| 8.8|   3.0| 8.8| 88
2272|19 41 02.63|+40 05 34.11|20.549| 0.039|      |      | 1.062| 0.087|      |    |      |    |
2273|19 41 02.66|+40 20 08.74|18.272| 0.007|-0.021| 0.032| 0.633| 0.012|  -4.0| 5.3|  -6.4| 5.3| 93
2274|19 41 02.67|+40 12 38.27|19.525| 0.016|      |      | 1.166| 0.039| 127.5| 5.1|-440.5| 6.0|  0
2275|19 41 02.67|+40 16 31.95|16.462| 0.002| 0.116| 0.010| 0.632| 0.004|  -3.2| 4.1|  -2.2| 4.1| 98
2276|19 41 02.67|+40 00 49.73|20.388| 0.037|      |      | 1.029| 0.080|   2.2| 8.8|   7.3| 8.8| 65
2277|19 41 02.68|+40 10 58.74|20.088| 0.026|      |      | 0.933| 0.056|      |    |      |    |
2278|19 41 02.70|+40 02 29.75|18.275| 0.007| 1.279| 0.118| 1.215| 0.015|   5.5| 4.1|  -6.1| 4.1| 27
2279|19 41 02.75|+40 07 40.62|19.737| 0.020|      |      | 1.216| 0.048|  -9.8| 6.7|  -6.1| 6.7| 81
2280|19 41 02.75|+40 06 13.05|19.346| 0.014| 0.150| 0.086| 0.774| 0.027|  27.1| 8.8|  26.5| 8.8|  0
2281|19 41 02.78|+40 07 11.73|19.129| 0.012|      |      | 1.191| 0.028|   1.1| 4.5|  -1.4| 4.5| 72
2282|19 41 02.80|+40 01 42.63|20.374| 0.036|      |      | 0.841| 0.067|      |    |      |    |
2283|19 41 02.81|+40 19 09.77|20.108| 0.030|      |      | 1.594| 0.088|   1.9| 7.1|   0.8| 7.1| 80
2284|19 41 02.81|+40 01 52.38|20.059| 0.027|      |      | 0.716| 0.047|  -7.0| 8.8|  -1.0| 8.8| 96
2285|19 41 02.81|+40 03 45.05|16.118| 0.002|-0.026| 0.007| 0.512| 0.003| -23.2| 4.0|   1.7| 4.0|  0
2286|19 41 02.81|+40 00 32.14|20.298| 0.035|      |      | 1.387| 0.083|   8.2| 8.1|  -5.5| 8.1| 58
2287|19 41 02.82|+40 13 29.96|19.677| 0.019|      |      | 1.302| 0.049|  -1.0| 8.1|  -2.7| 8.1| 97
2288|19 41 02.84|+40 17 26.56|19.571| 0.018|-0.105| 0.091| 0.745| 0.034|  14.5| 7.3|   3.8| 7.3| 19
2289|19 41 02.84|+40 09 59.61|15.982| 0.005| 0.067| 0.010| 0.619| 0.006|  -7.9| 3.9|  -5.7| 3.9| 74
2290|19 41 02.87|+40 06 03.18|19.257| 0.014|      |      | 1.277| 0.033|   4.2| 7.3| -10.5| 7.3| 61
2291|19 41 02.88|+40 08 30.60|17.326| 0.004| 0.139| 0.019| 0.813| 0.007|  -0.7| 4.6|   2.0| 4.6| 66
2292|19 41 02.89|+40 18 50.08|19.983| 0.026|      |      | 1.395| 0.069|   8.6| 7.3| -13.5| 7.3| 33
2293|19 41 02.91|+40 10 44.23|15.387| 0.004| 0.056| 0.007| 0.539| 0.004|      |    |      |    |
2294|19 41 02.93|+40 19 41.49|19.812| 0.023|      |      | 1.065| 0.049|      |    |      |    |
2295|19 41 02.94|+40 06 20.90|20.303| 0.032|      |      | 1.670| 0.102|      |    |      |    |
2296|19 41 02.95|+40 13 40.41|19.689| 0.019|      |      | 1.454| 0.054|   2.5| 8.1|  -1.0| 8.1| 85
2297|19 41 02.97|+40 00 51.23|19.394| 0.016|      |      | 1.149| 0.034|  18.2| 6.5|   1.5| 6.2|  7
2298|19 41 02.97|+40 03 06.71|15.190| 0.003| 0.072| 0.006| 0.566| 0.004|   2.5| 3.9|   2.1| 3.9| 35
2299|19 41 02.98|+40 06 17.12|20.294| 0.031|      |      | 0.931| 0.064|   9.0| 5.3|   1.3| 5.3| 22
2300|19 41 02.99|+40 12 16.84|19.820| 0.021|      |      | 1.543| 0.062|      |    |      |    |
2301|19 41 02.99|+40 14 04.84|17.138| 0.003| 0.020| 0.014| 0.645| 0.006|  -0.9| 4.5|  -4.0| 4.5| 90
2302|19 41 03.00|+40 11 26.88|18.520| 0.008| 0.171| 0.045| 0.777| 0.015|   3.4| 5.3|  -1.2| 5.3| 63
2303|19 41 03.00|+40 14 50.41|17.221| 0.003| 0.485| 0.022| 0.826| 0.006|  -3.9| 4.1|  -3.3| 4.1|100
2304|19 41 03.00|+40 11 12.70|20.272| 0.030|      |      | 1.330| 0.081|      |    |      |    |
2305|19 41 03.03|+40 08 50.00|20.990| 0.056|      |      |      |      |      |    |      |    |
2306|19 41 03.03|+40 02 50.95|17.983| 0.006| 0.626| 0.044| 0.884| 0.010|  -0.8| 4.9|   0.3| 4.9| 81
2307|19 41 03.05|+40 20 02.89|19.988| 0.026|      |      | 1.158| 0.061|      |    |      |    |
2308|19 41 03.10|+40 20 38.23|19.338| 0.016|      |      | 1.063| 0.033|   1.3| 4.7|  -0.6| 4.7| 70
2309|19 41 03.11|+40 15 59.77|17.785| 0.005| 1.279| 0.100| 1.529| 0.013|  -4.2| 3.8|   0.7| 3.8| 78
2310|19 41 03.13|+40 15 48.23|18.572| 0.008| 0.199| 0.047| 0.704| 0.015|  -1.2| 5.3|  -1.8| 5.3| 92
2311|19 41 03.13|+40 10 31.86|15.785| 0.005| 0.078| 0.009| 0.564| 0.006|   8.3| 5.3| -10.4| 5.3| 20
2312|19 41 03.14|+40 06 14.45|18.644| 0.009| 0.109| 0.045| 0.699| 0.015|   9.0| 5.3|   1.3| 5.3| 22
2313|19 41 03.14|+40 12 48.70|20.235| 0.030|      |      | 1.026| 0.067|      |    |      |    |
2314|19 41 03.17|+40 04 35.42|20.396| 0.036|      |      | 1.727| 0.117|      |    |      |    |
2315|19 41 03.17|+40 05 22.94|14.538| 0.002| 0.171| 0.005| 0.621| 0.003|   1.3| 3.9|  19.3| 3.9|  0
2316|19 41 03.18|+40 18 44.71|20.368| 0.035|      |      | 0.979| 0.075|      |    |      |    |
2317|19 41 03.19|+40 19 05.97|19.184| 0.014| 0.183| 0.081| 0.726| 0.025|  27.8| 5.3|   6.3| 5.3|  0
2318|19 41 03.20|+40 13 28.91|19.952| 0.023|      |      | 1.134| 0.055|  -5.4| 7.3| -16.5| 7.3| 48
2319|19 41 03.21|+40 07 57.83|19.435| 0.015|      |      | 0.845| 0.030|   3.9| 5.3|   0.6| 5.3| 54
2320|19 41 03.21|+40 05 15.46|18.617| 0.008| 0.388| 0.050| 0.618| 0.015|   7.0| 6.9| -39.9| 6.9|  0
2321|19 41 03.21|+40 15 20.66|19.844| 0.022|      |      | 1.495| 0.064|      |    |      |    |
2322|19 41 03.21|+40 14 34.95|19.080| 0.012| 0.105| 0.059| 0.586| 0.021|  -2.3| 5.8|   1.9| 5.8| 82
2323|19 41 03.21|+40 11 19.89|17.253| 0.003| 0.333| 0.019| 0.769| 0.006|  -2.9| 4.2|  -5.0| 4.2| 95
2324|19 41 03.22|+40 01 16.93|16.443| 0.002| 0.173| 0.010| 0.722| 0.004|  -7.9| 3.9| -11.7| 3.9| 29
2325|19 41 03.25|+40 19 45.61|15.595| 0.004| 0.338| 0.010| 0.812| 0.005|  -0.4| 3.8|   0.0| 3.8| 69
2326|19 41 03.26|+40 10 24.88|20.577| 0.039|      |      | 0.898| 0.083|      |    |      |    |
2327|19 41 03.26|+40 17 30.45|19.167| 0.013|      |      | 1.090| 0.029|  -1.9| 6.0|  -2.2| 6.0| 97
2328|19 41 03.30|+40 07 35.98|15.245| 0.003| 0.064| 0.007| 0.592| 0.004|  -8.3| 3.9|   0.1| 3.9| 64
2329|19 41 03.31|+40 10 52.91|14.092| 0.002| 0.075| 0.003| 0.250| 0.002|   9.0| 5.2|  33.5| 5.2|  0
2330|19 41 03.31|+40 01 38.37|15.329| 0.004| 0.229| 0.008| 0.709| 0.005|   2.1| 3.9|  29.1| 3.9|  0
2331|19 41 03.32|+40 03 42.09|18.088| 0.006| 0.289| 0.035| 0.751| 0.011|  11.0| 5.3| -23.0| 4.7|  0
2332|19 41 03.32|+40 16 26.39|20.521| 0.040|      |      | 1.476| 0.117|-320.9| 7.3| 529.1| 7.3|  0
2333|19 41 03.32|+40 02 33.40|19.030| 0.012| 0.350| 0.079| 0.778| 0.021|  -2.9| 5.3|  -4.4| 5.3| 98
2334|19 41 03.37|+40 11 44.27|15.530| 0.004| 0.885| 0.014| 1.028| 0.005|  -4.4| 3.8| -11.7| 3.8| 34
2335|19 41 03.39|+40 14 39.75|19.649| 0.019|      |      | 1.123| 0.043|  -0.7| 4.0|   1.8| 4.0| 60
2336|19 41 03.43|+40 09 23.42|18.658| 0.009| 0.860| 0.098| 1.060| 0.018|  -0.6| 5.3|  -2.1| 5.3| 90
2337|19 41 03.43|+40 02 38.58|19.718| 0.020| 0.137| 0.122| 0.776| 0.037|  -2.9| 5.3|  -4.4| 5.3| 98
2338|19 41 03.44|+40 03 16.97|18.110| 0.006| 0.659| 0.051| 0.929| 0.012|  -0.4| 4.6|  -1.4| 4.6| 84
2339|19 41 03.44|+40 09 16.37|19.486| 0.016|      |      | 1.171| 0.037|  -4.0| 6.7|  -5.0| 6.7| 99
2340|19 41 03.46|+40 16 10.57|19.776| 0.021|      |      | 0.961| 0.044| -28.5| 7.3| -19.4| 7.3|  3
2341|19 41 03.46|+40 10 18.68|19.641| 0.018| 0.130| 0.112| 0.802| 0.035|      |    |      |    |
2342|19 41 03.47|+40 03 59.28|17.490| 0.004| 0.533| 0.028| 0.861| 0.007|  -0.8| 4.4|  -0.7| 4.4| 82
2343|19 41 03.47|+40 04 28.43|17.352| 0.004| 0.586| 0.027| 0.895| 0.007|  -1.9| 4.0| -13.1| 4.0| 25
2344|19 41 03.48|+40 06 49.81|16.072| 0.002| 0.000| 0.007| 0.575| 0.003|  -1.6| 3.9|  -7.5| 3.9| 71
2345|19 41 03.49|+40 01 28.77|18.640| 0.009| 0.256| 0.055| 0.760| 0.016|   6.7| 5.3| -10.7| 5.3| 26
2346|19 41 03.50|+40 12 54.06|15.096| 0.003| 0.060| 0.006| 0.598| 0.004|  21.9| 3.8|   2.7| 3.8|  0
2347|19 41 03.51|+40 19 08.32|18.272| 0.007| 0.553| 0.054| 0.848| 0.013|  -0.4| 4.6|   8.8| 4.6| 19
2348|19 41 03.51|+40 10 35.95|15.910| 0.005| 0.060| 0.009| 0.560| 0.006|   8.3| 5.3| -10.4| 5.3| 20
2349|19 41 03.52|+40 08 42.74|14.812| 0.003| 0.078| 0.005| 0.466| 0.003| -13.8| 3.8|  -8.4| 3.8| 15
2350|19 41 03.56|+40 16 57.40|18.689| 0.009| 0.452| 0.068| 0.847| 0.018|  -0.3| 5.1|  -2.0| 5.1| 88
