#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-16T12:04:15 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60c9e6e321a69a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=42	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/150/10&tab:{J/AJ/150/10/table4}&key:source=J/AJ/150/10/table4&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/150/10/table4
#-order=I
#-out=WOCS
#-out=IDG
#-out=P38
#-out=IDM
#-out=IDMc
#-out=IDC
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=B-V
#-out.all=2
#-out=r_B-V
#-out=NW
#-out=VC
#VC=VC
#-out=<RV>
#-out=e_<RV>
#-out=s_<RV>
#-out=vsini
#-out=e_vsini
#-out=PRV
#-out=PPM1
#-out=PPM2
#-out=e/i
#-out=Mm
#-out=O
#-out=SB
#-out=RR
#-out=X
#-out=Simbad
#Simbad=Simbad
#-out.all=2
#

#RESOURCE=yCat_51500010
#Name: J/AJ/150/10
#Title: WOCS. LXVI. Radial velocity survey in M35 (Leiner+, 2015)
#Table	J_AJ_150_10_table4:
#Name: J/AJ/150/10/table4
#Title: Radial-velocity summary table
#Column	WOCS	(I6)	[2004/259044] WIYN Open Cluster Study number (G1)	[ucd=meta.id;meta.main]
#Column	IDG	(I6)	[2004/261044]? Identification number from paper XXXVIII (Geller et al. 2010, cat. J/AJ/139/1383) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	P38	(I3)	Display the data from Paper XXXVIII (Geller et al. 2009, J/AJ/139/1383) [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	IDM	(I3)	[14/439]? Identification number from paper XXXIV (Meibom et al. 2009, cat. J/ApJ/695/679) (1) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	IDMc	(I3)	[4/521]? Identification number from McNamara & Sekiguchi (1986AJ.....91..557M) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	IDC	(I3)	[3/763]? Identification number from Cudworth (1971AJ.....76..475C) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	[11.43/16.5] The V-band apparent magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	[0.2/1.36] The (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	r_B-V	(I2)	[1/2]? Source of the photometry (2) [NULL integer written as an empty string]	[ucd=meta.ref;phot.color;em.opt.B]
#Column	NW	(I2)	[0/53] Number of WIYN 3.5m observations	[ucd=meta.number]
#Column	VC	(A2)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	<RV>	(F7.2)	[-129/301] Mean radial velocity	[ucd=spect.dopplerVeloc;stat.mean]
#Column	e_<RV>	(F6.2)	[0/370]? Standard deviation of RV observation	[ucd=stat.stdev;spect.dopplerVeloc;stat.mean]
#Column	s_<RV>	(F4.1)	[0.5/2.1] Single-measurement precision in RV ({sigma}_i_)	[ucd=meta.code.qual;instr.precision;spect.dopplerVeloc]
#Column	vsini	(F5.1)	[0/144] Mean projected rotational velocity (3)	[ucd=phys.veloc.rotat;stat.mean]
#Column	e_vsini	(F5.1)	[0/124]? Standard error on vsini (3)	[ucd=stat.error;phys.veloc.rotat;stat.mean]
#Column	PRV	(I2)	[0/96]? Radial velocity membership probability (4) [NULL integer written as an empty string]	[ucd=stat.probability;spect.dopplerVeloc]
#Column	PPM1	(I2)	[0/99]? Proper-motion membership probability from McNamara & Sekiguchi (1986AJ.....91..557M) [NULL integer written as an empty string]	[ucd=stat.probability;pos.pm]
#Column	PPM2	(I2)	[0/97]? Proper-motion membership probability from Cudworth (1971AJ.....76..475C) [NULL integer written as an empty string]	[ucd=stat.probability;pos.pm]
#Column	e/i	(F6.2)	[0/740] Ratio of RV standard deviation to single-measurement RV precision	[ucd=instr.precision;arith.ratio;spect.dopplerVeloc]
#Column	Mm	(A3)	Membership class (BLM, BLN, BM, BN, SM, SN, or U) (G2)	[ucd=src]
#Column	O	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	SB	(A3)	Single (SB1) or double-lined (SB2) binary (5)	[ucd=meta.code.multip]
#Column	RR	(A2)	"RR" Indicates a Rapid Rotator	[ucd=meta.code]
#Column	X	(A1)	"X" Indicates an X-ray source	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
WOCS|IDG|P38|IDM|IDMc|IDC|RAJ2000|DEJ2000|Vmag|B-V|r_B-V|NW|VC|<RV>|e_<RV>|s_<RV>|vsini|e_vsini|PRV|PPM1|PPM2|e/i|Mm|O|SB|RR|X|Simbad
 30012| 30012|  1|255|   |   |06 08 57.40|+24 15 05.0|15.62| 0.93| 2| 3|VC|  -9.05|  0.26| 0.5| 10.0|     |94|  |  |  0.53|SM | |   |  | |Simbad
 45013| 45013|  1|   |   |   |06 08 58.46|+24 14 48.1|15.99| 1.00| 2| 3|VC|  -8.23|  0.12| 0.5| 10.0|     |96|  |  |  0.25|SM | |   |  | |Simbad
 22013| 22013|  1|   |215|   |06 08 56.20|+24 15 00.2|14.22| 0.73| 2|14|VC|  -7.85|  0.91| 0.8| 31.7|  0.4|96|89|  |  1.20|SM | |   |RR| |Simbad
 27013| 27013|  1|   |   |   |06 08 41.12|+24 21 29.9|14.86| 0.75| 2| 3|VC|  -8.87|  0.78| 0.6| 22.1| 12.1|95|  |  |  1.20|SM | |   |RR|X|Simbad
 50013| 50013|  1|334|   |   |06 09 22.90|+24 15 26.3|16.14| 1.00| 2| 4|VC|  -7.34|  0.68| 0.5| 10.9|  0.9|94|  |  |  1.33|SM | |   |  | |Simbad
 19013| 19013|  1|   |437|   |06 09 34.72|+24 21 36.4|14.06| 0.65| 2|11|VC|  -7.79|  1.56| 0.8| 37.1|  0.3|96|90|  |  1.89|SM | |   |RR| |Simbad
 27014| 27014|  1|197|123|   |06 08 41.80|+24 17 04.1|14.88| 0.74| 2|12|VC|  -7.32|  0.62| 0.6| 16.0|  0.9|94|90|  |  1.08|SM | |   |  | |Simbad
 42014| 42014|  1|328|   |   |06 08 41.07|+24 17 20.6|16.04| 0.97| 2| 3|VC|  -8.73|  0.79| 0.5| 11.4|  0.8|95|  |  |  1.53|SM | |   |  | |Simbad
 36014| 36014|  1|   |   |   |06 09 26.48|+24 15 13.7|15.57| 0.87| 2| 3|VC|  -9.24|  0.77| 0.5| 11.4|  0.9|92|  |  |  1.50|SM | |   |  | |Simbad
 33014| 33014|  1|   |   |   |06 09 28.52|+24 15 31.3|15.28| 0.85| 2| 3|VC|  -7.76|  0.60| 0.6| 18.5|  1.2|96|  |  |  1.00|SM | |   |  | |Simbad
 23014| 23014|  1|   |106|   |06 08 38.16|+24 22 13.9|14.13| 0.63| 2| 6|VC|  -8.95|  0.96| 0.5| 10.0|     |94|98|  |  1.92|SM | |   |  | |Simbad
 34014| 34014|  1|   |   |   |06 09 31.34|+24 24 51.8|15.31| 0.82| 2| 3|VC|  -7.78|  0.18| 0.5| 13.5|  0.5|96|  |  |  0.34|SM | |   |  | |Simbad
 48015| 48015|  1|304|   |   |06 08 43.42|+24 16 07.2|15.80| 0.94| 2| 3|VC|  -9.03|  0.41| 0.5| 10.2|  0.2|94|  |  |  0.81|SM | |   |  | |Simbad
 55015| 54015|  1|342|   |   |06 09 14.08|+24 13 36.7|16.05| 0.99| 2| 3|VC|  -8.47|  0.93| 0.5| 10.6|  0.6|96|  |  |  1.83|SM | |   |  | |Simbad
 46015| 46015|  1|146|   |   |06 09 28.79|+24 25 33.1|15.67| 0.92| 2| 3|VC|  -9.30|  0.78| 0.5| 13.6|  1.8|92|  |  |  1.43|SM | |   |  |X|Simbad
 58015| 58015|  1|   |   |   |06 09 38.59|+24 20 42.7|16.21| 1.04| 2| 4|VC|  -8.87|  1.10| 0.5| 10.0|     |95|  |  |  2.21|SM | |   |  | |Simbad
 56015| 55015|  1|   |   |   |06 09 37.22|+24 22 34.3|16.08| 1.12| 2| 3|VC|  -8.07|  0.47| 0.5| 13.2|  1.7|96|  |  |  0.87|SM | |   |  | |Simbad
 51015| 50015|  1|297|   |   |06 08 37.29|+24 22 17.8|15.90| 0.96| 2| 3|VC|  -8.24|  0.70| 0.5| 10.0|     |96|  |  |  1.39|SM | |   |  | |Simbad
 30015| 30015|  1|   |210|   |06 08 55.46|+24 27 02.5|14.52| 0.92| 2| 5|VC|  -7.34|  0.50| 0.5| 10.6|  1.3|94| 0|  |  0.99|SM | |   |  | |Simbad
 34015| 34015|  1|   |   |   |06 09 38.84|+24 19 42.7|14.85| 0.77| 2| 7|VC|  -6.70|  0.37| 0.5| 11.5|  0.7|88|  |  |  0.72|SM | |   |  | |Simbad
 37015| 37015|  1|205|   |   |06 09 39.19|+24 19 47.0|15.06| 0.85| 2| 6|VC|  -7.40|  0.92| 0.5| 12.8|  0.9|95|  |  |  1.73|SM | |   |  | |Simbad
 31015| 31015|  1|165|274|   |06 09 07.64|+24 27 53.6|14.54| 0.68| 2|10|VC|  -8.43|  0.89| 0.7| 22.8|  0.5|96|91|  |  1.36|SM | |   |RR| |Simbad
 21016| 21016|  1|   |119|   |06 08 40.64|+24 15 57.7|14.86| 0.73| 2| 6|VC|  -8.85|  0.59| 0.6| 20.0|  0.8|95|77|  |  0.95|SM | |   |  | |Simbad
  7016|  7016|  1|   |456|   |06 09 38.01|+24 23 34.2|13.50| 0.62| 2|10|VC|  -9.05|  1.40| 0.9| 43.2|  0.8|94|99|  |  1.56|SM | |   |RR| |Simbad
 28016| 28016|  1|247|   |   |06 09 02.68|+24 12 51.1|15.56| 0.93| 2| 3|VC|  -7.65|  0.47| 0.5| 11.2|  1.2|95|  |  |  0.91|SM | |   |  | |Simbad
 40016| 40016|  1|   |   |   |06 09 32.01|+24 15 10.1|16.41| 1.07| 2| 3|VC|  -8.50|  0.51| 0.5| 13.9|  2.1|96|  |  |  0.94|SM | |   |  | |Simbad
 27016| 27016|  1|241|   |   |06 09 04.26|+24 12 41.9|15.30| 0.84| 2| 3|VC|  -8.05|  0.04| 0.5| 11.8|  0.9|96|  |  |  0.07|SM | |   |  | |Simbad
 24016| 24016|  1|   |   |   |06 09 22.14|+24 27 33.8|15.12| 0.79| 2| 4|VC|  -8.34|  0.49| 0.5| 10.0|     |96|  |  |  0.97|SM | |   |  | |Simbad
 26016| 26016|  1|249|   |   |06 08 33.18|+24 19 13.2|15.28| 0.79| 2| 3|VC|  -8.23|  0.29| 0.5| 10.0|     |96|  |  |  0.58|SM | |   |  | |Simbad
 47017| 48017|  1|357|   |   |06 09 42.59|+24 20 52.0|16.49| 1.07| 2| 6|VC|  -8.13|  1.48| 0.5| 13.1|  1.3|96|  |  |  2.76|SM | |   |  | |Simbad
 45017| 46017|  1|   |   |   |06 08 35.21|+24 17 15.4|16.45| 1.08| 2| 3|VC|  -8.30|  0.49| 0.6| 15.4|  0.4|96|  |  |  0.87|SM | |   |  | |Simbad
 37017| 38017|  1|340|   |   |06 08 32.16|+24 20 36.3|16.06| 1.00| 2| 5|VC|  -7.03|  0.77| 0.5| 10.1|  0.1|92|  |  |  1.53|SM | |   |  | |Simbad
 26017| 26017|  1|272|   |   |06 09 39.01|+24 16 44.2|15.61| 0.88| 2| 4|VC|  -7.41|  0.38| 0.5| 10.6|  0.6|95|  |  |  0.75|SM | |   |  | |Simbad
 32017| 33017|  1|294|   |   |06 09 05.39|+24 12 18.0|15.84| 0.95| 2| 3|VC|  -8.00|  0.19| 0.5| 10.0|     |96|  |  |  0.38|SM | |   |  | |Simbad
 22017| 21017|  1|   |   |   |06 09 39.04|+24 24 24.5|15.40| 0.84| 2| 3|VC|  -8.21|  0.70| 0.5| 11.4|  1.4|96|  |  |  1.36|SM | |   |  | |Simbad
 18017| 18017|  1|190|   |   |06 09 24.13|+24 12 59.9|15.20| 0.81| 2| 3|VC|  -7.09|  0.04| 0.5| 10.6|  0.6|93|  |  |  0.09|SM | |   |  | |Simbad
 66018| 66018|  1|367|   |   |06 09 26.80|+24 27 54.9|16.48| 1.09| 2| 4|VC|  -8.55|  0.63| 0.5| 13.6|  0.2|96|  |  |  1.16|SM | |   |  | |Simbad
 61018| 61018|  1|   |   |   |06 08 36.00|+24 15 34.1|16.19| 1.00| 2| 3|VC|  -7.14|  0.57| 0.5| 11.4|  1.4|93|  |  |  1.11|SM | |   |  | |Simbad
 35018| 35018|  1|206|   |   |06 09 01.27|+24 11 45.6|15.03| 0.91| 2| 3|VC|  -7.97|  0.16| 0.5| 10.0|     |96|  |  |  0.31|SM | |   |  | |Simbad
 62018| 62018|  1|356|   |   |06 09 14.82|+24 29 10.4|16.22| 0.98| 2| 3|VC|  -8.93|  0.49| 0.5| 11.3|  0.8|94|  |  |  0.94|SM | |   |  | |Simbad
 37019| 37019|  1|314|   |   |06 09 11.69|+24 11 23.9|15.90| 0.95| 2| 3|VC|  -8.87|  0.15| 0.5| 10.0|     |95|  |  |  0.29|SM | |   |  | |Simbad
 34019| 34019|  1|252|   |   |06 09 02.15|+24 29 31.2|15.86| 0.91| 2| 4|VC|  -7.65|  0.50| 0.5| 10.0|     |95|  |  |  0.99|SM | |   |  | |Simbad
 29019| 29019|  1|287|   |   |06 09 43.44|+24 24 33.8|15.48| 0.86| 2| 3|VC|  -7.99|  0.49| 0.5| 10.0|     |96|  |  |  0.98|SM | |   |  | |Simbad
 26019| 26019|  1|268|   |   |06 09 31.42|+24 27 49.6|15.19| 0.80| 2| 3|VC|  -8.12|  0.09| 0.5| 10.5|  0.5|96|  |  |  0.17|SM | |   |  | |Simbad
 52019| 52019|  1|   |   |   |06 09 20.84|+24 11 28.9|16.46| 1.09| 2| 3|VC|  -7.15|  0.85| 0.5| 10.0|     |93|  |  |  1.69|SM | |   |  | |Simbad
 37020| 37020|  1|219|   |   |06 08 29.65|+24 16 24.1|15.28| 0.80| 2| 4|VC|  -7.79|  0.63| 0.5| 10.0|     |96|  |  |  1.26|SM | |   |  | |Simbad
 20020| 20020|  1|   |   |   |06 09 09.71|+24 29 59.8|14.07| 0.61| 2| 6|VC|  -8.49|  0.75| 0.6| 18.5|  0.7|96|  |  |  1.25|SM | |   |  | |Simbad
 25020| 25020|  1|   | 90|   |06 08 35.28|+24 14 20.7|14.34| 0.74| 2|10|VC|  -7.31|  1.16| 0.6| 21.6|  0.7|94|95|  |  1.81|SM | |   |RR| |Simbad
 40020| 40020|  1|330|   |   |06 09 15.12|+24 11 03.5|15.43| 0.85| 2| 4|VC|  -7.11|  0.21| 0.5| 10.0|     |93|  |  |  0.42|SM | |   |  | |Simbad
 39020| 39020|  1|   |   |   |06 09 38.92|+24 14 00.3|15.35| 0.82| 2| 4|VC|  -8.29|  0.53| 0.5| 10.7|  0.7|96|  |  |  1.04|SM | |   |  | |Simbad
 21020| 21020|  1|   | 87|   |06 08 33.84|+24 26 24.8|14.09| 0.62| 2| 9|VC|  -8.40|  1.16| 0.7| 27.7|  0.6|96|95|  |  1.63|SM | |   |RR| |Simbad
 38021| 38021|  1|290|   |   |06 08 35.11|+24 27 16.9|15.64| 0.96| 2| 3|VC|  -8.95|  0.18| 0.5| 10.0|     |94|  |  |  0.37|SM | |   |  | |Simbad
 39021| 39021|  1|   |   |   |06 09 49.77|+24 17 34.5|15.72| 0.96| 2| 3|VC|  -8.89|  0.14| 0.5| 10.0|     |95|  |  |  0.28|SM | |   |  | |Simbad
 36021| 36021|  1|258|   |   |06 09 50.08|+24 17 02.9|15.57| 0.92| 2| 4|VC|  -8.83|  0.34| 0.5| 12.6|  1.7|95|  |  |  0.65|SM | |   |  | |Simbad
 55021| 55021|  1|   |   |   |06 09 50.37|+24 23 52.5|16.31| 1.05| 2| 3|VC|  -7.75|  0.65| 0.5| 10.0|     |96|  |  |  1.30|SM | |   |  | |Simbad
 29021| 29021|  1|218|   |   |06 08 30.30|+24 26 28.4|15.09| 0.78| 2| 3|VC|  -7.94|  0.22| 0.6| 14.2|  0.3|96|  |  |  0.40|SM | |   |  | |Simbad
 34022| 34022|  1|   |   |   |06 09 15.70|+24 30 48.6|15.32| 0.82| 2| 3|VC|  -7.85|  0.18| 0.5| 10.9|  0.5|96|  |  |  0.35|SM | |   |  | |Simbad
 22022| 22022|  1|   |236|   |06 09 00.17|+24 10 00.6|14.18| 0.63| 2| 7|VC|  -8.59|  0.65| 0.5| 11.1|  0.8|95|98|  |  1.26|SM | |   |  | |Simbad
 57022| 57022|  1|   |   |   |06 08 57.68|+24 10 00.8|16.10| 0.97| 2| 3|VC|  -8.09|  0.41| 0.5| 10.5|  0.4|96|  |  |  0.81|SM | |   |  | |Simbad
 18022| 18022|  1|   |   |218|06 08 29.61|+24 14 08.5|14.08| 0.62| 2| 3|VC|  -6.79|  0.94| 1.4| 89.1| 73.7|90|  |95|  0.65|SM | |   |RR| |Simbad
 38022| 38022|  1|   |   |   |06 09 13.39|+24 09 49.3|15.49| 0.88| 2| 3|VC|  -9.24|  0.62| 0.5| 10.0|     |92|  |  |  1.24|SM | |   |  |X|Simbad
 43022| 43022|  1|128|   |   |06 08 42.87|+24 29 38.9|15.78| 1.01| 2| 4|VC|  -8.97|  0.54| 0.9| 42.3|  3.1|94|  |  |  0.60|SM | |   |RR|X|Simbad
 42022| 42022|  1|282|   |   |06 09 19.65|+24 30 52.7|15.72| 0.92| 2| 3|VC|  -7.54|  0.38| 0.5| 10.0|     |95|  |  |  0.77|SM | |   |  | |Simbad
 17022| 17022|  1|   |510|   |06 09 55.22|+24 21 11.6|14.06| 0.63| 2| 4|VC|  -9.08|  0.59| 0.9| 42.8|  0.9|94|95|  |  0.66|SM | |   |RR| |Simbad
 20023| 20023|  1|178|   |   |06 09 14.84|+24 31 23.2|14.92| 0.76| 2| 3|VC|  -8.23|  0.61| 0.6| 19.2|  9.2|96|  |  |  1.00|SM | |   |  | |Simbad
 16023| 16023|  1|161|296|   |06 09 10.27|+24 31 44.4|14.63| 0.72| 2|10|VC|  -7.83|  1.48| 0.7| 27.4|  0.5|96|95|  |  2.09|SM | |   |RR| |Simbad
 35023| 36023|  0|   |   |   |06 08 52.72|+24 09 40.4|15.83| 0.94| 2| 3|VC|  -7.81|  0.46| 0.5| 10.0|     |96|  |  |  0.91|SM | |   |  | |Simbad
 10024| 10024|  1|   |356|   |06 09 19.57|+24 31 42.7|13.97| 0.71| 2| 8|VC|  -8.36|  1.46| 0.7| 29.1|  0.5|96|99|  |  2.00|SM | |   |RR| |Simbad
 21024| 21024|  1|   |   |   |06 09 58.30|+24 21 50.1|15.32| 0.83| 2| 3|VC|  -7.55|  0.38| 0.5| 10.7|  0.7|95|  |  |  0.75|SM | |   |  | |Simbad
 28024| 28024|  1|288|   |   |06 08 47.61|+24 09 42.3|15.76| 0.92| 2| 3|VC|  -6.66|  1.05| 0.6| 16.1|  6.1|88|  |  |  1.83|SM | |   |  | |Simbad
 35024| 35024|  1|317|   |   |06 09 01.93|+24 32 08.7|15.98| 0.91| 2| 3|VC|  -7.34|  0.18| 0.5| 11.7|  1.0|94|  |  |  0.34|SM | |   |  | |Simbad
 12024| 12024|  1|   | 56|   |06 08 26.33|+24 27 35.6|14.49| 0.67| 2| 5|VC|  -7.67|  0.99| 0.7| 23.8|  0.5|96|97|  |  1.49|SM | |   |RR| |Simbad
 16024| 16024|  1|   |   |   |06 09 19.63|+24 31 57.2|14.91| 0.75| 2| 3|VC|  -7.83|  0.01| 0.6| 18.8|  0.3|96|  |  |  0.01|SM | |   |  | |Simbad
 29024| 29024|  1|   |   |   |06 09 59.08|+24 22 01.4|15.82| 1.08| 2| 3|VC|  -7.39|  0.33| 0.5| 13.8|  1.2|95|  |  |  0.61|SM | |   |  | |Simbad
  8024|  8024|  1|   |469|   |06 09 39.64|+24 29 52.1|13.91| 0.66| 2| 8|VC|  -7.45|  1.60| 0.9| 43.0|  0.7|95|99|  |  1.78|SM | |   |RR| |Simbad
 41024| 41024|  1|   |   |   |06 09 54.47|+24 15 05.2|16.17| 1.03| 2| 3|VC|  -6.89|  0.42| 0.5| 10.9|  0.9|91|  |  |  0.82|SM | |   |  | |Simbad
 19025| 19025|  1|222|504|   |06 09 51.86|+24 27 00.5|14.80| 0.88| 2| 3|VC|  -8.86|  0.27| 0.5| 11.5|  1.4|95|67|  |  0.52|SM | |   |  | |Simbad
 44025| 44025|  1|   |   |   |06 09 47.33|+24 28 30.7|15.96| 1.02| 2| 3|VC|  -8.25|  0.34| 0.5| 10.0|     |96|  |  |  0.68|SM | |   |  | |Simbad
 36025| 36025|  1|300|   |   |06 08 17.69|+24 16 05.3|15.76| 0.88| 2| 3|VC|  -9.48|  0.43| 0.5| 10.0|     |90|  |  |  0.86|SM | |   |  | |Simbad
 32025| 32025|  1|260|   |   |06 08 46.62|+24 31 43.0|15.56| 0.88| 2| 3|VC|  -7.77|  1.14| 0.5| 11.6|  0.8|96|  |  |  2.19|SM | |   |  | |Simbad
 65025| 65025|  1| 80|   |   |06 09 07.46|+24 08 11.2|16.49| 1.00| 2| 3|VC|  -8.19|  1.21| 1.4| 85.0| 64.9|96|  |  |  0.86|SM | |   |RR| |Simbad
 53025| 52025|  1|326|   |   |06 08 29.82|+24 29 17.8|16.20| 1.04| 2| 3|VC|  -8.17|  0.51| 0.5| 10.0|     |96|  |  |  1.02|SM | |   |  | |Simbad
 26025| 26025|  1|248|   |   |06 10 01.75|+24 20 12.2|15.35| 0.84| 2| 3|VC|  -8.72|  0.41| 0.5| 11.1|  1.1|95|  |  |  0.81|SM | |   |  | |Simbad
 18025| 18025|  1|267|513|   |06 09 56.44|+24 25 51.8|14.79| 0.84| 2| 3|VC|  -7.87|  0.98| 0.5| 10.4|  0.3|96|58|  |  1.94|SM | |   |  | |Simbad
 57026| 57026|  1|   |   |   |06 08 12.63|+24 19 35.9|16.01| 0.93| 2| 3|VC|  -6.81|  0.38| 0.5| 11.8|  1.2|90|  |  |  0.73|SM | |   |  | |Simbad
 31026| 31026|  1|   |   |168|06 08 20.82|+24 27 18.4|14.81| 0.71| 2| 3|VC|  -8.81|  0.10| 0.5| 10.0|     |95|  |90|  0.21|SM | |   |  | |Simbad
 52026| 52026|  1|322|   |   |06 08 12.05|+24 21 26.7|15.85| 0.93| 2| 3|VC|  -8.46|  0.14| 0.5| 12.5|  1.5|96|  |  |  0.26|SM | |   |  | |Simbad
 43026| 43026|  1|207|   |   |06 08 27.30|+24 29 30.3|15.22| 0.84| 2| 3|VC|  -8.44|  0.17| 0.5| 10.7|  0.7|96|  |  |  0.34|SM | |   |  | |Simbad
 25026| 24026|  1|157|521|   |06 10 01.76|+24 16 52.8|14.49| 0.72| 2| 4|VC|  -9.46|  0.85| 0.8| 32.3|  0.9|90|79|  |  1.11|SM | |   |RR| |Simbad
 42026| 42026|  1|   |   |   |06 10 00.83|+24 24 50.0|15.14| 0.81| 2| 3|VC|  -8.57|  0.28| 0.5| 10.4|  0.4|96|  |  |  0.55|SM | |   |  | |Simbad
 32026| 32026|  1|   | 78|   |06 08 32.65|+24 30 41.2|14.87| 0.89| 2| 7|VC|  -7.16|  0.87| 0.6| 15.6|  0.7|93|84|  |  1.54|SM | |   |  | |Simbad
 67027| 67027|  1|   |   |   |06 08 33.95|+24 09 47.8|16.32| 1.00| 2| 4|VC|  -8.83|  0.34| 0.6| 14.7|  3.0|95|  |  |  0.61|SM | |   |  | |Simbad
 17027| 17027|  1|   |125|   |06 08 42.22|+24 32 21.7|14.50| 0.70| 2| 7|VC|  -8.19|  1.07| 0.5| 11.0|  0.7|96|99|  |  2.09|SM | |   |  | |Simbad
 10027| 10027|  1|   |475|   |06 09 42.62|+24 31 00.5|14.00| 0.64| 2| 3|VC|  -7.66|  0.32| 0.6| 15.1|  1.2|95|97|  |  0.58|SM | |   |  | |Simbad
 47027| 47027|  1|302|   |   |06 08 17.04|+24 27 01.9|15.74| 0.88| 2| 3|VC|  -7.62|  0.20| 0.5| 10.0|     |95|  |  |  0.41|SM | |   |  | |Simbad
 65027| 65027|  1| 95|   |   |06 10 03.07|+24 24 38.3|16.25| 0.99| 2| 3|VC|  -7.40|  0.39| 0.5| 14.0|  0.6|95|  |  |  0.71|SM | |   |  | |Simbad
  8027|  8027|  1|   | 54|   |06 08 25.83|+24 29 50.3|13.94| 0.65| 2| 9|VC|  -9.11|  1.48| 0.9| 42.8|  1.2|93|98|  |  1.65|SM | |   |RR| |Simbad
 34027| 34027|  1|271|   |   |06 10 04.71|+24 17 34.8|15.41| 0.87| 2| 3|VC|  -7.36|  0.17| 0.5| 10.0|     |95|  |  |  0.34|SM | |   |  | |Simbad
 64027| 64027|  1|   |   |   |06 09 51.26|+24 29 30.0|16.23| 1.00| 2| 6|VC|  -6.53|  0.94| 0.5| 13.0|  1.9|85|  |  |  1.76|SM | |   |  | |Simbad
 12027| 12027|  1|   |514|   |06 09 56.48|+24 28 02.8|14.23| 0.70| 2| 8|VC|  -7.78|  1.32| 0.7| 24.7|  0.5|96|92|  |  1.95|SM | |   |RR| |Simbad
 42028| 42028|  1|237|   |   |06 08 10.45|+24 24 23.7|15.44| 0.81| 2| 3|VC|  -7.32|  0.01| 0.5| 10.8|  0.7|94|  |  |  0.03|SM | |   |  | |Simbad
 20028| 20028|  1|   |313|   |06 09 12.64|+24 34 06.2|14.45| 0.71| 2| 6|VC|  -8.87|  0.83| 1.0| 55.4|  0.3|95|96|  |  0.80|SM | |   |RR| |Simbad
 24028| 24028|  1|   | 30|   |06 08 19.03|+24 28 36.3|14.65| 0.70| 2| 3|VC|  -7.14|  0.55| 0.5|  0.0|  0.0|93| 9|  |  1.10|SM | |   |  | |Simbad
 25028| 25028|  1|   |   |   |06 09 52.91|+24 29 34.6|14.68| 0.78| 2| 4|VC|  -7.65|  0.33| 0.6| 18.6|  0.7|95|  |  |  0.54|SM | |   |  | |Simbad
  9028|  9028|  0|   | 13|   |06 08 11.00|+24 15 32.4|12.47| 0.32| 2| 5|VC|  -7.01|  0.36| 0.5|  0.0|  0.0|92|99|  |  0.72|SM | |   |  | |Simbad
 28028| 28028|  1|191|   |   |06 08 10.53|+24 15 49.7|14.79| 0.72| 2| 3|VC|  -6.65|  0.33| 0.6| 15.4|  0.3|88|  |  |  0.58|SM | |   |  | |Simbad
 60028| 60028|  1|   |   |   |06 08 07.59|+24 22 34.9|16.05| 0.89| 2| 3|VC|  -7.79|  0.47| 0.5| 10.8|  0.8|96|  |  |  0.92|SM | |   |  | |Simbad
 62028| 62028|  1|   |   |   |06 09 47.99|+24 10 10.5|16.13| 1.04| 2| 4|VC|  -8.92|  0.70| 0.5|  0.0|  0.0|94|  |  |  1.39|SM | |   |  | |Simbad
 34028| 34028|  1|239|   |   |06 08 07.07|+24 18 50.0|15.14| 0.79| 2| 3|VC|  -6.52|  0.34| 0.6| 15.4|  5.4|85|  |  |  0.60|SM | |   |  | |Simbad
 35028| 35028|  1|235|   |   |06 10 01.28|+24 13 43.1|15.15| 0.75| 2| 3|VC|  -7.76|  0.05| 0.5| 10.7|  0.7|96|  |  |  0.10|SM | |   |  | |Simbad
 63029| 63029|  1|298|   |   |06 09 22.89|+24 34 06.5|16.04| 0.98| 2| 3|VC|  -8.83|  0.40| 0.5| 10.8|  0.5|95|  |  |  0.79|SM | |   |  | |Simbad
