#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-10T18:31:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5defdd45bd11	
#INFO	-out.max=unlimited	
#INFO	queryParameters=31	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=J/AJ/148/38/table2
#-nav=cat:J/AJ/148/38&tab:{J/AJ/148/38/table2}&key:source=J/AJ/148/38/table2&HTTPPRM:&&-ref=VIZ5defdd45bd11&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=WOCS&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=V-I&-out=NW&-out=NC&-out=<RV>&-out=e_<RV>&-out=e/i&-out=PRV&-out=PPM&-out=Mm&-out=RV&-out=e_RV&-out=SB&-out=O&-out=XXIV&-out=VC&-ignore=VC=*&VC=VC&-out=Simbad&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/148/38/table2
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/148/38/table2
#-out=WOCS
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=V-I
#-out=NW
#-out=NC
#-out=<RV>
#-out=e_<RV>
#-out=e/i
#-out=PRV
#-out=PPM
#-out=Mm
#-out=RV
#-out=e_RV
#-out=SB
#-out=O
#-out=XXIV
#-out=VC
#-out=Simbad
#

#RESOURCE=yCat_51480038
#Name: J/AJ/148/38
#Title: WIYN open cluster study. LX. RV survey of NGC 6819 (Milliman+, 2014)
#Table	J_AJ_148_38_table2:
#Name: J/AJ/148/38/table2
#Title: Radial velocity summary table
#Column	WOCS	(I6)	[1001/260043] WIYN Open Cluster Study number (G1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	? The V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	V-I	(F5.2)	? The (V-I) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	NW	(I2)	[0/62] Number of WIYN 3.5m observations	[ucd=meta.number;obs]
#Column	NC	(I2)	[0/32] Number of CfA observations	[ucd=meta.number;obs]
#Column	<RV>	(F7.2)	[-241.841/69.628] Mean radial velocity	[ucd=spect.dopplerVeloc;stat.mean]
#Column	e_<RV>	(F5.2)	Standard error in <RV>	[ucd=stat.error;spect.dopplerVeloc;stat.mean]
#Column	e/i	(F6.2)	External error divided by internal error	[ucd=stat.error;spect.dopplerVeloc;stat.mean]
#Column	PRV	(I2)	[0/94]? Radial velocity membership probability [NULL integer written as an empty string]	[ucd=stat.probability;spect.dopplerVeloc]
#Column	PPM	(I2)	[0/99]? Proper-motion membership probability [NULL integer written as an empty string]	[ucd=stat.probability;pos.pm]
#Column	Mm	(A3)	Membership class (1)	[ucd=meta.code.class]
#Column	RV	(F7.2)	? Center-of-mass radial velocity ({gamma}_RV_)	[ucd=phys.veloc]
#Column	e_RV	(F5.2)	? Error in gamma	[ucd=stat.error;phys.veloc]
#Column	SB	(A3)	Single, double- or triple-lined binary (SB1, SB2 or SB3)	[ucd=meta.note]
#Column	O	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	XXIV	(I3)	Display the data from Paper XXIV (Hole et al. 2009, J/AJ/138/159) [NULL integer written as an empty string]	[ucd=meta.number]
#Column	VC	(A2)	Show the radial Velocity Curves	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
WOCS|RAJ2000|DEJ2000|Vmag|V-I|NW|NC|<RV>|e_<RV>|e/i|PRV|PPM|Mm|RV|e_RV|SB|O|XXIV|VC|Simbad
 18035|19 40 43.18|+40 27 51.6|14.84| 1.80| 4| 0| -15.54| 0.31|  1.33| 0| 1|SN |       |     |   | |  0|VC|Simbad
 18037|19 42 51.58|+40 13 56.6|14.34| 1.46| 5| 0| -18.93| 0.63|  3.16| 0|34|SN |       |     |   | |  0|VC|Simbad
 18038|19 39 38.96|+40 09 13.8|14.49| 0.87| 3| 0| -20.59| 0.29|  1.02| 0| 8|SN |       |     |   | |  0|VC|Simbad
 18039|19 40 21.30|+39 55 31.7|14.06| 1.32| 3| 0| -10.79| 0.47|  1.66| 0| 8|SN |       |     |   | |  0|VC|Simbad
 18040|19 42 49.43|+40 03 15.2|14.41| 1.34| 1| 0|  -9.84| 0.40| -1.00|  | 0|   |       |     |   | |  0|VC|Simbad
 18041|19 39 33.74|+40 15 01.0|13.44| 0.75| 4| 0| -26.79| 0.12|  0.52| 0|  |SN |       |     |   | |  0|VC|Simbad
 18042|19 40 20.97|+39 53 57.2|13.73| 1.08| 4| 0| -42.30| 1.87|  8.08| 0| 0|BLN|       |     |   | |  0|VC|Simbad
 18043|19 40 49.54|+40 32 25.6|14.20| 0.81|14| 0| -30.66| 5.28| 47.60| 0|  |BN | -21.30| 0.54|SB1| |  0|VC|Simbad
 18044|19 39 26.09|+40 17 22.3|14.14| 1.21| 3| 0| -47.87| 0.07|  0.23| 0|23|SN |       |     |   | |  0|VC|Simbad
 18045|19 39 39.18|+39 59 33.8|14.06| 1.22| 3| 0| -79.54| 0.26|  0.91| 0|36|SN |       |     |   | |  0|VC|Simbad
 18048|19 39 21.85|+40 03 43.4|14.17| 0.86| 3| 0|  14.10| 0.21|  0.76| 0|  |SN |       |     |   | |  0|VC|Simbad
 18050|19 42 58.28|+39 56 35.4|13.68| 1.27| 3| 0| -17.55| 0.06|  0.20| 0|  |SN |       |     |   | |  0|VC|Simbad
 18053|19 42 37.43|+39 50 24.1|13.80| 0.68| 4| 0|  -4.03| 0.65|  2.80| 0| 0|SN |       |     |   | |  0|VC|Simbad
 18055|19 42 36.85|+39 48 59.9|13.90| 1.31| 3| 0| -31.28| 0.37|  1.31| 0|  |SN |       |     |   | |  0|VC|Simbad
 18056|19 42 56.38|+40 32 01.1|13.92| 0.72|11| 0| -17.75| 0.16|  1.30| 0|14|SN |       |     |   | |  0|VC|Simbad
 19002|19 41 14.82|+40 11 51.3|14.71| 0.81| 6| 0|   3.43| 0.69|  3.84|91| 8|SM |       |     |   | |  1|VC|Simbad
 19003|19 41 14.15|+40 12 52.2|15.04| 0.82| 4| 0|  -6.94| 0.12|  0.50| 0| 0|SN |       |     |   | |  1|VC|Simbad
 19004|19 41 15.00|+40 13 37.2|15.07| 0.78| 3| 0|   2.72| 0.27|  0.97|94|99|SM |       |     |   | |  1|VC|Simbad
 19005|19 41 29.94|+40 11 32.9|15.11| 0.78|13| 0|   4.02| 0.17|  1.46|84|98|SM |       |     |   | |  1|VC|Simbad
 19006|19 41 30.43|+40 13 13.5|14.97| 0.80| 3| 0|   4.09| 0.31|  1.08|82|99|SM |       |     |   | |  1|VC|Simbad
 19007|19 41 15.46|+40 15 12.1|14.96| 0.78| 4| 0|   2.36| 0.06|  0.28|94| 0|SN |       |     |   | |  1|VC|Simbad
 19008|19 41 15.92|+40 15 45.7|15.17| 0.79| 6| 0|   2.87| 0.29|  1.63|94| 0|SN |       |     |   | |  1|VC|Simbad
 19009|19 40 55.64|+40 12 16.6|14.94| 0.76| 5| 0|   2.70| 0.35|  1.76|94|99|SM |       |     |   | |  1|VC|Simbad
 19010|19 40 53.52|+40 11 01.1|15.46| 0.74|11| 0| -17.08| 0.16|  1.27| 0| 0|SN |       |     |   | |  1|VC|Simbad
 19011|19 41 36.11|+40 15 38.3|15.38| 0.90| 4| 0| -33.20| 0.12|  0.53| 0| 0|SN |       |     |   | |  1|VC|Simbad
 19012|19 41 43.88|+40 09 09.8|15.19| 0.95| 3| 0| -56.44| 0.23|  0.81| 0| 0|SN |       |     |   | |  0|VC|Simbad
 19013|19 40 54.68|+40 07 13.3|14.78| 1.06| 3| 0| -67.76| 0.19|  0.67| 0| 0|SN |       |     |   | |  1|VC|Simbad
 19014|19 41 43.36|+40 16 28.6|15.17| 0.81| 3| 0| -39.93| 0.20|  0.69| 0| 0|SN |       |     |   | |  1|VC|Simbad
 19015|19 41 11.59|+40 04 49.5|14.90| 0.88| 3| 0|  21.12| 0.15|  0.53| 0| 0|SN |       |     |   | |  1|VC|Simbad
 19016|19 40 41.84|+40 08 23.6|14.79| 0.80| 3| 0| -15.71| 0.08|  0.30| 0| 0|SN |       |     |   | |  1|VC|Simbad
 19017|19 41 24.23|+40 19 41.1|14.98| 1.03| 6| 0| -23.82| 0.57|  3.17| 0| 0|SN |       |     |   | |  1|VC|Simbad
 19018|19 40 38.62|+40 16 33.6|14.95| 0.69| 6| 0|  15.25| 0.52|  2.90| 0| 0|SN |       |     |   | |  1|VC|Simbad
 19019|19 41 13.24|+40 02 19.3|14.87| 1.23| 3| 0|-123.86| 0.17|  0.60| 0| 0|SN |       |     |   | |  1|VC|Simbad
 19020|19 41 43.00|+40 03 29.3|14.86| 0.84| 6| 0|   1.99| 0.16|  0.91|93|73|SM |       |     |   | |  1|VC|Simbad
 19021|19 40 25.34|+40 14 35.3|14.86| 0.74| 8| 0|   2.64| 0.17|  1.10|94|55|SM |       |     |   | |  1|VC|Simbad
 19022|19 42 10.07|+40 07 38.0|15.09| 1.31| 3| 0| -29.97| 0.19|  0.69| 0|30|SN |       |     |   | |  1|VC|Simbad
 19023|19 42 14.88|+40 14 15.1|14.71| 0.89| 3| 0| -11.60| 0.07|  0.23| 0| 3|SN |       |     |   | |  1|VC|Simbad
 19024|19 42 18.52|+40 12 57.1|14.28| 0.67| 4| 0|  -3.82| 0.43|  1.85| 0|27|SN |       |     |   | |  1|VC|Simbad
 19025|19 42 08.31|+40 19 08.0|14.58| 0.95| 4| 0|  -6.67| 0.03|  0.14| 0| 0|SN |       |     |   | |  1|VC|Simbad
 19026|19 40 19.38|+40 05 04.2|14.38| 0.72| 9| 0| -12.68| 1.18|  8.36| 0| 0|BLN|       |     |   | |  0|VC|Simbad
 19027|19 40 36.35|+40 22 19.7|14.74| 1.10| 3| 0| -25.93| 0.05|  0.19| 0| 0|SN |       |     |   | |  1|VC|Simbad
 19031|19 42 00.57|+40 24 35.2|14.53| 0.67| 3| 0|  31.07| 0.20|  0.71| 0| 1|SN |       |     |   | |  1|VC|Simbad
 19032|19 40 05.95|+40 03 38.0|14.44| 0.62| 4| 0| -12.43| 1.77|  7.65| 0| 0|BLN|       |     |   | |  0|VC|Simbad
 19033|19 40 02.72|+40 19 17.3|14.56| 1.48|11| 0| -16.11| 0.11|  0.88| 0|56|SN |       |     |   | |  0|VC|Simbad
 19034|19 39 52.61|+40 15 52.6|14.67| 1.06| 4| 0| -33.35| 0.28|  1.22| 0| 0|SN |       |     |   | |  1|VC|Simbad
 19036|19 39 57.94|+40 21 17.2|14.20| 0.68| 3| 0|  15.66| 0.30|  1.06| 0| 3|SN |       |     |   | |  0|VC|Simbad
 19038|19 39 44.12|+40 06 07.9|14.59| 1.66| 4| 0| -14.22| 0.14|  0.60| 0| 3|SN |       |     |   | |  0|VC|Simbad
 19040|19 39 37.98|+40 05 47.1|14.46| 1.88| 6| 0| -77.16| 0.31|  1.75| 0|58|SN |       |     |   | |  0|VC|Simbad
 19042|19 41 46.85|+39 51 54.2|13.92| 1.27| 3| 0|   3.25| 0.31|  1.11|92|14|SM |       |     |   | |  0|VC|Simbad
 19043|19 43 08.01|+40 12 49.7|14.76| 0.75| 4| 0|  24.98| 0.16|  0.69| 0|  |SN |       |     |   | |  0|VC|Simbad
 19044|19 42 43.13|+39 57 36.7|14.11| 0.76| 3| 0|   0.02| 0.20|  0.72|47| 0|SN |       |     |   | |  1|VC|Simbad
 19045|19 42 32.25|+39 54 40.0|14.18| 1.37| 3| 0| -14.97| 0.65|  2.31| 0| 0|SN |       |     |   | |  0|VC|Simbad
 19049|19 42 12.70|+40 33 51.8|13.69| 1.21| 3| 0| -92.49| 0.23|  0.82| 0|  |SN |       |     |   | |  0|VC|Simbad
 19050|19 41 10.38|+39 46 57.5|13.75| 0.73| 4| 0| -50.43| 0.23|  1.01| 0|  |SN |       |     |   | |  0|VC|Simbad
 19051|19 42 17.79|+40 34 21.1|13.32| 1.36| 3| 0| -62.26| 0.33|  1.18| 0|  |SN |       |     |   | |  0|VC|Simbad
 19055|19 39 33.72|+39 52 58.6|13.92| 1.41| 2| 0| -16.10| 4.43| 11.08|  | 5|   |       |     |   | |  0|VC|Simbad
 19059|19 40 28.20|+39 43 57.0|13.46| 1.29| 1| 0| -18.34| 0.40| -1.00|  |  |   |       |     |   | |  0|VC|Simbad
 20002|19 41 19.44|+40 12 31.2|14.73| 0.74|17| 0|   3.88| 0.90|  9.02|94|94|BM |   2.79| 0.37|SB1|O|  1|VC|Simbad
 20003|19 41 24.90|+40 12 03.4|15.04| 0.77|16| 0|   3.36| 0.61|  5.88|94|99|BM |   2.28| 0.33|SB1|O|  1|VC|Simbad
 20004|19 41 17.33|+40 10 05.6|15.07| 0.81| 3| 0|   3.00| 0.50|  1.78|93|99|SM |       |     |   | |  0|VC|Simbad
 20005|19 41 28.00|+40 10 42.6|15.13| 0.77| 3| 0|   2.20| 0.01|  0.05|94|99|SM |       |     |   | |  1|VC|Simbad
 20006|19 41 31.07|+40 10 51.0|15.03| 0.79| 3| 0|   1.17| 0.45|  1.59|88|99|SM |       |     |   | |  0|VC|Simbad
 20007|19 41 02.52|+40 10 18.9|14.97| 0.76| 3| 0|   2.95| 0.22|  0.77|93|99|SM |       |     |   | |  1|VC|Simbad
 20008|19 41 30.44|+40 14 44.6|15.20| 0.77|15| 0|   3.07| 1.60| 14.96|92|99|BM |   3.31| 0.48|SB1|O|  1|VC|Simbad
 20009|19 40 57.87|+40 09 41.5|15.00| 1.24|14| 0| -60.54| 1.17| 10.58| 0|92|BN | -59.80| 0.16|SB1| |  1|VC|Simbad
 20010|19 40 54.76|+40 14 05.4|15.11| 0.74|15| 0|   5.13| 2.21| 20.67|93|99|BM |   3.09| 0.47|SB1|O|  1|VC|Simbad
 20011|19 41 38.39|+40 08 34.4|15.39| 0.92|12| 0|  14.83| 1.20|  9.92| 0| 0|BLN|       |     |   | |  1|VC|Simbad
 20012|19 41 48.17|+40 12 31.1|15.22| 0.81| 8| 0|   2.38| 0.39|  2.59|94|99|SM |       |     |   | |  1|VC|Simbad
 20013|19 41 31.00|+40 06 01.3|14.79| 1.19|15| 0|   5.48| 1.63| 15.26|94|99|BM |   2.22| 0.20|SB1|O|  1|VC|Simbad
 20014|19 40 45.29|+40 14 17.5|15.22| 1.20| 3| 0|-103.67| 0.17|  0.61| 0| 0|SN |       |     |   | |  1|VC|Simbad
 20015|19 40 57.01|+40 05 54.2|15.06| 0.74| 3| 0|   2.12| 0.17|  0.61|94|99|SM |       |     |   | |  1|VC|Simbad
 20016|19 40 37.64|+40 11 43.6|14.81| 0.97| 4| 0|   3.51| 0.16|  0.68|91|99|SM |       |     |   | |  1|VC|Simbad
 20017|19 41 19.11|+40 03 26.1|15.03| 1.10| 5| 0| -49.43| 0.19|  0.97| 0| 0|SN |       |     |   | |  1|VC|Simbad
 20018|19 41 44.00|+40 04 55.9|14.96| 0.77| 4| 0|  -6.07| 0.22|  0.95| 0| 0|SN |       |     |   | |  1|VC|Simbad
 20019|19 41 49.86|+40 18 46.2|14.94| 0.80| 3| 0|   5.63| 0.41|  1.46|12|98|SN |       |     |   | |  1|VC|Simbad
 20020|19 41 33.16|+40 02 26.1|14.92| 0.83| 8| 0|   1.85| 0.26|  1.72|93|61|SM |       |     |   | |  1|VC|Simbad
 20021|19 41 12.54|+40 21 51.2|14.91| 0.96| 4| 0| -39.19| 0.17|  0.73| 0| 0|SN |       |     |   | |  1|VC|Simbad
 20022|19 42 10.18|+40 08 28.5|15.09| 1.16| 4| 0|  -0.87| 0.06|  0.24| 7|48|SN |       |     |   | |  1|VC|Simbad
 20023|19 41 46.36|+40 21 29.8|14.72| 1.42| 3| 0| -49.33| 0.41|  1.44| 0| 0|SN |       |     |   | |  1|VC|Simbad
 20024|19 40 19.00|+40 08 38.0|14.34| 1.28| 3| 0|  24.94| 0.21|  0.74| 0|52|SN |       |     |   | |  0|VC|Simbad
 20025|19 41 55.69|+40 01 42.4|14.69| 0.81| 3| 0|  -6.85| 0.18|  0.63| 0| 0|SN |       |     |   | |  1|VC|Simbad
 20026|19 40 56.45|+39 59 39.3|14.42| 0.82| 4| 0|  10.57| 0.13|  0.54| 0| 0|SN |       |     |   | |  1|VC|Simbad
 20027|19 40 54.63|+40 24 07.3|15.09| 0.74|14| 0|  -5.58| 0.84|  7.59| 0| 1|BLN|       |     |   | |  1|VC|Simbad
 20028|19 41 21.55|+39 58 10.2|14.63| 1.81| 3| 0|-111.18| 0.47|  1.66| 0|46|SN |       |     |   | |  0|VC|Simbad
 20029|19 42 03.39|+40 00 19.4|14.48| 0.80| 3| 0|   3.77| 0.59|  2.09|88|23|SM |       |     |   | |  1|VC|Simbad
 20030|19 42 14.69|+40 01 49.3|14.29| 0.59| 1| 0|  43.80| 0.40| -1.00|  | 2|   |       |     |   | |  0|VC|Simbad
 20031|19 40 38.38|+39 58 33.2|14.60| 0.80| 1| 0| -19.52| 0.40| -1.00|  | 0|   |       |     |   | |  0|VC|Simbad
 20032|19 39 57.98|+40 16 10.4|14.64| 0.72| 4| 0|   5.02| 0.06|  0.25|41| 0|SN |       |     |   | |  1|VC|Simbad
 20033|19 42 17.59|+40 23 33.0|14.59| 0.93| 3| 0| -14.41| 0.67|  2.36| 0|43|SN |       |     |   | |  0|VC|Simbad
 20034|19 42 32.94|+40 02 59.5|14.60| 0.72| 4| 0|   8.59| 0.13|  0.55| 0|17|SN |       |     |   | |  0|VC|Simbad
 20035|19 39 54.69|+40 18 15.1|14.76| 0.87| 4| 0|   9.13| 0.20|  0.85| 0|25|SN |       |     |   | |  1|VC|Simbad
 20036|19 39 56.07|+40 20 10.5|14.18| 0.68| 5| 0|  -7.59| 0.58|  2.90| 0| 0|SN |       |     |   | |  1|VC|Simbad
 20037|19 42 49.05|+40 16 20.7|14.66| 0.85| 3| 0| -27.06| 0.36|  1.27| 0| 0|SN |       |     |   | |  1|VC|Simbad
 20038|19 42 42.16|+40 02 05.1|14.64| 1.22| 3| 0|  18.60| 0.12|  0.43| 0|  |SN |       |     |   | |  1|VC|Simbad
 20040|19 41 36.50|+40 30 59.5|14.43| 0.72| 2| 0| -41.27| 0.71|  1.78|  | 0|   |       |     |   | |  0|VC|Simbad
 20043|19 41 00.19|+40 32 44.3|14.38| 0.72| 3| 0|   7.41| 0.75|  2.64| 0| 7|SN |       |     |   | |  0|VC|Simbad
 20044|19 39 29.39|+40 18 40.6|14.19| 1.35| 3| 0| -27.88| 0.26|  0.94| 0|52|SN |       |     |   | |  1|VC|Simbad
 20046|19 43 08.98|+40 19 06.8|14.01| 1.23| 1| 0| -41.20| 0.40| -1.00|  | 2|   |       |     |   | |  0|VC|Simbad
 20050|19 39 07.20|+40 10 39.2|13.81| 0.89| 4| 0|  10.20| 0.15|  0.64| 0|  |SN |       |     |   | |  0|VC|Simbad
 20052|19 39 22.31|+39 58 35.2|13.69| 0.81| 4| 0|  -1.74| 0.22|  0.97| 0|  |SN |       |     |   | |  0|VC|Simbad
 20053|19 39 31.44|+40 28 40.2|13.80| 1.22| 3| 0| -39.43| 0.33|  1.15| 0|21|SN |       |     |   | |  0|VC|Simbad
 21002|19 41 13.19|+40 12 03.3|14.75| 0.82| 3| 0|   2.24| 0.09|  0.34|94|99|SM |       |     |   | |  1|VC|Simbad
 21003|19 41 22.93|+40 11 17.7|15.12| 0.75| 4| 0|  -0.94| 0.36|  1.54| 6|99|SN |       |     |   | |  1|VC|Simbad
 21004|19 41 24.86|+40 12 54.0|15.12| 0.78| 3| 0|   2.86| 0.39|  1.38|94|99|SM |       |     |   | |  0|VC|Simbad
 21005|19 41 28.23|+40 10 58.8|15.14| 0.77| 3| 0|   4.95| 0.18|  0.63|46|99|SN |       |     |   | |  0|VC|Simbad
 21006|19 41 03.48|+40 12 54.0|15.06| 0.75| 5| 0|   3.60| 0.52|  2.59|90|99|SM |       |     |   | |  1|VC|Simbad
 21007|19 41 33.40|+40 10 36.5|14.98| 0.79|15| 0|   3.58| 3.16| 29.55|94|91|BM |   2.31| 0.49|SB1|O|  1|VC|Simbad
 21008|19 41 33.52|+40 14 20.8|15.24| 0.79| 3| 0|   2.10| 0.26|  0.91|94|98|SM |       |     |   | |  1|VC|Simbad
 21009|19 41 07.46|+40 07 58.3|15.09| 0.78| 3| 0|   2.12| 0.16|  0.56|94|99|SM |       |     |   | |  1|VC|Simbad
 21010|19 40 54.63|+40 13 05.4|15.13| 0.88| 3| 0| -39.52| 0.17|  0.58| 0| 0|SN |       |     |   | |  1|VC|Simbad
 21011|19 40 57.03|+40 15 38.4|15.42| 0.71| 3| 0|   3.08| 0.44|  1.56|93|99|SM |       |     |   | |  1|VC|Simbad
 21012|19 41 47.95|+40 11 53.8|15.22| 0.79| 3| 0|   1.18| 0.14|  0.48|88|99|SM |       |     |   | |  1|VC|Simbad
 21013|19 41 36.03|+40 06 20.5|14.99| 1.41| 3| 0| -53.67| 0.21|  0.76| 0| 2|SN |       |     |   | |  1|VC|Simbad
 21014|19 41 04.83|+40 18 20.9|15.29| 0.72| 4| 0|   3.49| 0.26|  1.12|91|99|SM |       |     |   | |  1|VC|Simbad
 21015|19 41 55.99|+40 12 18.0|15.09| 0.92| 3| 0|  -3.60| 0.35|  1.22| 0| 0|SN |       |     |   | |  1|VC|Simbad
 21016|19 40 58.75|+40 05 08.5|15.00| 1.22| 3| 0| -73.84| 0.15|  0.54| 0| 0|SN |       |     |   | |  1|VC|Simbad
 21017|19 41 59.88|+40 10 56.4|15.04| 0.78| 3| 0| -58.43| 0.40|  1.42| 0| 0|SN |       |     |   | |  1|VC|Simbad
 21018|19 40 58.38|+40 03 41.0|14.97| 0.72| 3| 0|  36.35| 0.33|  1.17| 0| 0|SN |       |     |   | |  1|VC|Simbad
 21019|19 41 31.67|+40 20 36.9|14.97| 0.72| 3| 0|  15.79| 0.16|  0.57| 0| 0|SN |       |     |   | |  1|VC|Simbad
 21020|19 42 08.19|+40 11 25.5|14.92| 1.26| 4| 0| -20.57| 0.70|  3.04| 0| 0|SN |       |     |   | |  1|VC|Simbad
 21021|19 42 08.55|+40 15 34.6|14.97| 1.14| 4| 0|   2.55| 0.20|  0.87|94|  |SM |       |     |   | |  1|VC|Simbad
 21022|19 42 10.44|+40 14 46.3|15.12| 0.77| 6| 0|   3.88| 0.34|  1.89|86|47|SM |       |     |   | |  1|VC|Simbad
 21023|19 40 33.83|+40 04 27.4|14.78| 0.82| 5| 0|  18.79| 0.23|  1.14| 0|54|SN |       |     |   | |  1|VC|Simbad
 21024|19 41 32.50|+40 23 14.7|14.47| 0.72| 3| 0| -22.88| 0.34|  1.19| 0| 1|SN |       |     |   | |  1|VC|Simbad
 21025|19 40 23.13|+40 18 34.3|14.72| 0.82| 3| 0|  16.24| 0.18|  0.65| 0| 0|SN |       |     |   | |  1|VC|Simbad
 21026|19 40 32.09|+40 21 13.0|14.43| 1.09| 3| 0| -42.94| 0.06|  0.22| 0| 0|SN |       |     |   | |  1|VC|Simbad
 21027|19 41 24.94|+39 58 37.8|15.11| 1.17| 4| 0|   2.48| 0.30|  1.29|94| 1|SN |       |     |   | |  1|VC|Simbad
 21029|19 40 22.36|+40 02 06.9|14.51| 0.76| 4| 0| -37.66| 0.47|  2.04| 0| 0|SN |       |     |   | |  1|VC|Simbad
 21030|19 41 01.95|+39 57 09.3|14.28| 1.28| 3| 0| -51.75| 0.15|  0.53| 0| 0|SN |       |     |   | |  0|VC|Simbad
 21031|19 40 16.20|+40 02 10.3|14.57| 1.29|10| 0| -76.18| 2.82| 21.12| 0|28|BLN|       |     |   | |  0|VC|Simbad
 21032|19 42 20.27|+40 21 39.6|14.72| 0.81| 3| 0| -29.57| 2.71|  9.58| 0| 0|BLN|       |     |   | |  0|VC|Simbad
 21034|19 39 49.19|+40 11 09.5|14.59| 1.25| 3| 0|  22.35| 0.48|  1.71| 0| 8|SN |       |     |   | |  0|VC|Simbad
 21036|19 40 51.08|+40 28 53.8|14.25| 1.19| 3| 0|-201.86| 0.23|  0.81| 0| 0|SN |       |     |   | |  0|VC|Simbad
 21038|19 39 40.33|+40 08 09.8|14.66| 1.22| 3| 0|   2.74| 0.14|  0.49|94| 0|SN |       |     |   | |  0|VC|Simbad
 21039|19 39 53.80|+40 01 27.2|14.37| 0.71| 3| 0| -27.42| 0.07|  0.24| 0|33|SN |       |     |   | |  0|VC|Simbad
 21040|19 41 57.81|+40 29 59.9|14.69| 0.78| 3| 0| -55.30| 8.40| 29.71| 0| 1|BLN|       |     |   | |  0|VC|Simbad
 21041|19 42 45.40|+40 00 42.4|13.62| 0.59|11| 0|   2.41| 5.62| 44.46| 0|14|BN |   8.28| 0.08|SB1| |  0|VC|Simbad
 21042|19 39 31.19|+40 06 57.6|14.08| 1.24| 3| 0|   8.83| 0.26|  0.91| 0| 0|SN |       |     |   | |  0|VC|Simbad
 21044|19 42 22.85|+40 29 40.4|14.13| 0.72| 1| 0| -36.01| 0.40| -1.00|  | 0|   |       |     |   | |  0|VC|Simbad
 21047|19 40 40.52|+40 34 09.6|14.63| 1.46| 3| 0| -14.56| 0.41|  1.45| 0|  |SN |       |     |   | |  0|VC|Simbad
 21049|19 43 11.96|+40 01 44.3|14.01| 0.80| 4| 0|  -1.11| 6.42| 27.79| 3| 0|BLN|       |     |   | |  0|VC|Simbad
 21050|19 39 17.20|+40 21 08.4|13.82| 1.28| 3| 0| -10.32| 0.14|  0.49| 0|44|SN |       |     |   | |  0|VC|Simbad
 21051|19 39 34.36|+39 55 54.7|13.45| 0.64|24| 0|   8.43| 7.00| 83.92| 2|  |BN |   6.19| 0.14|SB2| |  0|VC|Simbad
 21052|19 42 45.97|+39 52 23.3|13.67| 0.66| 5| 0|   5.67| 0.36|  1.79|11|30|SN |       |     |   | |  0|VC|Simbad
 21054|19 41 43.14|+39 45 33.9|14.24| 0.69| 2| 0| -26.42| 0.02|  0.04|  |  |   |       |     |   | |  0|VC|Simbad
 21058|19 39 32.84|+40 32 22.2|13.02| 0.95| 9| 0| -22.15| 0.14|  0.96| 0|  |SN |       |     |   | |  0|VC|Simbad
 21059|19 40 41.66|+39 43 14.3|13.54| 0.69| 4| 0| -53.02| 0.21|  0.90| 0|  |SN |       |     |   | |  0|VC|Simbad
 22002|19 41 20.94|+40 11 32.9|14.88| 0.74| 4| 0|   3.23| 0.33|  1.45|92|99|SM |       |     |   | |  1|VC|Simbad
 22003|19 41 12.06|+40 11 00.4|15.16| 0.75|62| 0|   7.34| 6.74|131.54|93| 0|BN |   1.99| 0.39|SB2| |  1|VC|Simbad
 22004|19 41 10.54|+40 12 51.2|15.16| 1.11| 3| 0|   3.60| 0.86|  3.05|90|77|SM |       |     |   | |  0|VC|Simbad
 22005|19 41 06.68|+40 10 27.1|15.16| 0.71| 4| 0|   3.50| 0.25|  1.07|91| 0|SN |       |     |   | |  1|VC|Simbad
 22006|19 41 25.66|+40 09 35.7|15.07| 0.75|16| 0|   4.26| 0.96|  9.30|94|94|BM |   2.54| 0.23|SB1|O|  1|VC|Simbad
 22007|19 41 17.83|+40 15 11.6|14.99| 0.81| 4| 0|   3.16| 0.08|  0.33|93|99|SM |       |     |   | |  1|VC|Simbad
