#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-21T18:41:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5dadfbb914a6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=35	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/133/1409&tab:{J/AJ/133/1409/table4}&key:source=J/AJ/133/1409&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/133/1409/table4
#-order=I
#-out=FTS
#-out=WEBDA
#-out=RAJ2000
#-out=DEJ2000
#-out=f_u'mag
#-out=u'mag
#-out=e_u'mag
#-out=f_g'mag
#-out=g'mag
#-out=e_g'mag
#-out.all=2
#-out=f_r'mag
#-out=r'mag
#-out=e_r'mag
#-out=f_i'mag
#-out=i'mag
#-out=e_i'mag
#-out=f_z'mag
#-out=z'mag
#-out=e_z'mag
#-out=Mm
#-out=Comm
#-out=PKM
#PKM=PKM
#-out.all=2
#

#RESOURCE=yCat_51331409
#Name: J/AJ/133/1409
#Title: u'g'r'i'z' photometry in NGC 188 (Fornal+, 2007)
#Table	J_AJ_133_1409_table4:
#Name: J/AJ/133/1409/table4
#Title: Available Data from the USNO 1.0m Telescope for NGC 188
#Column	FTS	(I3)	Star identification number, Cl* NGC 188 FTS NNN in Simbad (1)	[ucd=meta.id;meta.main]
#Column	WEBDA	(I4)	? The webda identification number (2) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	f_u'mag	(I1)	[0,1] Flag on u'mag (4)	[ucd=meta.code]
#Column	u'mag	(F6.3)	? The u' band magnitude (3)	[ucd=phot.mag;em.opt.U]
#Column	e_u'mag	(F6.3)	? Error (photon noise) in u'mag	[ucd=stat.error;phot.mag]
#Column	f_g'mag	(I1)	[0,1] Flag on g'mag (4)	[ucd=meta.code]
#Column	g'mag	(F6.3)	? The g' band magnitude (3)	[ucd=phot.mag;em.opt.B]
#Column	e_g'mag	(F6.3)	? Error (photon noise) in g'mag	[ucd=stat.error;phot.mag;em.opt.B]
#Column	f_r'mag	(I1)	[0,1] Flag on r'mag (4)	[ucd=meta.code]
#Column	r'mag	(F6.3)	? The r' band magnitude (3)	[ucd=phot.mag;em.opt.R]
#Column	e_r'mag	(F6.3)	? Error (photon noise) in r'mag	[ucd=stat.error;phot.mag;em.opt.R]
#Column	f_i'mag	(I1)	[0,1] Flag on i'mag (4)	[ucd=meta.code]
#Column	i'mag	(F6.3)	? The i' band magnitude (3)	[ucd=phot.mag;em.opt.I]
#Column	e_i'mag	(F6.3)	? Error (photon noise) in i'mag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	f_z'mag	(I1)	[0,1] Flag on z'mag (4)	[ucd=meta.code]
#Column	z'mag	(F6.3)	? The z' band magnitude (3)	[ucd=phot.mag;em.opt.I]
#Column	e_z'mag	(F6.3)	? Error (photon noise) in z'mag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	Mm	(I2)	Membership probability from Platais et al. (2003, Cat. J/AJ/126/2922)	[ucd=stat]
#Column	Comm	(A3)	Comments (5)	[ucd=meta.note]
#Column	PKM	(A3)	Data from Platais et al. 2003, Cat. J/AJ/126/2922	[ucd=meta.ref.url]
FTS|WEBDA|RAJ2000|DEJ2000|f_u'mag|u'mag|e_u'mag|f_g'mag|g'mag|e_g'mag|f_r'mag|r'mag|e_r'mag|f_i'mag|i'mag|e_i'mag|f_z'mag|z'mag|e_z'mag|Mm|Comm|PKM
120|4665|00 49 37.00|+85 16 38|0|16.514| 0.004|0|15.260| 0.004|0|14.855| 0.003|0|14.730| 0.005|0|14.636| 0.015|98|   |PKM
121|1043|00 46 23.06|+85 17 13|0|16.539| 0.004|0|15.266| 0.004|0|14.867| 0.003|0|14.748| 0.005|0|14.688| 0.015|98|   |PKM
122|2107|00 49 00.56|+85 16 24|0|16.777| 0.005|0|15.360| 0.004|0|14.873| 0.003|0|14.707| 0.005|0|14.655| 0.015|98|   |PKM
123|    |00 45 17.78|+85 09 47|0|16.789| 0.005|0|15.386| 0.004|0|14.889| 0.003|0|14.725| 0.005|0|14.627| 0.015|98|   |PKM
124|4584|00 47 50.60|+85 15 43|0|16.812| 0.005|0|15.386| 0.004|0|14.894| 0.003|0|14.748| 0.005|0|14.664| 0.015| 0|   |PKM
125|    |00 44 27.48|+85 14 10|0|16.842| 0.005|0|15.399| 0.004|0|14.896| 0.003|0|14.722| 0.005|0|14.718| 0.015|98|   |PKM
126|1045|00 46 03.31|+85 16 56|0|16.756| 0.005|0|15.374| 0.004|0|14.898| 0.003|0|14.739| 0.005|0|14.730| 0.015|97|   |PKM
127|    |00 47 12.23|+85 15 53|1|      |      |0|15.407| 0.004|0|14.898| 0.003|0|14.772| 0.005|1|      |      |94|b  |PKM
128|    |00 46 01.26|+85 18 17|0|16.760| 0.005|0|15.375| 0.004|0|14.902| 0.003|0|14.716| 0.005|0|14.666| 0.015|98|   |PKM
129|    |00 44 59.40|+85 11 50|0|16.709| 0.005|0|15.370| 0.004|0|14.905| 0.003|0|14.738| 0.005|0|14.739| 0.015|97|   |PKM
130|    |00 44 45.13|+85 13 29|0|16.736| 0.005|0|15.385| 0.004|0|14.916| 0.003|0|14.768| 0.005|0|14.725| 0.015|98|   |PKM
131|    |00 51 18.56|+85 17 44|0|17.379| 0.008|0|15.608| 0.004|0|14.925| 0.003|0|14.645| 0.005|0|14.497| 0.015| 0|   |PKM
132|1027|00 47 36.77|+85 16 34|0|17.294| 0.007|0|15.510| 0.004|0|14.930| 0.003|0|14.753| 0.005|0|14.681| 0.015|96|   |PKM
133|1017|00 47 17.89|+85 15 12|0|16.809| 0.005|0|15.414| 0.004|0|14.949| 0.003|0|14.820| 0.005|0|14.754| 0.015|97|   |PKM
134|    |00 52 15.68|+85 14 44|0|16.812| 0.005|0|15.447| 0.004|0|14.950| 0.003|0|14.768| 0.005|0|14.653| 0.015| 0|   |PKM
135|    |00 45 04.30|+85 13 59|0|17.157| 0.007|0|15.561| 0.004|0|14.953| 0.003|0|14.745| 0.005|0|14.654| 0.015|85|   |PKM
136|    |00 51 16.06|+85 09 47|0|17.685| 0.010|0|15.705| 0.004|0|14.954| 0.003|0|14.689| 0.005|0|14.629| 0.015| 0|   |PKM
137|1101|00 47 19.59|+85 13 19|0|16.785| 0.005|0|15.427| 0.004|0|14.960| 0.003|0|14.800| 0.005|0|14.742| 0.015|98|   |PKM
138|1029|00 48 17.78|+85 16 41|0|17.000| 0.006|0|15.494| 0.004|0|14.964| 0.003|0|14.796| 0.005|0|14.785| 0.015|64|   |PKM
139|    |00 46 33.69|+85 10 04|0|17.033| 0.006|0|15.543| 0.004|0|14.970| 0.003|0|14.748| 0.005|0|14.689| 0.015| 0|   |PKM
140|4691|00 47 16.43|+85 15 35|0|17.187| 0.007|0|15.581| 0.004|0|14.988| 0.003|0|14.830| 0.005|0|14.691| 0.015|71|   |PKM
141|    |00 44 44.60|+85 18 53|0|16.796| 0.005|0|15.450| 0.004|0|14.990| 0.003|0|14.837| 0.005|0|14.755| 0.015|98|   |PKM
142|2108|00 49 05.45|+85 16 14|0|16.802| 0.005|0|15.451| 0.004|0|14.991| 0.003|0|14.851| 0.005|0|14.774| 0.015|98|   |PKM
143|    |00 49 46.33|+85 10 52|0|16.858| 0.005|0|15.484| 0.004|0|14.996| 0.003|0|14.818| 0.005|0|14.786| 0.015| 0|   |PKM
144|    |00 51 09.71|+85 16 32|0|16.931| 0.006|0|15.504| 0.004|0|14.999| 0.003|0|14.830| 0.005|0|14.805| 0.015| 0|   |PKM
145|1108|00 46 36.55|+85 13 03|0|16.980| 0.006|0|15.502| 0.004|0|15.004| 0.003|0|14.845| 0.005|0|14.802| 0.015|98|   |PKM
146|1103|00 47 03.62|+85 13 36|0|16.844| 0.005|0|15.481| 0.004|0|15.019| 0.003|0|14.860| 0.005|0|14.758| 0.015|96|   |PKM
147|1100|00 47 24.08|+85 12 16|0|17.002| 0.006|0|15.555| 0.004|0|15.050| 0.003|0|14.892| 0.005|0|14.836| 0.015|97|   |PKM
148|1111|00 46 48.95|+85 12 44|0|16.909| 0.006|0|15.530| 0.004|0|15.053| 0.003|0|14.919| 0.005|0|14.976| 0.015|98|   |PKM
149|1060|00 45 53.62|+85 14 31|0|16.863| 0.005|0|15.523| 0.004|0|15.074| 0.003|0|14.927| 0.005|0|14.823| 0.015|97|   |PKM
150|1037|00 46 38.51|+85 16 20|0|17.038| 0.006|0|15.588| 0.004|0|15.084| 0.003|0|14.920| 0.005|0|14.867| 0.015|98|   |PKM
151|1335|00 46 12.39|+85 14 01|0|17.194| 0.007|0|15.650| 0.004|0|15.085| 0.003|0|14.943| 0.005|0|14.912| 0.015| 0|   |PKM
152|    |00 45 17.37|+85 12 21|0|16.921| 0.006|0|15.550| 0.004|0|15.089| 0.003|0|14.910| 0.005|0|14.877| 0.015|98|   |PKM
153|    |00 51 59.48|+85 15 51|0|16.923| 0.006|0|15.555| 0.004|0|15.091| 0.003|0|14.924| 0.005|0|14.844| 0.015|94|   |PKM
154|2137|00 50 31.30|+85 13 33|0|16.860| 0.005|0|15.545| 0.004|0|15.097| 0.003|0|14.958| 0.005|0|14.909| 0.015|98|   |PKM
155|    |00 46 14.73|+85 19 40|1|      |      |0|15.832| 0.004|0|15.101| 0.003|0|14.797| 0.005|0|14.370| 0.014|96|   |PKM
156|    |00 45 31.12|+85 17 17|0|16.924| 0.006|0|15.571| 0.004|0|15.108| 0.003|0|14.941| 0.005|0|14.925| 0.015|98|   |PKM
157|    |00 44 19.64|+85 12 14|0|16.582| 0.004|0|15.457| 0.004|0|15.110| 0.003|0|14.985| 0.005|0|14.877| 0.015| 0|   |PKM
158|1041|00 46 44.64|+85 16 56|0|17.030| 0.006|0|15.623| 0.004|0|15.117| 0.003|0|14.952| 0.005|0|14.903| 0.015|98|   |PKM
159|    |00 45 01.80|+85 09 01|0|16.970| 0.006|0|15.592| 0.004|0|15.126| 0.003|0|14.957| 0.005|0|14.831| 0.015|97|   |PKM
160|1040|00 46 43.15|+85 16 05|0|17.030| 0.006|0|15.610| 0.004|0|15.131| 0.004|0|14.970| 0.005|0|14.923| 0.015|97|   |PKM
161|    |00 44 43.22|+85 11 36|0|16.982| 0.006|0|15.608| 0.004|0|15.132| 0.004|0|14.970| 0.005|0|14.867| 0.015|98|   |PKM
162|    |00 45 54.99|+85 10 01|0|16.645| 0.005|0|15.571| 0.004|0|15.150| 0.004|0|14.983| 0.005|0|14.933| 0.015| 0|   |PKM
163|    |00 43 55.79|+85 18 06|0|17.065| 0.006|0|15.644| 0.004|0|15.156| 0.004|0|15.004| 0.005|0|14.893| 0.015|96|   |PKM
164|    |00 52 07.10|+85 11 55|0|16.968| 0.006|0|15.624| 0.004|0|15.159| 0.004|0|14.980| 0.005|0|14.858| 0.015|96|   |PKM
165|    |00 49 57.46|+85 10 23|0|16.988| 0.006|0|15.620| 0.004|0|15.160| 0.004|0|15.010| 0.005|0|14.939| 0.015|98|   |PKM
166|1038|00 46 28.86|+85 16 13|0|17.126| 0.007|0|15.672| 0.004|0|15.161| 0.004|0|15.007| 0.005|0|14.883| 0.015|98|   |PKM
167|1014|00 47 43.97|+85 15 31|0|17.063| 0.006|0|15.646| 0.004|0|15.165| 0.004|0|15.017| 0.005|0|15.020| 0.015|95|   |PKM
168|    |00 46 55.26|+85 10 14|0|17.059| 0.006|0|15.678| 0.004|0|15.166| 0.004|0|14.986| 0.005|0|14.938| 0.015|98|   |PKM
169|    |00 44 23.08|+85 17 20|0|16.965| 0.006|0|15.627| 0.004|0|15.168| 0.004|0|15.001| 0.005|0|14.813| 0.015|95|   |PKM
170|    |00 44 57.97|+85 16 40|0|17.094| 0.006|0|15.700| 0.004|0|15.227| 0.004|0|15.072| 0.005|0|15.106| 0.016|98|   |PKM
171|    |00 51 11.99|+85 11 09|0|17.096| 0.006|0|15.709| 0.004|0|15.229| 0.004|0|15.047| 0.005|0|15.033| 0.015|97|   |PKM
172|1025|00 47 34.48|+85 15 50|0|17.072| 0.006|0|15.691| 0.004|0|15.242| 0.004|0|15.113| 0.005|0|15.114| 0.016|98|   |PKM
173|    |00 51 40.31|+85 09 56|0|17.683| 0.010|0|16.007| 0.004|0|15.243| 0.004|0|14.692| 0.005|0|14.352| 0.014| 0|a  |PKM
174|2127|00 50 10.95|+85 14 38|0|16.835| 0.005|0|15.625| 0.004|0|15.253| 0.004|0|15.138| 0.005|0|15.114| 0.016|98|   |PKM
175|2132|00 50 37.27|+85 13 57|0|16.962| 0.006|0|15.678| 0.004|0|15.257| 0.004|0|15.121| 0.005|0|15.171| 0.016|96|   |PKM
176|    |00 48 42.72|+85 11 36|0|17.187| 0.007|0|15.785| 0.004|0|15.276| 0.004|0|15.091| 0.005|0|14.931| 0.015| 0|   |PKM
177|    |00 45 12.48|+85 14 13|0|17.084| 0.006|0|15.737| 0.004|0|15.284| 0.004|0|15.133| 0.005|0|15.085| 0.016|98|   |PKM
178|1009|00 48 23.50|+85 15 15|0|17.541| 0.009|0|15.880| 0.004|0|15.285| 0.004|0|15.090| 0.005|0|15.048| 0.015| 0|   |PKM
179|    |00 43 57.22|+85 14 17|0|17.160| 0.007|0|15.755| 0.004|0|15.286| 0.004|0|15.087| 0.005|0|15.049| 0.015|97|   |PKM
180|    |00 45 32.10|+85 14 15|0|17.428| 0.008|0|15.898| 0.004|0|15.287| 0.004|0|15.179| 0.005|0|15.173| 0.016|60|   |PKM
181|    |00 44 26.82|+85 09 20|0|17.113| 0.007|0|15.759| 0.004|0|15.293| 0.004|0|15.076| 0.005|0|14.837| 0.015|98|   |PKM
182|    |00 46 14.21|+85 10 55|0|17.277| 0.007|0|15.816| 0.004|0|15.300| 0.004|0|15.118| 0.005|0|15.061| 0.015|98|   |PKM
183|1104|00 47 00.62|+85 13 50|0|17.134| 0.007|0|15.778| 0.004|0|15.304| 0.004|0|15.136| 0.005|0|15.077| 0.016|98|   |PKM
184|    |00 52 02.52|+85 14 05|0|17.254| 0.007|0|15.810| 0.004|0|15.319| 0.004|0|15.143| 0.005|0|15.147| 0.016|97|   |PKM
185|1092|00 47 51.53|+85 13 42|0|17.195| 0.007|0|15.813| 0.004|0|15.335| 0.004|0|15.137| 0.005|0|15.102| 0.016|98|   |PKM
186|    |00 44 01.84|+85 14 22|0|17.234| 0.007|0|15.881| 0.004|0|15.356| 0.004|0|15.206| 0.005|0|15.167| 0.016|98|   |PKM
187|2097|00 48 44.64|+85 17 42|0|17.176| 0.007|0|15.820| 0.004|0|15.357| 0.004|0|15.211| 0.005|0|15.170| 0.016|98|   |PKM
188|1080|00 47 11.03|+85 14 58|0|17.219| 0.007|0|15.832| 0.004|0|15.363| 0.004|0|15.230| 0.005|0|15.203| 0.016|95|   |PKM
189|    |00 52 49.46|+85 13 27|0|17.225| 0.007|0|15.845| 0.004|0|15.364| 0.004|0|15.184| 0.005|0|14.987| 0.020|98|   |PKM
190|    |00 48 57.34|+85 10 04|0|17.183| 0.007|0|15.829| 0.004|0|15.367| 0.004|0|15.207| 0.005|0|15.236| 0.016|98|   |PKM
191|    |00 46 08.59|+85 13 16|0|19.342| 0.042|0|16.664| 0.006|0|15.384| 0.004|0|14.751| 0.005|0|14.412| 0.014| 0|   |PKM
192|    |00 47 28.12|+85 19 40|0|17.225| 0.007|0|15.859| 0.004|0|15.387| 0.004|0|15.193| 0.005|0|14.955| 0.015|98|   |PKM
193|1013|00 47 44.60|+85 15 37|0|17.280| 0.007|0|15.878| 0.004|0|15.388| 0.004|0|15.205| 0.005|0|15.136| 0.016|97|   |PKM
194|2106|00 49 40.53|+85 16 18|0|17.182| 0.007|0|15.847| 0.004|0|15.391| 0.004|0|15.261| 0.006|0|15.197| 0.016|98|   |PKM
195|    |00 51 33.37|+85 09 26|0|17.257| 0.007|0|15.883| 0.004|0|15.420| 0.004|0|15.241| 0.005|0|15.099| 0.016|97|   |PKM
196|    |00 44 55.35|+85 12 20|0|17.259| 0.007|0|15.903| 0.004|0|15.430| 0.004|0|15.258| 0.006|0|15.259| 0.016|97|   |PKM
197|    |00 50 41.31|+85 19 26|0|17.282| 0.007|0|15.919| 0.004|0|15.460| 0.004|0|15.305| 0.006|0|15.318| 0.016|90|   |PKM
198|2145|00 49 53.46|+85 13 03|0|17.314| 0.008|0|15.938| 0.004|0|15.465| 0.004|0|15.311| 0.006|0|15.254| 0.016|98|   |PKM
199|    |00 47 26.09|+85 09 42|0|17.303| 0.008|0|15.937| 0.004|0|15.473| 0.004|0|15.322| 0.006|0|15.252| 0.016|98|   |PKM
200|    |00 48 47.22|+85 10 48|0|17.553| 0.009|0|16.003| 0.004|0|15.482| 0.004|0|15.300| 0.006|0|15.286| 0.016| 0|   |PKM
201|    |00 52 03.34|+85 11 47|0|17.332| 0.008|0|15.956| 0.004|0|15.484| 0.004|0|15.325| 0.006|0|15.228| 0.016|97|   |PKM
202|2157|00 49 44.79|+85 12 03|0|17.323| 0.008|0|15.959| 0.004|0|15.484| 0.004|0|15.319| 0.006|0|15.344| 0.016|98|   |PKM
203|    |00 48 44.96|+85 10 14|0|18.309| 0.017|0|16.281| 0.005|0|15.489| 0.004|1|      |      |0|15.013| 0.015| 0|b  |PKM
204|    |00 49 44.15|+85 09 56|0|17.643| 0.010|0|16.082| 0.004|0|15.508| 0.004|0|15.319| 0.006|0|15.222| 0.016| 0|   |PKM
205|    |00 44 01.76|+85 09 06|0|17.542| 0.009|0|16.048| 0.004|0|15.509| 0.004|0|15.286| 0.006|0|15.128| 0.016|98|   |PKM
206|    |00 45 21.85|+85 12 26|0|17.332| 0.008|0|16.036| 0.004|0|15.512| 0.004|0|15.331| 0.006|0|15.152| 0.016|98|   |PKM
207|6826|00 50 27.70|+85 15 08|0|17.650| 0.010|0|16.132| 0.005|0|15.514| 0.004|0|15.177| 0.005|0|15.153| 0.016| 0|   |PKM
208|    |00 44 40.80|+85 13 08|0|17.031| 0.006|0|15.907| 0.004|0|15.531| 0.004|0|15.399| 0.006|0|15.307| 0.016|80|   |PKM
209|    |00 47 16.66|+85 10 27|0|17.440| 0.008|0|16.026| 0.004|0|15.534| 0.004|0|15.345| 0.006|0|15.264| 0.016|95|   |PKM
210|1074|00 46 23.11|+85 14 14|0|17.471| 0.009|0|16.062| 0.004|0|15.534| 0.004|0|15.280| 0.006|0|15.114| 0.016|93|   |PKM
211|1049|00 46 19.50|+85 15 23|0|17.403| 0.008|0|16.009| 0.004|0|15.539| 0.004|0|15.353| 0.006|0|15.391| 0.017|97|   |PKM
212|    |00 44 12.90|+85 16 27|0|17.485| 0.009|0|16.053| 0.004|0|15.541| 0.004|0|15.348| 0.006|0|15.307| 0.016|98|   |PKM
213|2083|00 46 52.82|+85 17 43|0|17.400| 0.008|0|16.025| 0.004|0|15.542| 0.004|0|15.393| 0.006|0|15.307| 0.016|97|   |PKM
214|    |00 44 16.78|+85 17 19|0|17.352| 0.008|0|16.006| 0.004|0|15.546| 0.004|0|15.346| 0.006|0|15.199| 0.016|98|   |PKM
215|    |00 46 35.10|+85 19 32|0|17.395| 0.008|0|16.023| 0.004|0|15.554| 0.004|0|15.403| 0.006|0|15.318| 0.016|98|   |PKM
216|2184|00 48 16.77|+85 11 39|0|17.500| 0.009|0|16.076| 0.004|0|15.563| 0.004|0|15.334| 0.006|0|15.221| 0.016|98|   |PKM
217|    |00 44 52.12|+85 15 54|0|17.573| 0.009|0|16.128| 0.005|0|15.569| 0.004|0|15.355| 0.006|0|15.267| 0.016|98|   |PKM
218|    |00 49 03.06|+85 10 16|0|17.417| 0.008|0|16.051| 0.004|0|15.575| 0.004|0|15.384| 0.006|0|15.353| 0.017|95|   |PKM
219|4732|00 48 37.45|+85 14 29|0|18.022| 0.013|0|16.222| 0.005|0|15.580| 0.004|0|15.355| 0.006|0|15.293| 0.016| 0|   |PKM
220|    |00 50 50.12|+85 16 11|0|17.840| 0.012|0|16.234| 0.005|0|15.586| 0.004|0|15.188| 0.005|0|14.982| 0.015|96|   |PKM
221|1090|00 48 11.47|+85 13 51|0|17.708| 0.010|0|16.141| 0.005|0|15.586| 0.004|0|15.400| 0.006|0|15.418| 0.017|95|   |PKM
222|    |00 43 58.18|+85 14 54|0|17.583| 0.009|0|16.134| 0.005|0|15.597| 0.004|0|15.404| 0.006|0|15.346| 0.016|97|   |PKM
223|    |00 46 01.55|+85 19 36|0|17.514| 0.009|0|16.096| 0.005|0|15.607| 0.004|0|15.363| 0.006|0|14.970| 0.015|98|   |PKM
224|    |00 50 25.15|+85 11 02|0|17.352| 0.008|0|16.048| 0.004|0|15.608| 0.004|0|15.460| 0.006|0|15.350| 0.016|98|   |PKM
225|    |00 51 21.60|+85 12 05|0|17.540| 0.009|0|16.133| 0.005|0|15.612| 0.004|0|15.399| 0.006|0|15.243| 0.016| 0|   |PKM
226|    |00 48 40.94|+85 10 14|1|      |      |0|16.463| 0.009|0|15.629| 0.007|0|15.323| 0.008|0|15.174| 0.022| 0|   |PKM
227|1136|00 46 51.76|+85 14 28|1|      |      |0|16.386| 0.005|0|15.639| 0.004|0|15.397| 0.006|0|15.181| 0.016|79|   |PKM
228|    |00 44 12.79|+85 11 35|0|18.123| 0.015|0|16.421| 0.005|0|15.650| 0.004|0|15.315| 0.006|0|15.087| 0.016| 0|   |PKM
229|    |00 43 56.95|+85 11 18|0|17.665| 0.010|0|16.177| 0.005|0|15.655| 0.004|0|15.456| 0.006|0|15.431| 0.017|98|   |PKM
230|1021|00 46 50.24|+85 15 41|0|17.529| 0.009|0|16.124| 0.005|0|15.663| 0.004|0|15.500| 0.006|0|15.610| 0.018|97|   |PKM
231|1034|00 47 00.66|+85 16 41|0|17.607| 0.010|0|16.154| 0.005|0|15.666| 0.004|0|15.480| 0.006|0|15.468| 0.017|90|   |PKM
232|2156|00 49 23.01|+85 12 08|0|17.557| 0.009|0|16.160| 0.005|0|15.668| 0.004|0|15.521| 0.006|0|15.352| 0.016|97|   |PKM
233|    |00 48 31.29|+85 09 40|0|17.590| 0.009|0|16.145| 0.005|0|15.674| 0.004|0|15.479| 0.006|0|15.507| 0.017|98|   |PKM
234|    |00 47 43.84|+85 11 28|0|17.925| 0.012|0|16.269| 0.005|0|15.679| 0.004|0|15.472| 0.006|0|15.317| 0.016|98|   |PKM
235|2125|00 49 58.56|+85 14 45|0|17.586| 0.009|0|16.169| 0.005|0|15.684| 0.004|0|15.509| 0.006|0|15.353| 0.017|98|   |PKM
236|    |00 48 40.75|+85 10 14|1|      |      |0|16.536| 0.005|0|15.687| 0.004|0|15.308| 0.006|0|15.148| 0.016| 0|   |PKM
237|    |00 51 28.06|+85 12 44|0|17.690| 0.010|0|16.211| 0.005|0|15.690| 0.004|0|15.397| 0.006|0|15.299| 0.016|98|   |PKM
238|    |00 43 56.46|+85 13 33|1|      |      |1|      |      |0|15.691| 0.004|0|15.471| 0.006|1|      |      |88|b  |PKM
239|1079|00 46 54.41|+85 14 58|0|17.564| 0.009|0|16.166| 0.005|0|15.693| 0.004|0|15.556| 0.006|0|15.540| 0.017|96|   |PKM
240|1028|00 47 51.84|+85 16 25|0|17.700| 0.010|0|16.235| 0.005|0|15.698| 0.004|0|15.505| 0.006|0|15.509| 0.017|98|   |PKM
241|2124|00 49 45.60|+85 14 56|0|17.988| 0.013|0|16.298| 0.005|0|15.707| 0.004|0|15.528| 0.006|0|15.538| 0.017|94|   |PKM
242|    |00 43 58.03|+85 11 29|0|17.658| 0.010|0|16.220| 0.005|0|15.720| 0.004|0|15.552| 0.006|0|15.388| 0.017|98|   |PKM
243|2115|00 50 46.33|+85 16 33|0|17.690| 0.010|0|16.226| 0.005|0|15.722| 0.004|0|15.569| 0.006|0|15.413| 0.017|98|   |PKM
244|1011|00 48 22.50|+85 15 54|0|18.345| 0.018|0|16.481| 0.005|0|15.724| 0.004|0|15.405| 0.006|0|15.252| 0.016|95|   |PKM
245|    |00 50 49.98|+85 16 11|0|18.325| 0.033|0|16.432| 0.009|0|15.728| 0.007|0|15.418| 0.009|0|15.145| 0.021|96|   |PKM
246|    |00 45 32.76|+85 14 07|1|      |      |0|16.237| 0.005|0|15.732| 0.004|0|15.755| 0.007|1|      |      |92|a,b|PKM
247|2139|00 50 45.27|+85 13 18|0|17.671| 0.010|0|16.279| 0.005|0|15.747| 0.004|0|15.482| 0.006|0|15.438| 0.017|97|   |PKM
248|1081|00 47 06.27|+85 14 31|0|17.771| 0.011|0|16.305| 0.005|0|15.754| 0.004|0|15.577| 0.006|0|15.597| 0.018|98|   |PKM
249|1016|00 47 30.45|+85 15 15|0|18.054| 0.014|0|16.370| 0.005|0|15.761| 0.004|0|15.546| 0.006|0|15.399| 0.017|90|   |PKM
250|1113|00 46 43.60|+85 12 06|0|17.939| 0.013|0|16.360| 0.005|0|15.794| 0.005|0|15.596| 0.006|0|15.695| 0.018|98|   |PKM
251|    |00 52 46.18|+85 12 14|0|17.813| 0.011|0|16.351| 0.005|0|15.795| 0.005|0|15.612| 0.006|0|15.539| 0.017|98|   |PKM
252|2155|00 49 19.36|+85 12 00|0|17.740| 0.011|0|16.298| 0.005|0|15.799| 0.005|0|15.602| 0.006|0|15.564| 0.018|97|   |PKM
253|    |00 52 53.74|+85 17 00|0|17.817| 0.011|0|16.357| 0.005|0|15.799| 0.005|0|15.596| 0.006|0|15.551| 0.017|95|   |PKM
254|    |00 46 25.75|+85 11 08|0|17.320| 0.008|0|16.193| 0.005|0|15.811| 0.005|0|15.640| 0.006|0|15.512| 0.017|87|   |PKM
255|2098|00 48 22.07|+85 17 52|0|17.735| 0.011|0|16.315| 0.005|0|15.813| 0.005|0|15.652| 0.006|0|15.534| 0.017|91|   |PKM
256|1158|00 47 36.89|+85 13 42|1|      |      |1|      |      |0|15.814| 0.005|0|15.700| 0.007|1|      |      |88|b  |PKM
257|2104|00 49 23.50|+85 17 15|0|18.015| 0.013|0|16.365| 0.005|0|15.824| 0.005|0|15.622| 0.006|0|15.665| 0.018| 0|   |PKM
258|    |00 46 57.21|+85 11 17|0|17.901| 0.012|0|16.400| 0.005|0|15.834| 0.005|0|15.616| 0.006|0|15.532| 0.017| 0|   |PKM
259|    |00 51 41.87|+85 12 33|0|18.062| 0.014|0|16.469| 0.005|0|15.843| 0.005|0|15.457| 0.006|0|15.127| 0.016| 5|   |PKM
260|    |00 49 10.08|+85 09 09|0|17.811| 0.011|0|16.352| 0.005|0|15.852| 0.005|0|15.671| 0.006|0|15.687| 0.018|90|   |PKM
261|    |00 51 04.59|+85 15 05|0|17.748| 0.011|0|16.341| 0.005|0|15.855| 0.005|0|15.640| 0.006|0|15.689| 0.018| 0|   |PKM
262|    |00 51 07.19|+85 17 13|1|      |      |0|17.198| 0.008|0|15.881| 0.005|0|14.849| 0.005|0|14.405| 0.014| 0|a  |PKM
263|    |00 52 01.91|+85 17 38|0|17.818| 0.011|0|16.384| 0.005|0|15.888| 0.005|0|15.733| 0.007|0|15.746| 0.019|90|   |PKM
264|2146|00 49 53.81|+85 12 50|0|17.657| 0.010|0|16.368| 0.005|0|15.891| 0.005|0|15.709| 0.007|0|15.697| 0.018|56|   |PKM
265|    |00 47 02.55|+85 13 44|1|      |      |1|      |      |0|15.895| 0.005|0|15.681| 0.007|1|      |      |49|b  |PKM
