#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-07T20:11:45 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d9b9ae08e03	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/138/159&tab:{J/AJ/138/159/table1}&key:source=J/AJ/138/159/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/138/159/table1
#-order=I
#-out=WOCS
#-out=Vmag
#-out=B-V
#-out=V-R
#-out=V-I
#-out=Vmag1
#-out=B-V1
#-out=Vmag2
#-out=B-V2
#-out=Vmag3
#-out=B-V3
#-out=Jmag
#-out=J-Ks
#-out=A74
#-out=S72
#-out=_RA
#-out=_DE
#-out.all=2
#

#RESOURCE=yCat_51380159
#Name: J/AJ/138/159
#Title: NGC 6819 stellar radial-velocity and photometry (Hole+, 2009)
#Table	J_AJ_138_159_table1:
#Name: J/AJ/138/159/table1
#Title: The NGC 6819 WOCS photometry database
#Column	WOCS	(A6)	[1001/115030] WIYN Open Cluster Study identification (G1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F6.3)	? Phot98 project V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Phot98 project (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-R	(F6.3)	? Phot98 project (V-R) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-I	(F6.3)	? Phot98 project (V-I) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	Vmag1	(F6.3)	? Phot03 project V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V1	(F6.3)	? Phot03 project (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Vmag2	(F6.3)	? Rosvick & Vandenberg (1998AJ....115.1516R) V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V2	(F6.3)	? Rosvick & Vandenberg (1998AJ....115.1516R) (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Vmag3	(F6.3)	? Kalirai et al. (2001AJ....122..266K) V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V3	(F6.3)	? Kalirai et al. (2001AJ....122..266K) (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Jmag	(F6.3)	? 2MASS J band magnitude	[ucd=phot.mag;em.IR.J]
#Column	J-Ks	(F6.3)	? 2MASS (J-Ks) color index	[ucd=phot.color;em.IR.J;em.IR.K]
#Column	A74	(I4)	? Auner (1974A&AS...13..143A) identification, <NGC 6819 NNN> in Simbad [NULL integer written as an empty string]	[ucd=meta.id]
#Column	S72	(I3)	? Sanders (1972A&A....19..155S) identification, <[S72b] NGC 6819 NNN> in Simbad [NULL integer written as an empty string]	[ucd=meta.id]
#Column	_RA	(F9.5)	Position for stars having a radial velocity (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position for stars having a radial velocity (declination part)	[ucd=pos.eq.dec;meta.main]
WOCS|Vmag|B-V|V-R|V-I|Vmag1|B-V1|Vmag2|B-V2|Vmag3|B-V3|Jmag|J-Ks|A74|S72|_RA|_DE
069005|16.350| 0.730| 0.429| 0.826|16.370| 0.715|16.356| 0.737|16.378| 0.728|14.988| 0.297| 228|   |295.29096|+40.22186
072005|16.431| 0.670| 0.359| 0.782|16.446| 0.658|16.463| 0.653|16.466| 0.672|15.087| 0.318| 184|   |295.31121|+40.23642
001006|      |      |      |      |12.842| 1.109|12.833| 1.109|      |      |10.843| 0.637| 740|111|295.32400|+40.15442
002006|13.099| 1.210| 0.591| 1.213|13.122| 1.187|13.106| 1.208|      |      |10.973| 0.668| 985|150|295.37146|+40.21781
003006|13.329| 0.664| 0.359| 0.741|13.353| 0.670|13.356| 0.677|      |      |12.085| 0.387| 994|   |295.33046|+40.24217
004006|13.509| 0.572| 0.273| 0.613|13.535| 0.535|13.545| 0.533|      |      |12.484| 0.258| 670| 72|295.28712|+40.15919
005006|13.821| 0.473| 0.230| 0.530|13.847| 0.463|13.842| 0.454|      |      |12.848| 0.252| 995|149|295.37079|+40.22097
006006|13.834| 1.179| 0.596| 1.170|13.851| 1.162|13.845| 1.187|      |      |11.782| 0.672| 181|139|295.35758|+40.23094
007006|14.019| 0.329| 0.132| 0.292|14.046| 0.315|14.146| 0.286|      |      |13.382| 0.107| 494| 59|         |
008006|14.182| 1.534| 0.818| 1.593|14.196| 1.489|14.194| 1.511|14.206| 1.501|11.432| 0.945| 671|   |295.29133|+40.15881
009006|14.196| 0.848| 0.448| 0.881|14.213| 0.866|14.194| 0.868|14.232| 0.857|12.710| 0.437| 691|   |295.35562|+40.15483
010006|14.336| 0.391| 0.159| 0.387|14.373| 0.376|14.355| 0.378|14.403| 0.357|13.611| 0.148| 686|123|         |
011006|14.475| 0.735| 0.439| 0.850|14.501| 0.742|14.507| 0.750|14.523| 0.757|13.016| 0.393| 520| 67|295.27742|+40.17211
012006|14.829| 0.666| 0.371| 0.784|14.836| 0.657|14.837| 0.658|14.866| 0.638|13.526| 0.343| 157|   |295.35392|+40.23683
013006|14.848| 0.648| 0.391| 0.775|14.860| 0.660|14.849| 0.667|      |      |13.533| 0.327| 738|   |295.32646|+40.14650
014006|14.868| 0.684| 0.376| 0.805|14.883| 0.668|14.872| 0.679|14.913| 0.672|13.505| 0.361| 263|   |295.38054|+40.21944
015006|14.875| 0.781| 0.420| 0.831|14.885| 0.781|14.882| 0.787|14.914| 0.780|13.442| 0.445| 150|   |295.32342|+40.24161
016006|14.878| 0.671| 0.398| 0.822|14.893| 0.690|14.896| 0.693|14.920| 0.684|13.502| 0.379| 742|   |295.31087|+40.15347
017006|14.848| 0.603| 0.307| 0.669|14.903| 0.557|14.778| 0.588|14.874| 0.576|13.500| 0.290| 669|   |295.27858|+40.16292
018006|14.908| 0.660| 0.349| 0.777|14.933| 0.654|14.920| 0.654|14.960| 0.645|13.637| 0.347| 689|   |295.34629|+40.15192
019006|14.972| 0.648| 0.374| 0.802|14.968| 0.650|14.964| 0.658|15.009| 0.640|13.660| 0.322| 264|   |295.37679|+40.22042
021006|15.043| 0.606| 0.351| 0.714|15.073| 0.598|15.075| 0.604|15.093| 0.617|13.796| 0.299| 223|   |295.26450|+40.21500
022006|15.052| 0.615| 0.321| 0.728|15.083| 0.599|15.033| 0.683|15.093| 0.597|13.616| 0.304| 694|   |295.35692|+40.15992
023006|15.082| 1.014| 0.553| 1.111|15.094| 1.035|15.103| 1.051|15.111| 1.039|13.204| 0.603| 631|   |295.27725|+40.16639
024006|15.122| 0.664| 0.382| 0.789|15.151| 0.667|15.143| 0.671|15.191| 0.660|13.828| 0.324| 737|   |295.32975|+40.14761
026006|15.158| 0.652| 0.388| 0.772|15.185| 0.652|15.171| 0.653|      |      |13.832| 0.324| 739|   |295.32658|+40.15356
028006|15.182| 0.602| 0.321| 0.702|15.226| 0.594|15.231| 0.591|15.247| 0.598|14.015| 0.367| 421|   |295.26796|+40.19186
029006|15.210| 0.615| 0.332| 0.733|15.230| 0.608|15.242| 0.613|15.262| 0.613|13.942| 0.309| 147|   |295.29896|+40.23878
030006|15.231| 0.642| 0.378| 0.766|15.236| 0.658|15.240| 0.656|15.271| 0.636|13.927| 0.366| 158|   |295.35762|+40.23567
031006|15.273| 0.595| 0.341| 0.724|15.258| 0.598|15.249| 0.608|15.294| 0.590|14.005| 0.399| 155|   |295.35029|+40.23706
032006|15.257| 0.614| 0.310| 0.720|15.298| 0.581|15.273| 0.594|15.321| 0.590|14.032| 0.253| 589|   |295.36912|+40.16408
033006|15.320| 0.583| 0.327| 0.689|15.341| 0.583|15.348| 0.572|15.357| 0.586|14.098| 0.373|    |   |295.26204|+40.17892
037006|15.460| 0.629| 0.335| 0.722|15.485| 0.597|15.457| 0.613|15.510| 0.596|14.269| 0.411| 586|   |295.37300|+40.16631
040006|15.505| 0.580| 0.340| 0.710|15.517| 0.595|15.519| 0.586|15.551| 0.584|14.260| 0.406| 148|   |295.30204|+40.24011
042006|15.589| 0.636| 0.358| 0.773|15.599| 0.637|15.613| 0.648|      |      |14.333| 0.404| 224|   |295.27375|+40.22153
045006|15.622| 0.562| 0.327| 0.733|15.637| 0.561|      |      |15.666| 0.550|14.117| 0.610|    |   |295.25862|+40.19983
046006|15.619| 0.617| 0.311| 0.734|15.638| 0.600|15.636| 0.597|15.660| 0.604|14.333| 0.223| 375|   |295.38346|+40.19706
047006|15.651| 0.597| 0.323| 0.708|15.667| 0.596|15.675| 0.610|15.700| 0.591|14.453| 0.246| 190|   |295.28833|+40.23311
048006|15.708| 0.687| 0.368| 0.811|15.729| 0.674|15.717| 0.679|15.767| 0.659|14.373| 0.387| 359|   |295.37592|+40.20939
054006|15.883| 0.635| 0.378| 0.810|15.899| 0.642|15.910| 0.650|15.927| 0.643|14.516| 0.201| 749|   |295.28842|+40.15386
055006|15.957| 0.595| 0.378| 0.739|15.955| 0.618|15.933| 0.639|15.982| 0.618|14.696| 0.340| 690|   |295.35154|+40.15208
057006|15.984| 0.621| 0.346| 0.744|16.013| 0.591|15.877| 0.650|15.994| 0.615|14.529| 0.177| 183|   |295.31258|+40.23778
058006|16.015| 0.692| 0.367| 0.804|16.029| 0.684|16.023| 0.693|16.056| 0.687|14.520| 0.456|    |   |295.32092|+40.14642
060006|16.115| 0.670| 0.387| 0.811|16.121| 0.664|16.107| 0.688|16.149| 0.655|14.704| 0.396| 244|   |295.36542|+40.22872
063006|16.161| 0.638| 0.357| 0.782|16.183| 0.643|16.173| 0.645|16.191| 0.662|14.798| 0.280| 672| 76|295.29308|+40.16039
064006|16.221| 0.641| 0.376| 0.807|16.240| 0.655|16.227| 0.671|16.262| 0.666|14.855| 0.144| 673|   |295.29629|+40.15897
065006|16.310| 0.654| 0.378| 0.774|16.309| 0.669|16.312| 0.663|16.344| 0.656|15.010| 0.395| 153|   |295.34333|+40.23519
070006|16.372| 0.648| 0.377| 0.783|16.363| 0.672|16.352| 0.683|16.402| 0.653|15.093| 0.455| 154|   |295.34721|+40.23428
072006|16.417| 0.642| 0.360| 0.743|16.422| 0.645|16.439| 0.625|16.464| 0.635|15.112| 0.259| 446|   |295.38042|+40.19483
095006|17.044| 0.763| 0.433| 0.892|      |      |      |      |17.115| 0.620|      |      |    |   |         |
001007|      |      |      |      |11.864| 1.557|11.854| 1.520|      |      | 9.082| 0.937| 965| 93|295.30500|+40.24908
002007|13.106| 1.208| 0.599| 1.228|13.134| 1.194|13.149| 1.206|      |      |11.026| 0.689| 143| 64|295.27183|+40.23450
003007|13.119| 1.212| 0.610| 1.222|13.135| 1.193|13.144| 1.199|      |      |11.005| 0.664| 989| 73|295.28858|+40.24544
004007|13.187| 1.259| 0.641| 1.313|13.188| 1.250|13.178| 1.266|      |      |10.935| 0.757| 990|153|295.38879|+40.20969
005007|13.234| 1.253| 0.668| 1.292|13.224| 1.253|13.213| 1.264|      |      |10.990| 0.727| 178|147|295.37258|+40.23889
006007|13.675| 0.512| 0.271| 0.576|13.714| 0.504|13.717| 0.500|      |      |12.668| 0.216| 419| 50|295.25346|+40.18778
007007|13.926| 1.173| 0.571| 1.196|13.971| 1.147|13.991| 1.150|      |      |11.843| 0.699| 635| 61|295.26758|+40.16558
008007|14.304| 1.075| 0.601| 1.159|14.314| 1.095|14.325| 1.103|14.339| 1.088|12.331| 0.634| 748|   |295.29146|+40.15156
009007|14.305| 0.719| 0.404| 0.793|14.331| 0.717|14.339| 0.731|14.356| 0.733|12.980| 0.418| 221| 56|295.26025|+40.21436
010007|14.340| 1.197| 0.618| 1.275|14.364| 1.190|14.366| 1.213|14.398| 1.203|12.147| 0.715| 750|   |295.29367|+40.14586
011007|      |      |      |      |14.411| 0.621|      |      |14.366| 0.965|      |      |    |   |295.30417|+40.24928
012007|14.372| 1.846| 0.968| 1.937|14.412| 1.756|14.379| 1.783|14.416| 1.762|11.032| 1.153| 667| 60|295.26254|+40.16139
013007|14.547| 0.976| 0.551| 1.079|14.570| 0.964|14.536| 0.986|14.579| 0.955|12.705| 0.600| 997|   |295.39717|+40.19608
014007|14.560| 1.281| 0.661| 1.261|14.577| 1.277|14.587| 1.296|14.610| 1.277|12.427| 0.705| 751|   |295.28671|+40.14678
015007|14.837| 1.463| 0.785| 1.471|14.837| 1.439|14.824| 1.463|14.866| 1.429|12.252| 0.902| 696|   |295.36533|+40.15408
016007|14.841| 0.630| 0.338| 0.761|14.868| 0.627|14.878| 0.620|14.887| 0.648|13.600| 0.322| 220|   |295.25708|+40.21606
017007|      |      |      |      |      |      |14.929| 0.671|15.258| 0.574|13.542| 0.344|  49|   |295.31333|+40.25275
018007|14.923| 0.647| 0.365| 0.799|14.934| 0.663|14.927| 0.674|14.951| 0.667|13.584| 0.351| 784|   |295.33454|+40.14036
019007|14.958| 0.635| 0.368| 0.755|14.969| 0.630|14.951| 0.634|14.978| 0.643|13.645| 0.305|  50|   |295.31442|+40.25336
020007|14.942| 0.626| 0.335| 0.737|14.978| 0.618|14.994| 0.621|15.001| 0.624|13.773| 0.268| 516|   |295.26050|+40.17192
021007|14.977| 0.626| 0.388| 0.752|14.983| 0.631|14.965| 0.636|15.015| 0.632|13.669| 0.317| 571|   |295.38917|+40.17681
022007|14.983| 0.652| 0.378| 0.795|14.993| 0.658|14.993| 0.662|15.022| 0.668|13.664| 0.356|  51|   |295.32429|+40.25322
023007|15.057| 0.657| 0.381| 0.775|15.063| 0.656|15.079| 0.640|15.093| 0.673|13.703| 0.375|  47|   |295.30567|+40.25186
024007|15.091| 0.632| 0.342| 0.759|15.094| 0.616|15.090| 0.623|15.123| 0.605|13.812| 0.310| 159|   |295.35904|+40.24350
026007|15.220| 0.607| 0.369| 0.764|15.205| 0.627|15.214| 0.621|15.245| 0.621|13.899| 0.375|  48|   |295.31146|+40.25289
027007|15.196| 0.626| 0.357| 0.728|15.213| 0.611|15.205| 0.617|15.242| 0.604|13.930| 0.304| 448|   |295.39300|+40.18939
029007|15.356| 0.709| 0.375| 0.826|15.364| 0.702|15.356| 0.728|15.382| 0.700|14.013| 0.452| 245|   |295.38054|+40.22744
030007|15.431| 1.027| 0.603| 1.130|15.437| 1.045|15.426| 1.064|15.453| 1.034|13.571| 0.602| 783|   |295.33329|+40.14072
031007|15.451| 0.618| 0.353| 0.737|15.460| 0.612|      |      |15.487| 0.609|13.947| 0.314|    |   |295.37329|+40.16058
033007|15.509| 0.591| 0.329| 0.716|15.526| 0.580|15.540| 0.592|15.559| 0.587|14.324| 0.317| 142|   |295.26987|+40.23281
034007|15.519| 0.566| 0.328| 0.689|15.529| 0.585|15.541| 0.582|15.568| 0.574|14.392| 0.333| 515|   |295.25525|+40.17092
035007|15.539| 0.595| 0.350| 0.708|15.554| 0.583|15.554| 0.603|15.578| 0.599|14.343| 0.340| 145|   |295.28546|+40.23792
036007|15.556| 0.597| 0.347| 0.718|15.581| 0.608|15.583| 0.620|15.608| 0.603|14.313| 0.475| 775|   |295.31812|+40.13878
037007|15.583| 0.627| 0.351| 0.757|15.586| 0.628|15.575| 0.645|15.598| 0.643|14.052| 0.323| 460|   |295.38929|+40.18517
039007|15.617| 0.567| 0.334| 0.703|15.636| 0.575|15.638| 0.575|      |      |14.478| 0.392| 497|   |295.25075|+40.18164
040007|15.658| 0.657| 0.411| 0.821|15.640| 0.679|15.637| 0.676|15.674| 0.676|14.204| 0.348| 259|   |295.39137|+40.21675
042007|15.679| 0.661| 0.377| 0.789|15.701| 0.654|15.696| 0.677|15.726| 0.654|14.347| 0.313| 780|   |295.31696|+40.14211
043007|15.722| 0.675| 0.387| 0.799|15.730| 0.669|15.707| 0.699|15.753| 0.669|14.319| 0.221| 261|   |295.37917|+40.22408
044007|15.713| 0.603| 0.340| 0.716|15.736| 0.595|15.746| 0.592|15.760| 0.599|14.528| 0.401| 517|   |295.26296|+40.17550
045007|15.796| 0.621| 0.334| 0.741|15.805| 0.615|15.820| 0.598|15.841| 0.622|14.607| 0.358|  90|   |295.28083|+40.24469
046007|15.792| 0.599| 0.334| 0.713|15.816| 0.582|15.824| 0.579|15.854| 0.585|14.622| 0.261| 496|   |295.25800|+40.18108
047007|15.791| 0.666| 0.363| 0.779|15.818| 0.649|15.832| 0.646|15.837| 0.674|14.488| 0.362| 194|   |295.26558|+40.22531
049007|15.836| 0.624| 0.356| 0.755|15.836| 0.639|15.825| 0.630|15.873| 0.625|14.550| 0.268| 584|   |295.38312|+40.16400
052007|15.885| 0.767| 0.431| 0.902|15.899| 0.778|15.911| 0.793|15.925| 0.782|14.421| 0.470| 668|   |295.27421|+40.15625
055007|15.927| 0.684| 0.402| 0.818|15.923| 0.708|15.925| 0.710|15.959| 0.694|14.533| 0.366| 260|   |295.38100|+40.22433
056007|15.930| 0.685| 0.381| 0.790|15.928| 0.674|15.918| 0.683|15.977| 0.657|14.590| 0.376| 160|   |295.36071|+40.24231
061007|15.966| 0.614| 0.346| 0.732|15.971| 0.618|15.985| 0.626|16.004| 0.621|14.744| 0.319| 100|   |295.27850|+40.24378
062007|15.984| 0.618| 0.341| 0.740|15.991| 0.619|15.982| 0.637|16.031| 0.611|14.721| 0.253| 374|   |295.39175|+40.19775
064007|16.066| 0.746| 0.403| 0.831|16.073| 0.726|15.953| 0.755|16.076| 0.737|14.470| 0.344|    |   |295.39137|+40.18081
065007|16.066| 0.616| 0.367| 0.741|16.075| 0.626|16.045| 0.648|16.093| 0.632|14.821| 0.312| 721|   |295.36600|+40.14878
066007|16.108| 0.605| 0.352| 0.744|16.115| 0.602|16.112| 0.602|16.149| 0.605|14.896| 0.310| 447|   |295.39396|+40.19106
068007|16.222| 0.754| 0.433| 0.888|16.207| 0.785|16.209| 0.785|16.253| 0.758|14.684| 0.420| 258|   |295.39096|+40.22097
070007|16.288| 0.642| 0.369| 0.782|16.289| 0.643|16.281| 0.668|16.321| 0.649|14.871| 0.352| 360|   |295.39250|+40.20317
071007|16.302| 0.707| 0.400| 0.862|16.299| 0.697|16.283| 0.723|16.344| 0.685|14.842| 0.288| 161|   |295.36975|+40.24050
076007|16.420| 0.764| 0.435| 0.873|16.433| 0.765|16.442| 0.772|16.457| 0.782|14.972| 0.355| 146|   |295.29037|+40.24058
077007|16.466| 0.669| 0.392| 0.801|16.460| 0.672|16.457| 0.681|16.487| 0.678|13.847| 0.226|    |   |295.37304|+40.15272
001008|      |      |      |      |      |      |      |      |      |      | 9.933| 0.294| 964| 51|         |
002008|      |      |      |      |11.749| 1.615|11.750| 1.626|      |      | 8.890| 0.986| 968|152|295.37629|+40.15014
003008|      |      |      |      |12.480| 1.045|12.492| 1.051|      |      |10.586| 0.606| 103|   |295.26950|+40.24761
004008|13.297| 1.103| 0.565| 1.133|13.309| 1.098|13.320| 1.104|      |      |11.316| 0.677| 991| 70|295.28417|+40.25239
005008|14.154| 0.588| 0.345| 0.683|14.182| 0.608|14.188| 0.597|14.202| 0.607|12.971| 0.282| 418| 48|295.24300|+40.18886
006008|14.499| 0.459| 0.213| 0.518|14.494| 0.457|14.500| 0.453|14.521| 0.447|13.571| 0.233|  58|132|295.34754|+40.25464
007008|14.549| 0.696| 0.402| 0.837|14.573| 0.698|14.566| 0.694|14.600| 0.685|13.162| 0.361| 812|   |295.34054|+40.13456
008008|14.595| 0.675| 0.382| 0.778|14.598| 0.685|14.584| 0.688|14.623| 0.663|13.315| 0.434| 176|   |295.38242|+40.23739
009008|14.647| 0.662| 0.370| 0.731|14.644| 0.667|14.647| 0.667|14.677| 0.638|13.433| 0.365|  52|   |295.32900|+40.25494
010008|14.668| 0.798| 0.433| 0.858|14.689| 0.794|14.701| 0.809|14.712| 0.803|13.223| 0.339| 639|   |295.25125|+40.16319
012008|15.083| 0.733| 0.419| 0.842|15.084| 0.743|15.086| 0.739|15.109| 0.737|13.694| 0.391|  88|   |295.28696|+40.25017
013008|15.043| 0.779| 0.385| 0.798|15.086| 0.751|15.090| 0.766|15.102| 0.766|13.734| 0.359| 819|   |295.30529|+40.13222
014008|15.069| 0.610| 0.339| 0.739|15.086| 0.610|15.072| 0.609|15.113| 0.600|13.808| 0.275|  56|   |295.33596|+40.26100
015008|15.123| 0.609| 0.356| 0.754|15.118| 0.614|15.118| 0.628|15.145| 0.611|13.849| 0.265|  59|   |295.34496|+40.25561
016008|15.137| 0.668| 0.380| 0.792|15.133| 0.663|15.143| 0.667|15.156| 0.663|13.810| 0.377|  57|   |295.33612|+40.25392
017008|15.147| 0.634| 0.366| 0.798|15.136| 0.633|15.117| 0.648|15.167| 0.635|13.834| 0.295| 449|   |295.40887|+40.19128
018008|15.149| 0.638| 0.388| 0.766|15.152| 0.656|15.161| 0.643|15.188| 0.639|13.822| 0.316| 811|   |295.34892|+40.13367
019008|15.157| 0.618| 0.362| 0.760|15.164| 0.621|15.035| 0.607|15.166| 0.633|13.663| 0.339|  13|   |295.31633|+40.26269
020008|15.193| 0.622| 0.344| 0.755|15.200| 0.614|15.200| 0.613|15.237| 0.598|13.918| 0.447| 163|   |295.37683|+40.24572
021008|15.221| 0.626| 0.354| 0.751|15.224| 0.636|15.215| 0.637|15.254| 0.620|13.985| 0.324| 175|   |295.38967|+40.23911
022008|15.215| 0.623| 0.379| 0.758|15.235| 0.642|15.241| 0.644|15.255| 0.636|13.982| 0.315| 772|   |295.29171|+40.13717
025008|15.363| 0.606| 0.347| 0.747|15.379| 0.582|15.351| 0.599|15.408| 0.584|      |      | 572|   |295.39946|+40.17433
030008|15.509| 0.582| 0.334| 0.715|15.509| 0.595|15.496| 0.590|15.530| 0.588|14.292| 0.358| 165|   |295.38233|+40.24197
031008|15.503| 0.605| 0.335| 0.732|15.519| 0.600|15.505| 0.600|15.552| 0.586|14.251| 0.279| 730|   |295.36125|+40.14542
035008|15.593| 0.600| 0.333| 0.717|15.609| 0.594|15.611| 0.610|      |      |14.374| 0.272|    |   |295.30796|+40.25842
036008|15.669| 0.731| 0.444| 0.838|15.673| 0.752|15.679| 0.761|15.710| 0.753|14.301| 0.362| 514|   |295.24462|+40.17700
038008|15.687| 0.669| 0.379| 0.806|15.687| 0.657|15.677| 0.667|      |      |14.405| 0.352| 457|   |295.39754|+40.18206
043008|15.824| 0.538| 0.328| 0.688|      |      |15.806| 0.509|15.854| 0.548|14.525| 0.089| 141|   |295.25233|+40.22878
044008|15.798| 0.622| 0.378| 0.763|15.816| 0.641|      |      |15.801| 0.623|13.942| 0.313|  43|   |295.29433|+40.25603
045008|15.840| 0.599| 0.366| 0.777|15.832| 0.622|15.831| 0.621|15.865| 0.621|14.483| 0.289| 787|   |295.35642|+40.14042
046008|15.915| 0.612| 0.358| 0.731|15.908| 0.630|      |      |15.954| 0.623|14.639| 0.359| 296|   |295.24537|+40.20500
050008|16.027| 0.646| 0.361| 0.764|16.030| 0.643|16.021| 0.651|16.080| 0.619|14.740| 0.815| 361|   |295.39929|+40.20542
058008|16.202| 0.629| 0.361| 0.770|16.186| 0.651|16.195| 0.678|16.231| 0.633|14.860| 0.484| 247|   |295.39300|+40.22975
060008|16.203| 0.660| 0.380| 0.817|16.198| 0.653|16.151| 0.684|16.235| 0.654|14.746| 1.788| 582|   |295.39067|+40.15950
064008|16.241| 0.670| 0.360| 0.794|16.247| 0.684|16.246| 0.696|16.290| 0.653|14.931| 0.307| 177|   |295.37675|+40.23792
068008|16.333| 0.676| 0.360| 0.776|16.364| 0.660|16.374| 0.671|16.385| 0.668|14.969| 0.122| 820|   |295.29379|+40.13506
069008|16.384| 0.681| 0.406| 0.821|16.371| 0.683|16.356| 0.691|16.415| 0.676|14.962| 0.455| 718|   |295.37350|+40.14800
070008|16.378| 0.659| 0.391| 0.815|16.376| 0.671|      |      |16.408| 0.686|14.944| 0.456| 318|   |295.24592|+40.20250
072008|16.397| 0.673| 0.386| 0.819|16.412| 0.675|16.422| 0.694|16.442| 0.671|14.976| 0.326|    |   |295.26950|+40.24222
073008|16.434| 0.686| 0.384| 0.789|16.441| 0.698|16.436| 0.702|16.482| 0.669|15.079| 0.316|  54|   |295.33162|+40.25903
001009|      |      |      |      |      |      | 9.885| 1.528|      |      | 4.481| 1.626| 963|161|         |
002009|      |      |      |      |12.508| 1.829|12.509| 1.846|      |      | 8.901| 1.182| 809|137|295.35379|+40.12889
003009|      |      |      |      |12.915| 1.195|12.929| 1.200|      |      |10.804| 0.723| 983| 75|295.29129|+40.26378
004009|      |      |      |      |12.982| 1.192|12.985| 1.202|      |      |10.867| 0.767|  80|151|295.37612|+40.25603
005009|      |      |      |      |13.004| 1.252|13.026| 1.271|      |      |10.775| 0.722| 139| 44|295.24104|+40.23142
006009|13.139| 1.215| 0.623| 1.212|13.145| 1.191|13.148| 1.191|      |      |11.005| 0.682| 715|158|295.39350|+40.14614
007009|13.296| 1.229| 0.648| 1.252|13.319| 1.217|13.351| 1.444|      |      |11.155| 0.713| 510| 43|295.23767|+40.16856
008009|13.366| 0.576| 0.324| 0.670|13.376| 0.579|13.377| 0.580|      |      |12.236| 0.291| 992| 92|295.30825|+40.26386
009009|14.496| 0.681| 0.384| 0.799|14.509| 0.691|14.527| 0.691|14.541| 0.699|13.138| 0.344| 417| 41|295.23167|+40.19089
010009|14.572| 0.746| 0.398| 0.805|14.578| 0.754|14.573| 0.752|14.571| 0.733|      |      |    |   |295.37554|+40.25661
011009|14.580| 0.805| 0.420| 0.903|14.584| 0.816|14.576| 0.816|14.613| 0.798|13.079| 0.495| 250|   |295.40258|+40.23519
012009|14.642| 1.321| 0.676| 1.332|14.668| 1.294|14.678| 1.320|14.682| 1.309|12.372| 0.784| 755|   |295.25837|+40.14458
013009|14.697| 0.601| 0.344| 0.730|14.715| 0.592|14.736| 0.597|14.742| 0.592|13.510| 0.257| 664|   |295.24183|+40.15522
014009|14.806| 0.673| 0.392| 0.793|14.809| 0.674|14.791| 0.700|14.841| 0.672|13.464| 0.390| 788|   |295.37187|+40.13322
015009|14.793| 1.324| 0.643| 1.275|14.809| 1.293|14.828| 1.298|14.820| 1.272|12.587| 0.704| 104| 62|295.25783|+40.25033
016009|14.799| 0.520| 0.273| 0.620|14.815| 0.527|14.835| 0.524|14.819| 0.506|13.703| 0.285| 753|   |295.26462|+40.14517
017009|14.895| 0.669| 0.378| 0.793|14.903| 0.670|14.906| 0.679|14.924| 0.684|13.570| 0.317|  12|   |295.31775|+40.26519
018009|14.918| 0.654| 0.346| 0.785|14.926| 0.639|14.920| 0.636|14.954| 0.641|13.627| 0.360|  82|   |295.37225|+40.25336
019009|14.919| 0.613| 0.344| 0.738|14.939| 0.616|      |      |14.973| 0.619|13.697| 0.318| 298|   |295.23183|+40.20461
020009|14.987| 1.154| 0.623| 1.202|14.994| 1.148|15.018| 1.444|15.024| 1.149|12.871| 0.675| 640|   |295.24112|+40.16153
021009|15.065| 0.645| 0.348| 0.753|15.089| 0.634|15.094| 0.636|15.111| 0.636|13.770| 0.270| 822|   |295.28108|+40.13286
022009|15.150| 0.633| 0.386| 0.795|15.141| 0.637|15.093| 0.641|      |      |      |      | 580|   |295.40537|+40.16406
023009|15.099| 0.615| 0.364| 0.755|15.108| 0.616|15.119| 0.613|15.130| 0.632|13.834| 0.278| 851|   |295.32021|+40.12431
024009|15.153| 0.661| 0.371| 0.772|15.171| 0.653|15.190| 0.660|15.214| 0.661|13.841| 0.221| 665|   |295.24096|+40.15761
025009|15.182| 0.616| 0.323| 0.734|15.183| 0.621|15.168| 0.616|15.209| 0.619|13.999| 0.417| 249|   |295.39667|+40.23639
