#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-11T18:32:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5df136376f63	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/AJ/138/159&tab:{J/AJ/138/159/table2}&key:source=J/AJ/138/159/table2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/138/159/table2
#-order=I
#-out=WOCS
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=B-V
#-out=N1
#-out=N2
#-out=RV
#-out=e_RV
#-out=e/i
#-out=Mmb
#-out=bin
#-out=gamma
#-out=Com
#-out.all=2
#

#RESOURCE=yCat_51380159
#Name: J/AJ/138/159
#Title: NGC 6819 stellar radial-velocity and photometry (Hole+, 2009)
#Table	J_AJ_138_159_table2:
#Name: J/AJ/138/159/table2
#Title: The NGC 6819 WOCS radial-velocity database
#Column	WOCS	(A6)	WIYN Open Cluster Study identification (G1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	Averaged V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	Averaged B-V color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	N1	(I2)	Number of WIYN RV measurements	[ucd=meta.number]
#Column	N2	(I2)	Number of CfA RV measurements	[ucd=meta.number]
#Column	RV	(F7.2)	Mean radial velocity	[ucd=spect.dopplerVeloc;stat.mean]
#Column	e_RV	(F5.2)	Standard error of RV (1)	[ucd=stat.error]
#Column	e/i	(F6.2)	? external/internal error ratio (2)	[ucd=stat.error]
#Column	Mmb	(I2)	? Calculated RV membership probability [NULL integer written as an empty string]	[ucd=meta.code.member]
#Column	bin	(A3)	Binarity classification (3)	[ucd=meta.code.multip]
#Column	gamma	(F7.3)	? Center-of-mass radial velocity {gamma}	[ucd=phys.veloc;pos.barycenter]
#Column	Com	(a19)	Additional comment	[ucd=meta.note]
WOCS|RAJ2000|DEJ2000|Vmag|B-V|N1|N2|RV|e_RV|e/i|Mmb|bin|gamma|Com
026006|19 41 18.38|+40 09 12.8|15.17| 0.65| 6| 0|   1.35| 0.11|  0.62|92|SM |       |
027006|19 41 04.15|+40 10 23.4|15.20| 0.60| 3| 0|   1.19| 0.52|  1.82|91|SM |       |
028006|19 41 04.31|+40 11 30.7|15.22| 0.60|17| 0|   2.23| 0.68|  6.79|  |BLM|       |
029006|19 41 11.75|+40 14 19.6|15.24| 0.61| 3| 0|   0.45| 0.05|  0.19|78|SM |       |
030006|19 41 25.83|+40 14 08.4|15.24| 0.65| 4| 0|   1.55| 0.55|  2.39|93|SM |       |
031006|19 41 24.07|+40 14 13.4|15.27| 0.60| 3| 0|   4.10| 0.22|  0.79|83|SM |       |
032006|19 41 28.59|+40 09 50.7|15.29| 0.59|19| 0|   1.84| 0.05| 34.87|95|BM |  2.241|SB1
033006|19 41 02.89|+40 10 44.1|15.34| 0.58| 4| 0|   4.81| 0.35|  1.53|53|SM |       |
034006|19 41 21.56|+40 09 12.6|15.38| 0.61| 2| 0|  -6.92|13.15|      |  |U  |       |
035006|19 41 08.45|+40 09 52.4|15.38| 0.59| 3| 0|   4.35| 0.13|  0.45|75|SM |       |
036006|19 41 19.86|+40 09 09.7|15.40| 0.61| 2| 0|   0.78| 0.28|      |  |U  |       |
037006|19 41 29.52|+40 09 58.7|15.48| 0.61| 4| 0|   2.55| 0.37|  1.60|95|SM |       |
040006|19 41 12.49|+40 14 24.4|15.52| 0.59|17| 0|   1.63| 0.85|  8.54|  |BLM|       |
042006|19 41 05.70|+40 13 17.5|15.60| 0.64| 3| 0|   0.96| 0.21|  0.76|89|SM |       |
045006|19 41 02.07|+40 11 59.4|15.64| 0.56| 5| 0|  19.91| 0.75|  3.74| 0|SN |       |
046006|19 41 32.03|+40 11 49.4|15.64| 0.60| 3| 0|   1.87| 0.23|  0.82|94|SM |       |
047006|19 41 09.20|+40 13 59.2|15.67| 0.60| 5| 3|   2.42| 0.23|  1.15|95|SM |       |
048006|19 41 30.22|+40 12 33.8|15.73| 0.67| 3| 0|   2.26| 0.39|  1.37|95|SM |       |
054006|19 41 09.22|+40 09 13.9|15.90| 0.64| 2| 0| -19.33| 0.26|      |  |U  |       |
055006|19 41 24.37|+40 09 07.5|15.96| 0.62| 2| 0|   1.51| 0.52|      |  |U  |       |
057006|19 41 15.02|+40 14 16.0|15.97| 0.62| 3| 0|   3.53| 0.08|  0.30|91|SM |       |
058006|19 41 17.02|+40 08 47.1|16.03| 0.69| 3| 0|   5.91| 0.59|  2.09| 4|SN |       |
060006|19 41 27.70|+40 13 43.4|16.12| 0.67|18| 0|   4.69| 0.07| 66.95|95|BM |  2.131|SB1
063006|19 41 10.34|+40 09 37.4|16.18| 0.65| 3| 0|   1.57| 0.41|  1.44|94|SM |       |
064006|19 41 11.11|+40 09 32.3|16.24| 0.66| 3| 0|   3.87| 0.25|  0.87|87|SM |       |
065006|19 41 22.40|+40 14 06.7|16.32| 0.66| 3| 0|   3.88| 1.02|  3.59|87|SM |       |
066006|19 41 27.86|+40 13 56.2|16.37| 0.68| 2| 0|   3.75| 0.34|      |  |U  |       |
070006|19 41 23.33|+40 14 03.4|16.37| 0.66| 3| 0|   1.45| 0.70|  2.46|93|SM |       |
071006|19 41 20.61|+40 09 19.5|16.41| 0.67| 1| 0|   3.07| 0.40|      |  |U  |       |
072006|19 41 31.30|+40 11 41.4|16.44| 0.64| 3| 0|   3.36| 0.63|  2.24|92|SM |       |
001007|19 41 13.20|+40 14 56.7|11.86| 1.54| 3| 6|   3.41| 0.28|  1.31|92|SM |       |
002007|19 41 05.24|+40 14 04.2|13.13| 1.20| 3| 4|   3.25| 0.18|  0.74|93|SM |       |
003007|19 41 09.26|+40 14 43.6|13.13| 1.20| 3| 4|   2.30| 0.28|  1.17|95|SM |       |
004007|19 41 33.31|+40 12 34.9|13.18| 1.26| 1| 2|   2.96| 0.23|  0.52|94|SM |       |
005007|19 41 29.42|+40 14 20.0|13.22| 1.26| 4| 2|   3.21| 0.06|  0.28|93|SM |       |
006007|19 41 00.83|+40 11 16.0|13.70| 0.51| 2| 4| -20.68| 0.57|      |  |SN |       |Rapid rotator
007007|19 41 04.22|+40 09 56.1|13.96| 1.16| 1| 2| -15.03| 0.13|  0.29| 0|SN |       |
008007|19 41 09.95|+40 09 05.6|14.32| 1.09|15| 2|   3.44| 0.03|  6.21|88|BM |  3.799|SB1
009007|19 41 02.46|+40 12 51.7|14.33| 0.72| 3| 1|  -2.33| 0.41|  1.43| 0|SN |       |
010007|19 41 10.48|+40 08 45.1|14.37| 1.20| 1| 2| -56.78| 0.38|  0.87| 0|SN |       |
011007|19 41 13.00|+40 14 57.4|14.39| 0.79|11| 0|   0.05| 1.16|  9.20|  |BLM|       |
012007|19 41 03.01|+40 09 41.0|14.39| 1.79| 1| 2| -84.69| 0.26|  0.60| 0|SN |       |
013007|19 41 35.32|+40 11 45.9|14.56| 0.97|15| 0|   2.08| 0.30|  2.77|95|SM |       |
014007|19 41 08.81|+40 08 48.4|14.58| 1.28| 3| 2|  -1.26| 0.32|  1.18| 3|SN |       |
015007|19 41 27.68|+40 09 14.7|14.84| 1.45| 4| 0| -60.55| 0.51|  2.21| 0|SN |       |
016007|19 41 01.70|+40 12 57.8|14.87| 0.63| 4| 0|   2.58| 0.46|  1.97|95|SM |       |
017007|19 41 15.20|+40 15 09.9|15.09| 0.62| 9| 0| -13.63| 1.43| 10.09|  |BLN|       |
018007|19 41 20.29|+40 08 25.3|14.93| 0.66| 3| 0|   1.73| 0.24|  0.86|94|SM |       |
019007|19 41 15.46|+40 15 12.1|14.96| 0.64| 4| 0|   2.36| 0.06|  0.28|95|SM |       |
020007|19 41 02.52|+40 10 18.9|14.98| 0.62| 3| 0|   2.95| 0.22|  0.77|94|SM |       |
021007|19 41 33.40|+40 10 36.5|14.98| 0.63|15| 0|   3.58| 0.14| 29.55|95|BM |  2.305|SB1
022007|19 41 17.83|+40 15 11.6|15.00| 0.66| 3| 0|   3.16| 0.11|  0.40|94|SM |       |
023007|19 41 13.36|+40 15 06.7|15.07| 0.66| 3| 0|   4.15| 0.22|  0.76|81|SM |       |
024007|19 41 26.17|+40 14 36.6|15.10| 0.62| 3| 0|   2.67| 0.68|  2.42|95|SM |       |
025007|19 41 00.83|+40 11 11.8|15.18| 0.64| 3| 0|  -1.57| 0.25|  0.88| 1|SN |       |
026007|19 41 14.75|+40 15 10.4|15.22| 0.62|11| 0|   3.86| 0.10| 42.37|94|BM |  2.908|SB1
027007|19 41 34.32|+40 11 21.8|15.21| 0.61| 3| 0|   3.48| 0.24|  0.84|92|SM |       |
028007|19 41 18.29|+40 08 17.3|15.36| 0.80| 2| 0| -28.29| 2.00|      |  |U  |       |
029007|19 41 31.33|+40 13 38.8|15.36| 0.71| 3| 0| -20.87| 0.19|  0.68| 0|SN |       |
030007|19 41 19.99|+40 08 26.6|15.44| 1.04| 3| 0| -25.20| 0.26|  0.93| 0|SN |       |
031007|19 41 29.59|+40 09 38.1|15.47| 0.61| 3| 0|   3.84| 0.40|  1.42|88|SM |       |
033007|19 41 04.77|+40 13 58.1|15.53| 0.59| 3| 0| -27.33| 0.81|  2.87| 0|SN |       |
034007|19 41 01.26|+40 10 15.3|15.54| 0.58| 3| 0|   2.10| 0.31|  1.09|95|SM |       |
035007|19 41 08.51|+40 14 16.5|15.56| 0.60| 3| 0|   3.00| 0.60|  2.11|94|SM |       |
036007|19 41 16.35|+40 08 19.6|15.58| 0.61| 3| 0|   1.66| 0.77|  2.72|94|SM |       |
037007|19 41 33.43|+40 11 06.6|15.59| 0.64| 3| 0|   2.07| 0.72|  2.54|95|SM |       |
039007|19 41 00.18|+40 10 53.9|15.63| 0.57| 2| 0|   5.29| 0.41|      |  |U  |       |
040007|19 41 33.93|+40 13 00.3|15.65| 0.67|21| 0|  -1.74|13.78|154.09|  |BU |       |
042007|19 41 16.07|+40 08 31.6|15.70| 0.66|23| 0|  -0.44| 2.06| 24.11|  |BU |       |
043007|19 41 31.00|+40 13 26.7|15.73| 0.68| 2| 0| -32.26| 0.40|      |  |U  |       |
044007|19 41 03.11|+40 10 31.8|15.74| 0.60| 3| 0|   2.60| 0.36|  1.28|95|SM |       |
045007|19 41 07.40|+40 14 40.9|15.82| 0.61| 3| 0|   0.59| 0.34|  1.19|82|SM |       |
046007|19 41 01.92|+40 10 51.9|15.82| 0.59| 2| 0|   4.81| 0.13|      |  |U  |       |
047007|19 41 03.74|+40 13 31.1|15.82| 0.66| 3| 0|   3.10| 0.33|  1.16|94|SM |       |
049007|19 41 31.95|+40 09 50.4|15.84| 0.63| 3| 0|   2.59| 0.08|  0.29|95|SM |       |
052007|19 41 05.81|+40 09 22.5|15.90| 0.78| 6| 0| -30.34| 1.87| 10.47|  |BLN|       |
055007|19 41 31.44|+40 13 27.6|15.93| 0.70|16| 0| -25.39| 8.59| 83.16|  |BU |       |
056007|19 41 26.57|+40 14 32.3|15.94| 0.67| 3| 0| -15.80| 0.89|  3.15| 0|SN |       |
061007|19 41 06.84|+40 14 37.6|15.98| 0.62| 3| 0|   2.77| 0.10|  0.37|95|SM |       |
062007|19 41 34.02|+40 11 51.9|16.00| 0.62| 3| 0|   1.76| 0.18|  0.64|94|SM |       |
064007|19 41 33.93|+40 10 50.9|16.04| 0.74| 2| 0| -27.08| 0.02|      |  |U  |       |
065007|19 41 27.84|+40 08 55.6|16.07| 0.63| 3| 0|   4.16| 0.65|  2.30|81|SM |       |
066007|19 41 34.55|+40 11 27.8|16.12| 0.60| 3| 0|   2.22| 0.19|  0.67|95|SM |       |
068007|19 41 33.83|+40 13 15.5|16.22| 0.77| 2| 0| -19.41| 1.53|      |  |U  |       |
070007|19 41 34.20|+40 12 11.4|16.29| 0.65| 2| 0|   2.24| 1.00|      |  |U  |       |
071007|19 41 28.74|+40 14 25.8|16.31| 0.70| 9| 0|   4.17| 0.50|  3.55|81|SM |       |
076007|19 41 09.69|+40 14 26.1|16.44| 0.77|15| 0|   1.59| 0.49|  4.55|  |BLM|       |
077007|19 41 29.53|+40 09 09.8|16.47| 0.67|14| 0|   1.53| 0.15|      |86|BM |  3.960|SB2
002008|19 41 30.31|+40 09 00.5|11.75| 1.62| 8|29|   1.33| 0.72|  6.69|  |BLM|       |
003008|19 41 04.68|+40 14 51.4|12.49| 1.05| 3| 0|  -1.10| 0.19|  0.69| 5|SN |       |
004008|19 41 08.20|+40 15 08.6|13.31| 1.10|19|14|   0.70| 0.02|  7.18|91|BM |  1.151|SB1
005008|19 40 58.32|+40 11 19.9|14.18| 0.60| 0| 4| -60.46| 0.54|  1.34| 0|SN |       |
006008|19 41 23.41|+40 15 16.7|14.50| 0.45| 3| 1|   8.35| 0.33|  1.15| 0|SN |       |
007008|19 41 21.73|+40 08 04.4|14.57| 0.69| 5| 0|   2.66| 0.53|  2.66|95|SM |       |
008008|19 41 31.78|+40 14 14.6|14.60| 0.68| 3| 0| -21.79| 0.20|  0.71| 0|SN |       |
009008|19 41 18.96|+40 15 17.8|14.65| 0.66| 3| 0| -22.19| 0.31|  1.08| 0|SN |       |
010008|19 41 00.30|+40 09 47.5|14.69| 0.80| 3| 0| -69.74| 0.16|  0.57| 0|SN |       |
011008|19 41 32.73|+40 09 10.1|15.05| 0.66| 2| 0|   2.97| 0.09|      |  |U  |       |
012008|19 41 08.87|+40 15 00.6|15.09| 0.74| 5| 0| -15.36| 0.77|  3.83| 0|SN |       |
013008|19 41 13.27|+40 07 56.0|15.08| 0.77| 3| 0| -15.58| 0.20|  0.72| 0|SN |       |
014008|19 41 20.63|+40 15 39.6|15.09| 0.61|13| 0|  13.93| 0.14|      |95|BM |  2.399|Rapid rotator ; SB1
015008|19 41 22.79|+40 15 20.2|15.13| 0.62| 3| 0|   0.62| 0.46|  1.63|82|SM |       |
016008|19 41 20.67|+40 15 14.1|15.14| 0.67| 3| 0| -40.72| 0.14|  0.50| 0|SN |       |
017008|19 41 38.13|+40 11 28.6|15.14| 0.64| 6| 0|   4.32| 1.27|  7.11|  |BLM|       |
018008|19 41 23.74|+40 08 01.2|15.16| 0.64| 3| 0|   2.85| 0.20|  0.72|95|SM |       |
019008|19 41 15.92|+40 15 45.7|15.13| 0.62| 6| 0|   2.87| 0.29|  1.64|94|SM |       |
020008|19 41 30.44|+40 14 44.6|15.21| 0.61| 7| 0|   1.54| 1.58|  9.66|  |BLM|       |
021008|19 41 33.52|+40 14 20.8|15.23| 0.63| 3| 0|   2.10| 0.26|  0.91|95|SM |       |
022008|19 41 10.01|+40 08 13.8|15.24| 0.64| 3| 0|   2.71| 0.34|  1.21|95|SM |       |
023008|19 41 20.15|+40 08 05.3|15.26| 0.62| 1| 0|   1.56| 0.40|      |  |U  |       |
024008|19 41 29.82|+40 09 09.5|15.31| 0.62| 1| 0|   3.20| 0.40|      |  |U  |       |
025008|19 41 35.87|+40 10 27.6|15.38| 0.59| 3| 0|   0.53| 0.32|  1.12|80|SM |       |
026008|19 40 57.26|+40 10 49.4|15.46| 0.57| 2| 0|   1.43| 0.55|      |  |U  |       |
027008|19 41 18.30|+40 07 52.3|15.49| 0.61| 2| 0|  -1.66| 0.89|      |  |U  |       |
030008|19 41 31.76|+40 14 31.1|15.51| 0.59| 1| 0|  -2.37| 0.40|      |  |U  |       |
031008|19 41 26.70|+40 08 43.5|15.52| 0.60| 2| 0|   3.39| 0.81|      |  |U  |       |
035008|19 41 13.91|+40 15 30.3|15.60| 0.60| 5| 0|   3.57| 0.78|  3.88|91|SM |       |
036008|19 40 58.71|+40 10 37.2|15.68| 0.75| 2| 0| -53.17| 0.01|      |  |U  |       |
038008|19 41 35.41|+40 10 55.4|15.68| 0.66|19| 0|   6.70| 9.98|105.89|  |BU |       |
041008|19 41 09.19|+40 15 26.1|15.79| 0.61| 1| 0|  13.85| 0.40|      |  |U  |       |
043008|19 41 00.56|+40 13 43.6|15.83| 0.53| 3| 0| -23.36| 0.40|  1.42| 0|SN |       |
044008|19 41 10.64|+40 15 21.7|15.80| 0.63| 4| 0|   1.27| 1.90|  8.24|  |BLM|       |
045008|19 41 25.54|+40 08 25.5|15.84| 0.62| 4| 0|   2.01| 0.13|  0.55|95|SM |       |
046008|19 40 58.89|+40 12 18.0|15.93| 0.62| 3| 0|   2.76| 0.51|  1.80|95|SM |       |
050008|19 41 35.83|+40 12 19.5|16.04| 0.64| 6| 0|   4.55| 0.55|  3.09|67|SM |       |
058008|19 41 34.32|+40 13 47.1|16.20| 0.65| 3| 0|   2.32| 0.51|  1.79|95|SM |       |
060008|19 41 33.76|+40 09 34.2|16.20| 0.66| 3| 0|   1.65| 0.20|  0.72|94|SM |       |
064008|19 41 30.42|+40 14 16.5|16.26| 0.68| 6| 0|   1.04| 0.31|  1.74|90|SM |       |
068008|19 41 10.51|+40 08 06.2|16.36| 0.67| 4| 0|   1.90| 0.38|  1.64|95|SM |       |
069008|19 41 29.64|+40 08 52.8|16.38| 0.68| 3| 0|   1.67| 0.38|  1.36|94|SM |       |
070008|19 40 59.02|+40 12 09.0|16.39| 0.67| 3| 0|   1.29| 0.41|  1.44|92|SM |       |
072008|19 41 04.68|+40 14 32.0|16.42| 0.68| 3| 0|  -0.01| 0.99|  3.49|57|SM |       |
073008|19 41 19.59|+40 15 32.5|16.45| 0.69| 3| 0|   1.92| 0.73|  2.59|95|SM |       |
002009|19 41 24.91|+40 07 44.0|12.51| 1.84| 1| 7| -37.23| 0.32|  1.25| 0|SN |       |
003009|19 41 09.91|+40 15 49.6|12.92| 1.20| 1| 5|   2.36| 0.20|  0.68|95|SM |       |
004009|19 41 30.27|+40 15 21.7|12.98| 1.20| 2| 3|   1.77| 0.24|  0.80|94|SM |       |
005009|19 40 57.85|+40 13 53.1|13.01| 1.26| 0| 4| -27.24| 0.23|  0.57| 0|SN |       |
006009|19 41 34.44|+40 08 46.1|13.14| 1.20| 3| 2|   1.28| 0.28|  1.02|92|SM |       |
007009|19 40 57.04|+40 10 06.8|13.32| 1.30|20|20|   2.32| 0.02| 19.06|84|BM |  0.687|SB1
008009|19 41 13.98|+40 15 49.9|13.37| 0.58| 0| 4| -51.98| 0.72|  1.78| 0|SN |       |
009009|19 40 55.60|+40 11 27.2|14.52| 0.69| 4| 1|   1.76| 0.13|  0.55|94|SM |       |
010009|19 41 30.13|+40 15 23.8|14.57| 0.75| 8| 0| -20.09| 2.49| 16.44|  |BLN|       |
011009|19 41 36.62|+40 14 06.7|14.59| 0.81|10| 0|  26.15| 4.28| 32.07|  |BLN|       |
012009|19 41 02.01|+40 08 40.5|14.67| 1.31| 3| 0| -10.65| 0.03|  0.11| 0|SN |       |
013009|19 40 58.04|+40 09 18.8|14.72| 0.60| 3| 0| -31.65| 0.42|  1.47| 0|SN |       |
014009|19 41 29.25|+40 07 59.6|14.81| 0.68|23| 0|  -0.47| 1.50| 17.57|  |BU |       |
015009|19 41 01.88|+40 15 01.2|14.81| 1.30| 1| 2| -39.19| 0.18|  0.40| 0|SN |       |
016009|19 41 03.51|+40 08 42.6|14.82| 0.52|29| 0|   2.86| 0.47|  6.17|  |BLM|       |
017009|19 41 16.26|+40 15 54.7|14.91| 0.68| 4| 0|   2.34| 0.20|  0.85|95|SM |       |
018009|19 41 29.34|+40 15 12.1|14.93| 0.64| 3| 0|   2.56| 0.22|  0.77|95|SM |       |
019009|19 40 55.64|+40 12 16.6|14.94| 0.62| 5| 0|   2.70| 0.35|  1.76|95|SM |       |
020009|19 40 57.87|+40 09 41.5|15.01| 1.22| 8| 0| -58.87| 1.27|  8.39|  |BLN|       |
021009|19 41 07.46|+40 07 58.3|15.09| 0.64| 3| 0|   2.12| 0.16|  0.56|95|SM |       |
022009|19 41 37.29|+40 09 50.6|15.13| 0.64| 3| 0|   3.09| 0.27|  0.95|94|SM |       |
023009|19 41 16.85|+40 07 27.5|15.11| 0.62|19| 0|   1.01| 1.16| 12.35|  |BLM|       |
024009|19 40 57.83|+40 09 27.4|15.18| 0.66|10| 0|   9.30| 1.29|  9.65|  |BU |       |
025009|19 41 35.20|+40 14 11.0|15.19| 0.62| 3| 0|   2.10| 0.19|  0.69|95|SM |       |
026009|19 40 58.72|+40 14 17.5|15.21| 0.60| 3| 0|   1.38| 0.20|  0.71|93|SM |       |
027009|19 40 55.90|+40 10 04.7|15.21| 0.56| 1| 0|   2.08| 0.40|      |  |U  |       |
028009|19 41 09.06|+40 07 37.9|15.26| 0.60| 8| 0|   5.52| 0.75|  4.95|  |BU |       |
029009|19 41 29.80|+40 15 17.9|15.32| 0.60| 2| 0|   1.81| 0.31|      |  |U  |       |
030009|19 41 23.11|+40 16 00.9|15.33| 0.61| 3| 0|   2.96| 0.25|  0.88|94|SM |       |
031009|19 41 32.86|+40 14 32.3|15.44| 0.60| 3| 0|   2.80| 0.48|  1.68|95|SM |       |
032009|19 41 38.90|+40 11 48.8|15.44| 0.60| 3| 0|   1.29| 0.44|  1.55|92|SM |       |
034009|19 41 00.24|+40 08 43.6|15.61| 0.60| 2| 0|   1.01| 0.07|      |  |U  |       |
037009|19 41 24.26|+40 07 47.7|15.63| 0.65| 6| 0| -34.76| 0.66|  3.71| 0|SN |       |
038009|19 41 28.14|+40 15 36.2|15.76| 0.60| 3| 0|   2.92| 0.29|  1.02|94|SM |       |
039009|19 41 38.04|+40 10 50.0|15.78| 0.62| 3| 0|   0.68| 0.86|  3.03|84|SM |       |
040009|19 40 57.09|+40 09 35.5|15.78| 0.67| 2| 0| -10.90| 0.70|      |  |U  |       |
041009|19 40 56.09|+40 12 40.6|15.81| 0.51| 3| 0| -78.07| 4.20|      |  |BLN|       |Rapid rotator
043009|19 41 05.51|+40 08 28.4|15.88| 0.63| 3| 0|   2.59| 0.20|  0.72|95|SM |       |
044009|19 40 57.91|+40 14 01.5|15.92| 0.77| 2| 0| -47.84| 0.14|      |  |U  |       |
046009|19 41 34.97|+40 14 27.6|15.94| 0.60| 1| 0|   6.63| 0.40|      |  |U  |       |
048009|19 41 18.47|+40 07 28.0|15.93| 0.63| 5| 0|   1.85| 0.45|  2.24|94|SM |       |
049009|19 41 29.90|+40 15 04.7|15.95| 0.68| 2| 0|  28.10| 6.97|      |  |U  |       |
051009|19 41 38.27|+40 09 47.2|16.06| 0.63| 3| 0|   1.67| 0.45|  1.58|94|SM |       |
052009|19 40 56.35|+40 09 50.2|16.07| 0.63| 1| 0|   0.45| 0.40|      |  |U  |       |
054009|19 41 11.35|+40 07 33.6|16.15| 0.65| 3| 0|   2.74| 0.16|  0.55|95|SM |       |
055009|19 41 38.34|+40 12 31.8|16.18| 0.66| 3| 0|   1.10| 0.60|  2.12|90|SM |       |
057009|19 40 56.70|+40 10 16.0|16.26| 0.65| 3| 0|   1.32| 0.59|  2.09|92|SM |       |
058009|19 41 19.15|+40 16 14.4|16.30| 0.64| 3| 0|   3.30| 0.64|  2.25|93|SM |       |
059009|19 41 28.16|+40 07 51.4|16.32| 0.68| 3| 0|  34.02| 0.61|  2.16| 0|SN |       |
060009|19 41 06.96|+40 15 27.9|16.36| 0.75| 3| 0| -89.93| 1.52|  5.39|  |BLN|       |
063009|19 40 59.73|+40 14 33.6|16.47| 0.67| 2| 0|   0.39| 0.01|      |  |U  |       |
064009|19 41 38.53|+40 12 24.3|16.47| 0.67| 4| 0|   0.65| 0.84|  3.65|83|SM |       |
002010|19 41 40.96|+40 13 26.0|13.02| 1.67| 4| 3|  -6.10| 0.17|  0.75| 0|SN |       |
003010|19 40 51.77|+40 12 15.9|13.07| 0.50| 0| 4| -38.78| 0.54|  1.33| 0|SN |       |
004010|19 41 36.83|+40 09 03.1|13.22| 1.25| 1| 2|  37.96| 0.11|  0.26| 0|SN |       |
005010|19 41 42.85|+40 10 36.1|13.23| 1.59| 2| 3| -17.43| 0.24|  0.80| 0|SN |       |
006010|19 41 40.91|+40 11 12.2|13.47| 1.40| 0| 4| -51.87| 0.11|  0.27| 0|SN |       |
007010|19 40 55.98|+40 09 06.1|13.84| 0.92|10| 3| -23.63| 2.73| 19.43|  |BLN|       |
008010|19 40 53.54|+40 10 02.4|13.96| 1.15| 3| 1|   2.84| 0.33|  1.15|95|SM |       |
009010|19 40 56.01|+40 13 39.6|14.08| 1.10| 3| 2|   2.81| 0.20|  0.75|95|SM |       |
010010|19 41 01.59|+40 15 27.0|14.22| 0.58| 6| 2|   1.73| 0.42|  2.26|94|SM |       |
011010|19 41 09.96|+40 07 28.4|14.55| 0.65| 3| 0|   2.60| 0.27|  0.94|95|SM |       |
012010|19 41 38.27|+40 09 17.4|14.60| 1.41| 1| 2|  20.58| 0.47|  1.09| 0|SN |       |
013010|19 40 53.84|+40 11 51.4|14.73| 0.60| 4| 0|   2.19| 0.51|  2.22|95|SM |       |
014010|19 41 01.90|+40 15 34.1|14.84| 0.61| 3| 0|   3.78| 0.25|  0.88|88|SM |       |
015010|19 41 37.09|+40 14 21.9|14.97| 0.62| 3| 0|   1.30| 0.05|  0.19|92|SM |       |
016010|19 41 31.12|+40 15 41.0|14.99| 0.71| 3| 0| -35.95| 0.14|  0.48| 0|SN |       |
017010|19 41 18.28|+40 07 04.2|14.98| 0.66| 6| 0|   3.47| 0.26|  1.45|92|SM |       |
018010|19 41 12.81|+40 06 54.8|15.04| 0.63| 5| 0|   2.21| 0.53|  2.64|95|SM |       |
019010|19 40 53.52|+40 11 01.1|15.08| 0.64| 7| 0| -17.09| 0.07|  0.45| 0|SN |       |
020010|19 40 54.76|+40 14 05.4|15.11| 0.59|15| 0|   5.12| 0.12| 20.67|93|BM |  3.330|SB1
021010|19 40 54.63|+40 13 05.4|15.12| 0.81| 3| 0| -39.52| 0.17|  0.58| 0|SN |       |
022010|19 41 19.57|+40 16 16.1|15.21| 0.64| 3| 0|   2.68| 0.05|  0.19|95|SM |       |
023010|19 40 57.31|+40 14 23.3|15.24| 1.30| 3| 0|  -3.38| 0.30|  1.07| 0|SN |       |
024010|19 41 03.30|+40 07 35.8|15.23| 0.61| 4| 0|   3.13| 0.33|  1.43|94|SM |       |
025010|19 41 37.68|+40 14 32.6|15.25| 0.61| 9| 0|  19.59| 0.10|      |89|BM |  3.706|SB2
026010|19 41 11.75|+40 16 38.4|15.26| 0.72| 4| 0|   8.05| 0.19|  0.82| 0|SN |       |
027010|19 41 17.15|+40 16 39.0|15.40| 0.75| 3| 0| -18.90| 1.03|  3.65| 0|SN |       |
028010|19 41 01.65|+40 07 51.7|15.43| 1.35| 3| 0| -92.93| 0.82|  2.89| 0|SN |       |
029010|19 41 33.83|+40 07 54.5|15.47| 0.60| 2| 0|   1.89| 0.30|      |  |U  |       |
030010|19 40 54.70|+40 10 08.9|15.49| 0.58| 4| 0|   2.02| 0.65|  2.83|95|SM |       |
032010|19 41 35.49|+40 08 34.7|15.53| 0.69| 3| 0|   7.47| 0.28|  1.00| 0|SN |       |
034010|19 41 15.77|+40 07 06.8|15.55| 0.60| 7| 0|   2.82| 1.33|  8.13|  |BLM|       |
035010|19 41 20.20|+40 07 03.0|15.60| 0.60|13| 0|   3.20| 0.78|  6.71|  |BLM|       |
036010|19 40 56.57|+40 14 43.2|15.73| 0.69| 3| 0| -14.96| 0.09|  0.32| 0|SN |       |
